repo_key	url	host	license	stars_or_signal	last_activity	topic_tags	local_path	status	score	notes
github.com/ueberdosis/tiptap	https://github.com/ueberdosis/tiptap.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-03-27T15:51:20+01:00	editing performance	/Users/zbeyens/git/tiptap	source research recorded		local HEAD 91c51be53c4655ef07e29ec489471524debfa0ca; final HEAD unchanged; source checkout clean
github.com/codemirror/dev	https://github.com/codemirror/dev.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-04-15T12:24:40+02:00	editing performance	/Users/zbeyens/git/codemirror	source research recorded		local HEAD c010426d06689a7115aa9df08425126b6d3ead2f; final HEAD unchanged; source checkout clean
github.com/codemirror/view	https://github.com/codemirror/view.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-04-15T10:44:48+02:00	editing performance	/Users/zbeyens/git/codemirror-view	source research recorded		local HEAD fbff59ba004d80d8c914f64c42586387b08706ac; final HEAD unchanged; source checkout clean
github.com/microsoft/vscode	https://github.com/microsoft/vscode.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-09-01T10:54:34Z	editing performance	/Users/zbeyens/git/vscode	source research recorded		local HEAD df2411cf7d8f2e0cfc79109a3bc8eaab2c69165b; final HEAD unchanged; source checkout clean
github.com/microsoft/monaco-editor	https://github.com/microsoft/monaco-editor.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-06-10T21:32:16Z	editing performance	/Users/zbeyens/git/monaco-editor	source research recorded		local HEAD 7374dcb41a787a63d5885a5be5e6bbc2e6bc338c; final HEAD unchanged; source checkout clean
github.com/slab/quill	https://github.com/slab/quill.git	github.com	BSD 3-Clause inspected	named editor or relevant runtime technique	2025-07-25T13:18:35+08:00	editing performance	/Users/zbeyens/git/quill	source research recorded		local HEAD 539cbffd0a13b18e9c65eb84dd35e6596e403158; final HEAD unchanged; source checkout clean
github.com/facebook/react	https://github.com/facebook/react.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-05-02T09:50:40+01:00	editing performance	/Users/zbeyens/git/react	source research recorded		local HEAD 9635257c1b557acc81f95b1e974a54c752e703a2; final HEAD unchanged; source checkout clean
github.com/tanstack/virtual	https://github.com/TanStack/virtual	github.com	MIT inspected	named editor or relevant runtime technique	2026-05-27T15:48:23-06:00	editing performance	/Users/zbeyens/git/virtual	source research recorded		local HEAD 59b1f84c66efc572559090ce9966312cb2e12d7e; final HEAD unchanged; source checkout clean
github.com/tldraw/tldraw	https://github.com/tldraw/tldraw.git	github.com	tldraw custom; behavior research only inspected	named editor or relevant runtime technique	2026-09-04T16:26:33Z	editing performance	/Users/zbeyens/git/tldraw	source research complete; adoption deferred		local HEAD e8f61acedcbf2dc69693ea1e1f612a7f635fb4b5; final HEAD unchanged; source checkout clean
github.com/excalidraw/excalidraw	https://github.com/excalidraw/excalidraw.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-09-03T17:21:13+02:00	editing performance	/Users/zbeyens/git/excalidraw	source research recorded		local HEAD 214cd6e6e8ac3ad6b68486aa7aa7241abdf9445f; final HEAD unchanged; source checkout clean
github.com/sanity-io/sanity	https://github.com/sanity-io/sanity.git	github.com	MIT inspected	source-selected React state or Compiler technique	2026-08-17T11:36:39+02:00	React Compiler; state ownership	/Users/zbeyens/git/sanity	source research recorded		local HEAD c1eaa3751fb0f959d0456e075d5615006051a168; final HEAD unchanged; source checkout clean
github.com/pmndrs/zustand	https://github.com/pmndrs/zustand.git	github.com	MIT inspected	source-selected React state or Compiler technique	2026-08-13T09:33:52+09:00	React Compiler; state ownership	/Users/zbeyens/git/zustand	source research recorded		local HEAD 2115efb9e270e73ad1d3472dfe0e0c7b8c6abcd4; final HEAD unchanged; source checkout clean
github.com/pmndrs/jotai	https://github.com/pmndrs/jotai.git	github.com	MIT inspected	source-selected React state or Compiler technique	2026-08-24T16:08:33+09:00	React Compiler; state ownership	/Users/zbeyens/git/jotai	source research recorded		local HEAD 3e0b9ffad54b2fbedf2165a82d06ae6bcf1ebd67; final HEAD unchanged; source checkout clean
