source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key	scope_id	review_id	source_revision	source_fingerprint	checked_at
cm:view	github.com/codemirror/view	source	src/editorview.ts;src/extension.ts;src/docview.ts	editorview 175-224,873,1054; extension 101-163; docview 57,626	View state, cleanup and viewport paint.	Steal explicit view lifetime and viewport-derived paint distinction; do not copy one-state-per-view topology.	annotation:view:lifetime	annotations	2026-09-21-annotations-oss-validation	fbff59ba004d80d8c914f64c42586387b08706ac	fbff59ba004d80d8c914f64c42586387b08706ac	2026-09-21
monaco:model	github.com/microsoft/vscode	source	src/vs/editor/common/model.ts	370-445,1073-1100	Shared model and decoration owner IDs.	One model can serve many editors; per-view ownership still needs explicit tokens and cleanup.	annotation:view:exact-index	annotations	2026-09-21-annotations-oss-validation	f487add297079a02eb836810185b165e50cadabc	f487add297079a02eb836810185b165e50cadabc	2026-09-21
monaco:tree	github.com/microsoft/vscode	source	src/vs/editor/common/model/intervalTree.ts	141-333,416-632,711-865	Augmented interval tree and lazy shifting.	A benchmark candidate for dense flat paint, not a semantic target owner.	annotation:mapping-kernel:collection	annotations	2026-09-21-annotations-oss-validation	f487add297079a02eb836810185b165e50cadabc	f487add297079a02eb836810185b165e50cadabc	2026-09-21
monaco:view	github.com/microsoft/vscode	source	src/vs/editor/common/viewModel/inlineDecorations.ts;src/vs/editor/common/viewModel/viewModelDecorations.ts	45-175;16-81	Viewport queries and decoration cache.	Only materialize paint for the visible view; do not share a resolved projection cache.	annotation:paint:view-local	annotations	2026-09-21-annotations-oss-validation	f487add297079a02eb836810185b165e50cadabc	f487add297079a02eb836810185b165e50cadabc	2026-09-21
yjs:relative	github.com/yjs/yjs	source	src/utils/RelativePosition.js	154-176,264-332	CRDT-relative identity, association and undo following.	Nearest boundary is portable; local exact undo following is not a cross-client guarantee.	annotation:deletion:policy	annotations	2026-09-21-annotations-oss-validation	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	2026-09-21
yjs:batch	github.com/yjs/yjs	source	src/utils/position-helpers.js	69-185,202-293	Current batched position conversion.	One traversal per node is the strongest concrete candidate for full refresh and projection-switch work.	annotation:mapping-kernel:batch	annotations	2026-09-21-annotations-oss-validation	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	2026-09-21
yjs:renderer	github.com/yjs/yjs	source	src/utils/renderer-helpers.js	48-82	Renderer attribution fast path.	Keep exact renderer/view context explicit and leave untouched content on a generic path.	annotation:view:exact-index	annotations	2026-09-21-annotations-oss-validation	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	2026-09-21
yjs:tests	github.com/yjs/yjs	test	tests/relativePositions.tests.js	129-145,274-298	Undo divergence and renderer-dependent resolution.	One target can resolve differently by projection; local undo identity may differ from a synced clone.	annotation:view:exact-index	annotations	2026-09-21-annotations-oss-validation	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	2026-09-21
automerge:cursor	github.com/automerge/automerge	source	rust/automerge/src/cursor.rs	9-79	Persistable cursor identity and deletion movement.	Automerge provides nearest-before/after semantics, not terminal absence.	annotation:deletion:policy	annotations	2026-09-21-annotations-oss-validation	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	2026-09-21
automerge:marks	github.com/automerge/automerge	source	rust/automerge/src/marks.rs	13-26	Collaborative mark conflict semantics.	Marks are rich-text state and one value per name; they do not own rich comment records.	annotation:ownership:four-lifetimes	annotations	2026-09-21-annotations-oss-validation	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	2026-09-21
automerge:mark-test	github.com/automerge/automerge	test	rust/automerge-wasm/test/marks.mts	617-630	Fully deleted mark replacement behavior.	A deleted mark does not attach to equivalent inserted text, but this does not prove terminal anchor death through undo.	annotation:deletion:policy	annotations	2026-09-21-annotations-oss-validation	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	2026-09-21
quill:history	github.com/slab/quill	source	packages/quill/src/modules/history.ts;packages/quill/src/core/quill.ts	history 201-205; quill 1009-1044	Flat position transformation baseline.	Delta-transformed offsets are insufficient for tree roots, authored views and retained annotation identity.	annotation:replacement:flat-offsets	annotations	2026-09-21-annotations-oss-validation	539cbffd0a13b18e9c65eb84dd35e6596e403158	539cbffd0a13b18e9c65eb84dd35e6596e403158	2026-09-21
tiptap:comments	tiptap-comments-docs	official-docs	https://tiptap.dev/docs/comments/getting-started/overview	overview;manage-threads;style-threads;editor-commands	External thread plus inline attachment product model.	Supports metadata/attachment separation but private source cannot establish architecture or performance.	annotation:ownership:four-lifetimes	annotations	2026-09-21-annotations-oss-validation	web-current-2026-09-21	https://tiptap.dev/docs/comments/getting-started/overview	2026-09-21
docs:codemirror	github.com/codemirror/state	official-docs	https://codemirror.net/docs/ref/	RangeSet and decorations	Corroborate persistent collection and viewport decoration contracts.	Persistent mapping is valuable internally; layout and viewport paint remain distinct.	annotation:paint:view-local	annotations	2026-09-21-annotations-oss-validation	web-current-2026-09-21	https://codemirror.net/docs/ref/	2026-09-21
docs:yjs-relative	github.com/yjs/yjs	official-docs	https://docs.yjs.dev/api/relative-positions	RelativePosition API	Corroborate association, resolution and null boundary.	CRDT-relative identity supports collaboration but does not supply terminal annotation policy.	annotation:deletion:policy	annotations	2026-09-21-annotations-oss-validation	web-current-2026-09-21	https://docs.yjs.dev/api/relative-positions	2026-09-21
