check	issue	state	relevant	closureKind	disposition	cluster	matrixKey	owner	proofKind	exactTest	command	title	url	reason
[x]	21	CLOSED	yes	deferred-with-owner	defer	plate-plugin-policy	Product/plugin policy above Slate core	Plate list behavior/plugin owner	Plate list escape/navigation proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate list-item escape behavior proof outside Slate-v2-only edits	Make it possible to escape from list item to next list item	https://github.com/ProseMirror/prosemirror/issues/21	List-item escape semantics are application/plugin list behavior. Under Slate-v2-only scope this is a concrete Plate defer, not a Slate-v2 core patch.
[x]	22	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	Best way to style menubars	https://github.com/ProseMirror/prosemirror/issues/22	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	24	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	Tests fail on Microsoft Edge Browser	https://github.com/ProseMirror/prosemirror/issues/24	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	25	CLOSED	yes	deferred-with-owner	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser input owner	raw iOS keyboard capitalization proof required		deferred: requires raw iOS proof for keyboard autocapitalization after DOM redraw/input	iOS keyboard stays stuck in uppercase when typing	https://github.com/ProseMirror/prosemirror/issues/25	Relevant raw mobile input invariant, but it cannot be closed with desktop Playwright or semantic mobile viewport. Needs raw iOS/browser proof and a dedicated mobile oracle.
[x]	26	CLOSED	no	invalid-skip	skip	docs-release-package	Skip: docs-release-package	N/A	N/A		N/A	babelify install	https://github.com/ProseMirror/prosemirror/issues/26	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
[x]	27	CLOSED	yes	deferred-with-owner	defer	plate-plugin-policy	Product/plugin policy above Slate core	Plate toolbar/dialog selection-affordance owner	Plate toolbar/dialog deselection proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate dialog-expanded toolbar deselection proof outside Slate-v2-only edits	Tooltip menu does not disappear when expanded	https://github.com/ProseMirror/prosemirror/issues/27	The issue is about an expanded link/dialog toolbar staying visible on deselection. Slate-v2 has a basic hovering-toolbar disappearance test, but that does not prove dialog-expanded toolbar behavior.
[x]	28	CLOSED	yes	deferred-with-owner	defer	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	Plate media/image-resizer UI owner	Plate image-resizer activation proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate image-resizer Chrome activation proof outside Slate-v2-only edits	Does not work image resizer on Chrome	https://github.com/ProseMirror/prosemirror/issues/28	Image-resizer activation is product/media UI behavior, not Slate-v2 core void correctness. Slate-v2 image void tests do not prove a resizer UI exists or activates.
[x]	29	CLOSED	yes	test-written	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	Slate-v2 drag/drop data insertion owner	focused Slate React repeated external drop contract	.tmp/slate-v2/packages/slate-react/test/dom-coverage-native-bridge-contract.test.ts:377 "repeated external plain text drops preserve earlier inserted text"	(cd packages/slate-react && bun test:vitest -- test/dom-coverage-native-bridge-contract.test.ts -t "repeated external plain text drops preserve earlier inserted text")	Strange drag and drop behavior	https://github.com/ProseMirror/prosemirror/issues/29	Portable drag/drop invariant. The existing single-drop proof was weaker than the issue; added a repeated external plain-text drop contract that proves the second drop preserves the first inserted text and passed focused verification.
[x]	31	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	Prevent nested Lists	https://github.com/ProseMirror/prosemirror/issues/31	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	33	CLOSED	no	invalid-skip	skip	docs-release-package	Skip: docs-release-package	N/A	N/A		N/A	Problem with setContent()	https://github.com/ProseMirror/prosemirror/issues/33	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
[x]	36	CLOSED	yes	covered-by-existing-test	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts	Chromium rich HTML paste mark/style browser proof	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:171 keeps inline HTML marks bounded to their source text; .tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:693 preserves text color and background color from rich HTML paste	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "keeps inline HTML marks bounded to their source text|imports a blank paragraph without duplicating its line break|preserves Google Docs font-size spans from rich HTML paste|preserves text color and background color from rich HTML paste|preserves Google Docs BIU formatting from rich HTML paste|imports paragraph alignment from CSS and legacy align HTML|normalizes extra newlines from multiline HTML paragraphs|preserves non-collapsible spaces from rich HTML paste|sanitizes executable rich HTML paste payloads|imports Google Docs table HTML with cell paragraphs|imports Google Sheets table HTML as table rows and cells"	Keep inline styles when pasting	https://github.com/ProseMirror/prosemirror/issues/36	Exact Slate-v2 paste proof keeps inline marks/styles bounded to source text; focused command passed.
[x]	37	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	The WYSIWYG mode may refer this	https://github.com/ProseMirror/prosemirror/issues/37	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	38	CLOSED	no	invalid-skip	skip	docs-release-package	Skip: docs-release-package	N/A	N/A		N/A	npm run demo fails	https://github.com/ProseMirror/prosemirror/issues/38	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
[x]	40	CLOSED	yes	deferred-with-owner	defer	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	Plate link editing UI/plugin owner	Plate existing-link edit dialog proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate existing-link edit proof outside Slate-v2-only edits	Editing existing link	https://github.com/ProseMirror/prosemirror/issues/40	Editing an existing link URL through demo UI is a product/plugin command surface. Slate-v2 inline/link examples cover link behavior, but not an existing-link edit dialog flow.
[x]	41	CLOSED	no	invalid-skip	skip	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	N/A	invalid-skip support/how-to question		N/A: skipped as document-model extension support question, not a concrete regression.	extending the document model	https://github.com/ProseMirror/prosemirror/issues/41	This is a how-to/support question about adding node types after a ProseMirror update. Slate-v2 extension/model contracts exist, but the issue does not state a failing portable behavior to close.
[x]	42	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	ProseMirror Constructor undefined 	https://github.com/ProseMirror/prosemirror/issues/42	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	44	CLOSED	yes	covered-by-existing-test	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts	Chromium rich HTML paste sanitization proof	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:1326 sanitizes executable rich HTML paste payloads	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "keeps inline HTML marks bounded to their source text|imports a blank paragraph without duplicating its line break|preserves Google Docs font-size spans from rich HTML paste|preserves text color and background color from rich HTML paste|preserves Google Docs BIU formatting from rich HTML paste|imports paragraph alignment from CSS and legacy align HTML|normalizes extra newlines from multiline HTML paragraphs|preserves non-collapsible spaces from rich HTML paste|sanitizes executable rich HTML paste payloads|imports Google Docs table HTML with cell paragraphs|imports Google Sheets table HTML as table rows and cells"	Paste is not sanitized in IE	https://github.com/ProseMirror/prosemirror/issues/44	Slate-v2 has exact executable HTML paste sanitization proof; focused command passed.
[x]	45	CLOSED	yes	deferred-with-owner	defer	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	Plate media/image-resizer UI owner	Plate/browser native image-resize suppression proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate image native-resize suppression proof outside Slate-v2-only edits	Image resizing should be disabled	https://github.com/ProseMirror/prosemirror/issues/45	Browser-native image resizing suppression is product/media UI behavior. Slate-v2 image void tests do not prove native image resize handles are disabled in a resizer-enabled UI.
[x]	46	CLOSED	yes	deferred-with-owner	defer	plate-plugin-policy	Product/plugin policy above Slate core	Plate toolbar/menu API owner	Plate toolbar/menu deregistration API proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate toolbar/menu item deregistration proof outside Slate-v2-only edits	Deregister items from the menubar	https://github.com/ProseMirror/prosemirror/issues/46	Menu item deregistration is a toolbar/plugin API feature, not a Slate-v2 core editor behavior.
[x]	47	CLOSED	yes	deferred-with-owner	defer	plate-plugin-policy	Product/plugin policy above Slate core	Plate toolbar/menu package integration owner	Plate toolbar/menu package integration proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate toolbar/menu package integration proof outside Slate-v2-only edits	menubar require _edit.defineOption not a function	https://github.com/ProseMirror/prosemirror/issues/47	ProseMirror menubar package import failure is a product/plugin packaging issue, not Slate-v2 core behavior.
[x]	49	CLOSED	no	invalid-skip	skip	uncertain-nonportable	Skip: no portable editor invariant detected	N/A	N/A		N/A	Switch watchify to verbose mode	https://github.com/ProseMirror/prosemirror/issues/49	Skipped because title/body/comments do not expose a portable Slate-v2 behavior invariant.
[x]	54	CLOSED	no	invalid-skip	skip	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	N/A	invalid-skip schema/support question		N/A: skipped as image schema attribute support/design question.	no width and height attributes in Image default schema	https://github.com/ProseMirror/prosemirror/issues/54	The issue asks whether image width/height attributes should exist in the default schema. Slate-v2 has user-defined element attributes and no fixed image schema contract to test here.
[x]	55	CLOSED	yes	deferred-with-owner	defer	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	Plate floating toolbar positioning owner	Plate/browser floating toolbar edge-position visual proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate floating-toolbar edge-position visual proof outside Slate-v2-only edits	Floating tooltip position	https://github.com/ProseMirror/prosemirror/issues/55	Floating tooltip placement at editor edges is a toolbar UI geometry concern. No exact Slate-v2 core invariant is present beyond generic selection geometry.
[x]	57	CLOSED	no	invalid-skip	skip	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	N/A	invalid-skip ProseMirror-specific API bug		N/A: skipped as ProseMirror pm.getContent("html") API-specific missing-document bug.	pm.getContent("html") produces type error	https://github.com/ProseMirror/prosemirror/issues/57	The failure is specific to ProseMirror getContent/convertTo plumbing. Slate-v2 does not expose this API, so there is no portable Slate-v2 behavior to close.
[x]	59	CLOSED	yes	covered-by-existing-test	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	Slate-v2 browser scroll/caret owner	focused browser scroll-caret visibility proof	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts:1560 "keeps caret visible while typing in a scrollable editor root/parent"	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "keeps caret visible while typing in a scrollable editor"	scrollIntoView() does not work correctly for empty lines	https://github.com/ProseMirror/prosemirror/issues/59	Portable scrollIntoView/caret visibility invariant. Existing Slate-v2 browser tests type repeated lines in scrollable root and parent containers while asserting the caret remains visible; focused verification passed.
[x]	60	CLOSED	yes	deferred-with-owner	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw Android/browser input owner	raw Android space-after-new-paragraph proof required		deferred: requires raw Android proof for space insertion after Enter/new paragraph	Empty paragraph issue on android.	https://github.com/ProseMirror/prosemirror/issues/60	Relevant raw Android input invariant, but cannot be closed with desktop Playwright or semantic mobile viewport. Needs raw Android/browser proof and a dedicated mobile oracle.
[x]	61	CLOSED	yes	covered-by-existing-test	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	Slate-v2 markdown/list behavior owner	focused browser list continuation proof	.tmp/slate-v2/playwright/integration/examples/markdown-shortcuts.test.ts:256 "keeps native desktop list continuation text in each list item"	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/markdown-shortcuts.test.ts --project=chromium --grep "keeps native desktop list continuation text in each list item"	list items wrap p, don't make new li on return	https://github.com/ProseMirror/prosemirror/issues/61	Portable list-continuation invariant. Existing Slate-v2 browser test proves Enter creates separate list items and keeps each item text distinct; focused verification passed.
[x]	62	CLOSED	yes	test-written	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	Slate-v2 rich HTML import owner	focused browser HTML inline-mark whitespace import proof	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:1193 "preserves spaces between adjacent inline mark elements from rich HTML paste"	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "preserves spaces between adjacent inline mark elements from rich HTML paste"	fromDOM losing space between em and strong	https://github.com/ProseMirror/prosemirror/issues/62	Portable DOM/HTML import whitespace invariant. Added a browser regression for <em>one</em> <strong>two</strong> preserving the space between adjacent inline mark elements; focused verification passed.
[x]	63	CLOSED	yes	covered-by-existing-test	keep-portable	history-undo-redo	History, undo/redo, transaction grouping	Slate-v2 history behavior owner	focused history package proof	.tmp/slate-v2/packages/slate-history/test/history-contract.ts:1310 undo restores the imported caret when selection import leads a text commit; :984 redo preserves explicit selection after the first saveable operation	bun test ./packages/slate-history/test/history-contract.ts -t "undo restores the imported caret when selection import leads a text commit"	Do something intelligent with selection on undo/redo	https://github.com/ProseMirror/prosemirror/issues/63	Undo/redo selection restoration is covered by package history contracts that restore the imported caret and preserve explicit redo selection.
[x]	64	CLOSED	yes	deferred-with-owner	defer	plate-plugin-policy	Product/plugin policy above Slate core	Plate toolbar/menu API owner	Plate-owned menu tooltip/keybinding UI proof required outside Slate-v2-only patch scope		deferred outside Slate-v2-only run; do not patch Plate	Show key bindings in menu item tooltips	https://github.com/ProseMirror/prosemirror/issues/64	Keybinding text in menu item tooltips is toolbar/menu product UI, not a raw Slate-v2 editor-behavior invariant.
[x]	65	CLOSED	no	invalid-skip	skip	docs-release-package	Skip: docs-release-package	N/A	N/A		N/A	error occur when use webpack to package the project	https://github.com/ProseMirror/prosemirror/issues/65	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
[x]	66	CLOSED	yes	test-written	keep-portable	large-doc-performance	Performance, memory, layout, freeze, bundle size	Slate-v2 browser selection/caret owner	focused Chromium browser PageDown scroll proof	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts:2043 does not reverse scroll after PageDown in a scrollable editor	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "does not reverse scroll after PageDown in a scrollable editor"	Pageup/pagedown sometimes cause a disorienting two-jump scroll	https://github.com/ProseMirror/prosemirror/issues/66	Added a stable richtext regression that samples scrollTop after PageDown and fails if the editor performs a reverse scroll jump.
[x]	67	CLOSED	yes	covered-by-existing-test	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	Slate-v2 clipboard/serialization API owner	focused rich HTML paste browser proof	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:777 preserves Google Docs BIU formatting from rich HTML paste	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "preserves Google Docs BIU formatting from rich HTML paste"	Pasting html formatted text from clipboard throws error	https://github.com/ProseMirror/prosemirror/issues/67	Rich HTML clipboard paste is covered by a browser test that imports formatted Google Docs HTML without runtime errors.
[x]	70	CLOSED	no	invalid-skip	skip	docs-release-package	Skip: docs-release-package	N/A	N/A		N/A	Prevent nested list items	https://github.com/ProseMirror/prosemirror/issues/70	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
[x]	71	CLOSED	yes	covered-by-existing-test	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts	Chromium rich HTML whitespace paste proof	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:1172 preserves non-collapsible spaces from rich HTML paste	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "keeps inline HTML marks bounded to their source text|imports a blank paragraph without duplicating its line break|preserves Google Docs font-size spans from rich HTML paste|preserves text color and background color from rich HTML paste|preserves Google Docs BIU formatting from rich HTML paste|imports paragraph alignment from CSS and legacy align HTML|normalizes extra newlines from multiline HTML paragraphs|preserves non-collapsible spaces from rich HTML paste|sanitizes executable rich HTML paste payloads|imports Google Docs table HTML with cell paragraphs|imports Google Sheets table HTML as table rows and cells"	Whitespace dissapears on paste	https://github.com/ProseMirror/prosemirror/issues/71	Slate-v2 has exact non-collapsible whitespace paste proof; focused command passed.
[x]	72	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	Hook for sanitizing pasted content	https://github.com/ProseMirror/prosemirror/issues/72	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	78	CLOSED	yes	covered-by-existing-test	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	Slate-v2 browser selection/caret owner	focused plaintext keyboard input browser proof	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:37 inserts text when typed	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "inserts text when typed"	keyboard text input broken	https://github.com/ProseMirror/prosemirror/issues/78	Basic keyboard text input is covered by the plaintext example typing proof.
