number	state	disposition	cluster	matrixKey	owner	proofKind	action	command	title	url	reason
12	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	When dragging and dropping inline images, show a cursor for exact destination while dropping 	https://github.com/ProseMirror/prosemirror/issues/12	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
13	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Org-mode support	https://github.com/ProseMirror/prosemirror/issues/13	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
14	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Publish prosemirror to the npm registry	https://github.com/ProseMirror/prosemirror/issues/14	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
15	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Deleting all content crashes editor with `docFormat` of "markdown"	https://github.com/ProseMirror/prosemirror/issues/15	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
16	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Drag and Drop Images	https://github.com/ProseMirror/prosemirror/issues/16	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
17	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Link rendering inconsistency with `docFormat` set to "markdown"	https://github.com/ProseMirror/prosemirror/issues/17	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
18	CLOSED	keep-portable	table-grid-editing	Tables, cells, rows, columns, grid selection	.tmp/slate-v2/playwright/integration/examples/tables.test.ts; future table model owner	browser table containment/navigation/clipboard proof	refactor-existing/create-new/defer-model	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/tables.test.ts --project=chromium --grep "table|cell|selection|paste|drag"	LaTeX and Table Support	https://github.com/ProseMirror/prosemirror/issues/18	Kept for Tables, cells, rows, columns, grid selection; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
19	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Switching to markdown and back changes the text	https://github.com/ProseMirror/prosemirror/issues/19	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
20	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Nesting lists	https://github.com/ProseMirror/prosemirror/issues/20	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
21	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	Make it possible to escape from list item to next list item	https://github.com/ProseMirror/prosemirror/issues/21	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
22	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Best way to style menubars	https://github.com/ProseMirror/prosemirror/issues/22	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
24	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Tests fail on Microsoft Edge Browser	https://github.com/ProseMirror/prosemirror/issues/24	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
25	CLOSED	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	iOS keyboard stays stuck in uppercase when typing	https://github.com/ProseMirror/prosemirror/issues/25	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
26	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	babelify install	https://github.com/ProseMirror/prosemirror/issues/26	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
27	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	Tooltip menu does not disappear when expanded	https://github.com/ProseMirror/prosemirror/issues/27	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
28	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Does not work image resizer on Chrome	https://github.com/ProseMirror/prosemirror/issues/28	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
29	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Strange drag and drop behavior	https://github.com/ProseMirror/prosemirror/issues/29	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
31	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Prevent nested Lists	https://github.com/ProseMirror/prosemirror/issues/31	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
33	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Problem with setContent()	https://github.com/ProseMirror/prosemirror/issues/33	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
36	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Keep inline styles when pasting	https://github.com/ProseMirror/prosemirror/issues/36	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
37	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	The WYSIWYG mode may refer this	https://github.com/ProseMirror/prosemirror/issues/37	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
38	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	npm run demo fails	https://github.com/ProseMirror/prosemirror/issues/38	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
40	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Editing existing link	https://github.com/ProseMirror/prosemirror/issues/40	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
41	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	extending the document model	https://github.com/ProseMirror/prosemirror/issues/41	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
42	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	ProseMirror Constructor undefined 	https://github.com/ProseMirror/prosemirror/issues/42	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
44	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Paste is not sanitized in IE	https://github.com/ProseMirror/prosemirror/issues/44	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
45	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Image resizing should be disabled	https://github.com/ProseMirror/prosemirror/issues/45	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
46	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	Deregister items from the menubar	https://github.com/ProseMirror/prosemirror/issues/46	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
47	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	menubar require _edit.defineOption not a function	https://github.com/ProseMirror/prosemirror/issues/47	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
49	CLOSED	skip	uncertain-nonportable	Skip: no portable editor invariant detected	N/A	N/A	skip	N/A	Switch watchify to verbose mode	https://github.com/ProseMirror/prosemirror/issues/49	Skipped because title/body/comments do not expose a portable Slate-v2 behavior invariant.
54	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	no width and height attributes in Image default schema	https://github.com/ProseMirror/prosemirror/issues/54	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
55	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	Floating tooltip position	https://github.com/ProseMirror/prosemirror/issues/55	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
57	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	pm.getContent("html") produces type error	https://github.com/ProseMirror/prosemirror/issues/57	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
59	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	scrollIntoView() does not work correctly for empty lines	https://github.com/ProseMirror/prosemirror/issues/59	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
60	CLOSED	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Empty paragraph issue on android.	https://github.com/ProseMirror/prosemirror/issues/60	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
61	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	list items wrap p, don't make new li on return	https://github.com/ProseMirror/prosemirror/issues/61	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
62	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	fromDOM losing space between em and strong	https://github.com/ProseMirror/prosemirror/issues/62	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
63	CLOSED	keep-portable	history-undo-redo	History, undo/redo, transaction grouping	.tmp/slate-v2/packages/slate-history/test/history-contract.ts	package history contract proof	refactor-existing/create-new	bun test ./packages/slate-history/test/history-contract.ts --test-name-pattern "history|undo|redo|batch|selection"	Do something intelligent with selection on undo/redo	https://github.com/ProseMirror/prosemirror/issues/63	Kept for History, undo/redo, transaction grouping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
64	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	Show key bindings in menu item tooltips	https://github.com/ProseMirror/prosemirror/issues/64	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
65	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	error occur when use webpack to package the project	https://github.com/ProseMirror/prosemirror/issues/65	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
66	CLOSED	defer	large-doc-performance	Performance, memory, layout, freeze, bundle size	Slate-v2 performance benchmark owner	focused benchmark target with correctness guardrails required	defer-benchmark-target	create or select a Slate-v2 benchmark target before runtime optimization	Pageup/pagedown sometimes cause a disorienting two-jump scroll	https://github.com/ProseMirror/prosemirror/issues/66	Kept for Performance, memory, layout, freeze, bundle size; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
67	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Pasting html formatted text from clipboard throws error	https://github.com/ProseMirror/prosemirror/issues/67	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
70	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Prevent nested list items	https://github.com/ProseMirror/prosemirror/issues/70	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
71	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Whitespace dissapears on paste	https://github.com/ProseMirror/prosemirror/issues/71	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
72	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Hook for sanitizing pasted content	https://github.com/ProseMirror/prosemirror/issues/72	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
78	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	keyboard text input broken	https://github.com/ProseMirror/prosemirror/issues/78	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
