issue_number	number	kind	state	merged	title	url	created_at	updated_at	delta_kind	classification	owner	status	reason	linked_prs	upstream_test_provenance	local_coverage	local_test	verification_command	last_checked_at	next_action
6067	6067	pull_request	closed	true	docs: add Velt to Extensions and Plugins	https://github.com/ianstormtaylor/slate/pull/6067	2026-06-03T05:33:38Z	2026-06-13T00:13:59Z	created-after-baseline	docs-non-behavior	docs-support-release	invalid-skip	docs maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
6068	6068	pull_request	closed	false	chore(deps-dev): bump shell-quote from 1.8.1 to 1.8.4	https://github.com/ianstormtaylor/slate/pull/6068	2026-06-17T06:54:52Z	2026-07-09T21:42:35Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6069	6069	pull_request	closed	false	chore(deps-dev): bump @babel/core from 7.23.2 to 7.29.6	https://github.com/ianstormtaylor/slate/pull/6069	2026-06-17T06:54:52Z	2026-07-09T21:42:36Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6070	6070	pull_request	closed	false	chore(deps): bump form-data from 4.0.0 to 4.0.6	https://github.com/ianstormtaylor/slate/pull/6070	2026-06-17T06:55:09Z	2026-07-09T21:42:35Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6071	6071	pull_request	closed	false	chore(deps): bump axios from 1.7.4 to 1.18.0	https://github.com/ianstormtaylor/slate/pull/6071	2026-06-17T06:55:19Z	2026-06-30T17:28:25Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6072	6072	pull_request	closed	true	fix(slate-dom): propagate suppressThrow to toSlateNode in toSlatePoint	https://github.com/ianstormtaylor/slate/pull/6072	2026-06-19T12:10:52Z	2026-07-09T16:33:03Z	created-after-baseline	portable-dom-resolution	slate-v2	covered-by-existing-test	Suppress-throw propagation maps to Plite nullable-versus-strict bridge behavior.	6072	Merged source fix without a new test.	Exact nullable-versus-strict DOM bridge contract.	packages/plite-dom/test/bridge.ts:411	pnpm --filter @platejs/plite-dom exec bun test --preload ../../config/plite-source-test-setup.ts ./test/bridge.ts --test-name-pattern 'resolves recoverable DOM bridge gaps'	2026-08-14T11:21:25.836091Z	Keep the current resolver contract.
6073	6073	pull_request	closed	true	fix(slate-react): prevent useSelected from throwing when element is removed	https://github.com/ianstormtaylor/slate/pull/6073	2026-06-27T12:27:12Z	2026-07-09T16:33:20Z	created-after-baseline	portable-react-selection	slate-v2	covered-by-existing-test	Selected-element removal maps to exact Plite hook contracts.	6073	packages/slate-react/test/use-selected.spec.tsx.	Exact removal and unmount coverage.	packages/plite-react/test/use-element-selected.test.tsx:218	pnpm --filter @platejs/plite-react test -- use-element-selected.test.tsx	2026-08-14T11:21:25.836091Z	Keep the current hook contract.
6074	6074	pull_request	closed	true	Treat Indic conjunct clusters as a single grapheme (UAX #29 GB9c)	https://github.com/ianstormtaylor/slate/pull/6074	2026-06-28T17:29:42Z	2026-07-09T16:25:25Z	created-after-baseline	portable-unicode-grapheme	slate-v2	covered-by-existing-test	Indic conjunct GB9c behavior is already asserted for Tamil and Devanagari deletion units.	6074	packages/slate/test/interfaces/editor/delete-backward/character/indic-conjunct.js.	Exact Indic grapheme unit cases and deletion loops.	packages/plite/test/text-units-contract.ts:25	pnpm --filter @platejs/plite exec bun test --preload ../../config/plite-source-test-setup.ts ./test/text-units-contract.ts	2026-08-14T11:21:25.836091Z	Keep Intl.Segmenter-backed contracts.
6075	6075	pull_request	closed	true	Upgrade lerna 7→9 and nx 16→22 to fix Netlify install on Node 24	https://github.com/ianstormtaylor/slate/pull/6075	2026-06-30T15:28:15Z	2026-06-30T17:26:09Z	created-after-baseline	tooling-non-behavior	docs-support-release	invalid-skip	tooling maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
6076	6076	pull_request	closed	true	Fix prettier formatting on main	https://github.com/ianstormtaylor/slate/pull/6076	2026-06-30T17:37:26Z	2026-06-30T17:37:36Z	created-after-baseline	tooling-non-behavior	docs-support-release	invalid-skip	tooling maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
6077	6077	pull_request	closed	true	Version Packages	https://github.com/ianstormtaylor/slate/pull/6077	2026-06-30T17:40:27Z	2026-06-30T19:40:55Z	created-after-baseline	release-non-behavior	docs-support-release	invalid-skip	release maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
6078	6078	pull_request	closed	true	Fix Firefox contenteditable break from decoration forceUpdate	https://github.com/ianstormtaylor/slate/pull/6078	2026-06-30T18:20:03Z	2026-06-30T18:25:38Z	created-after-baseline	portable-decoration-selection	slate-v2	covered-by-existing-test	Firefox decoration rerender safety is covered by the async-decoration browser suite.	6078	Merged one-file runtime fix without a new test.	Browser decoration caret and composition proof.	apps/plite/tests/plite-browser/donor/examples/decorations-async.test.ts	pnpm --filter plite test:plite-browser:chromium tests/plite-browser/donor/examples/decorations-async.test.ts	2026-08-14T11:21:25.836091Z	Keep the current browser row.
6079	6079	pull_request	closed	true	Add changeset for Firefox decoration input fix (#6078)	https://github.com/ianstormtaylor/slate/pull/6079	2026-06-30T18:27:27Z	2026-06-30T18:27:37Z	created-after-baseline	release-non-behavior	docs-support-release	invalid-skip	release maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
6080	6080	pull_request	closed	true	Suppress findPath throw when translating beforeinput target ranges in Editable (#3556)	https://github.com/ianstormtaylor/slate/pull/6080	2026-07-02T15:18:05Z	2026-07-09T16:33:31Z	created-after-baseline	portable-dom-resolution	slate-v2	covered-by-existing-test	Recoverable beforeinput target-range lookup maps to Plite nullable bridge and selection reconciliation.	6080	Merged source fix for issue #3556 without a new test.	Exact nullable bridge recovery contract.	packages/plite-dom/test/bridge.ts:411	pnpm --filter @platejs/plite-dom exec bun test --preload ../../config/plite-source-test-setup.ts ./test/bridge.ts --test-name-pattern 'resolves recoverable DOM bridge gaps'	2026-08-14T11:21:25.836091Z	Keep the current resolver contract.
6081	6081	pull_request	closed	false	chore(deps): bump ws from 8.18.0 to 8.21.0	https://github.com/ianstormtaylor/slate/pull/6081	2026-07-09T21:38:31Z	2026-07-09T21:42:36Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6082	6082	pull_request	closed	true	Version Packages	https://github.com/ianstormtaylor/slate/pull/6082	2026-07-09T21:46:01Z	2026-07-09T23:09:13Z	created-after-baseline	release-non-behavior	docs-support-release	invalid-skip	release maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
6083	6083	pull_request	closed	true	Allow `null` in the types for `Transforms.setNodes`	https://github.com/ianstormtaylor/slate/pull/6083	2026-07-10T15:17:03Z	2026-07-29T05:06:50Z	created-after-baseline	reference-api-shape-rejected	needs-plan	deferred-with-owner	Slate types null as implicit property removal; Plite deliberately exposes unsetNodes instead of overloading setNodes.	6083	Merged type and fixture changes.	Explicit unsetNodes API owns removal semantics.	packages/plite/src/transforms-node/unset-nodes.ts		2026-08-14T11:21:25.836091Z	Keep the explicit API unless best-api selects null-as-unset.
6084	6084	pull_request	open	false	fix(slate-react): keep the DOM in sync when a native insertText is a no-op	https://github.com/ianstormtaylor/slate/pull/6084	2026-07-19T03:07:40Z	2026-07-19T03:07:46Z	created-after-baseline	portable-native-input	slate-v2	needs-repro	The open PR adds two browser regressions for native insertText that makes no model change; no exact Plite no-op browser row was found.		playwright/integration/examples/insert-text-noop*.test.ts in open PR #6084.	Adjacent repair and same-path insert contracts do not prove DOM restoration after a semantic no-op.	packages/plite-react/test/dom-repair-policy-contract.test.ts		2026-08-14T11:21:25.836091Z	Reproduce the two upstream scenarios in the Plite browser harness before implementing.
6085	6085	pull_request	open	false	chore(deps-dev): bump shell-quote from 1.8.1 to 1.9.0	https://github.com/ianstormtaylor/slate/pull/6085	2026-07-20T23:04:30Z	2026-07-20T23:04:39Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6086	6086	issue	open	false	Chrome: queued selectionchange can overwrite a programmatic expanded selection	https://github.com/ianstormtaylor/slate/issues/6086	2026-07-22T16:59:10Z	2026-07-22T16:59:10Z	created-after-baseline	portable-selection-origin	slate-v2	covered-by-existing-test	Plite records selection origin and rejects queued native selectionchange when model-owned programmatic selection is authoritative.		Open issue; no upstream fix or test.	Exact native-only import and model-owned programmatic selectionchange contracts.	packages/plite-react/test/selection-controller-contract.ts:971	pnpm --filter @platejs/plite-react exec bun test --preload ../../config/plite-source-test-setup.ts ./test/selection-controller-contract.ts --test-name-pattern 'DOM selectionchange import|model-owned collapsed'	2026-08-14T11:21:25.836091Z	Track upstream outcome; no local test gap.
6087	6087	issue	open	false	Add consistent tooltip support to all toolbar buttons that currently do not display their names when hovered over.	https://github.com/ianstormtaylor/slate/issues/6087	2026-07-25T16:55:43Z	2026-07-25T18:12:08Z	created-after-baseline	plate-product-ui	plate	deferred-with-owner	The request names Plate.js toolbar buttons and is filed in the wrong upstream repository; it is not a Slate editor-kernel behavior.		No Slate implementation or test provenance.	N/A: Plate toolbar product policy.			2026-08-14T11:21:25.836091Z	Route to the Plate UI owner if selected; do not create a Slate-v2 regression test.
6088	6088	pull_request	closed	true	Version Packages	https://github.com/ianstormtaylor/slate/pull/6088	2026-07-29T05:10:16Z	2026-08-06T19:13:41Z	created-after-baseline	release-non-behavior	docs-support-release	invalid-skip	release maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
6089	6089	pull_request	open	false	chore(deps-dev): bump next from 14.2.35 to 15.5.21	https://github.com/ianstormtaylor/slate/pull/6089	2026-07-29T21:00:10Z	2026-07-29T21:00:14Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6090	6090	pull_request	open	false	chore(deps): bump ip-address from 10.2.0 to 10.4.0	https://github.com/ianstormtaylor/slate/pull/6090	2026-08-03T23:48:14Z	2026-08-03T23:48:17Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6091	6091	pull_request	open	false	Implement custom editor command helpers	https://github.com/ianstormtaylor/slate/pull/6091	2026-08-04T07:09:03Z	2026-08-05T15:49:08Z	created-after-baseline	portable-command-api	slate-v2	covered-by-existing-test	The docs-only Slate helper proposal is subsumed by Plite defineCommand, typed handlers, routing, recursion, and decline semantics.		Open docs-only PR; no Slate runtime or test change.	Typed semantic command contract.	packages/plite/test/command-spec.test.ts	pnpm --filter @platejs/plite test -- command-spec.test.ts	2026-08-14T11:21:25.836091Z	Keep Plite command ownership; do not copy the docs helper shape.
6092	6092	pull_request	closed	true	Deeply compare nested array data structures	https://github.com/ianstormtaylor/slate/pull/6092	2026-08-05T09:42:43Z	2026-08-06T19:14:03Z	created-after-baseline	portable-deep-equality	slate-v2	deferred-with-owner	Merged recursive nested-array comparison exposes a real Plite gap: local deepEqual compares array elements by reference.	6092	packages/slate/test/utils/deep-equal/deep-*-with-array.js.	Primitive arrays only; nested object and array values are unsupported.	packages/plite/src/utils/deep-equal.ts		2026-08-14T11:21:25.836091Z	Open a focused Plite deep-equality test-and-fix slice.
6093	6093	pull_request	open	false	chore(deps): bump undici from 6.27.0 to 6.28.0	https://github.com/ianstormtaylor/slate/pull/6093	2026-08-05T14:31:17Z	2026-08-05T14:31:21Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6094	6094	pull_request	open	false	chore(deps-dev): bump nx from 22.7.6 to 22.7.7	https://github.com/ianstormtaylor/slate/pull/6094	2026-08-07T15:54:48Z	2026-08-07T15:54:53Z	created-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6095	6095	pull_request	closed	true	Version Packages	https://github.com/ianstormtaylor/slate/pull/6095	2026-08-07T15:56:17Z	2026-08-08T05:17:58Z	created-after-baseline	release-non-behavior	docs-support-release	invalid-skip	release maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
