check	issue	state	relevant	closureKind	disposition	cluster	matrixKey	owner	proofKind	exactTest	command	title	url	reason
[x]	28	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts	browser model/native caret empty-block navigation proof	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:337 moves ArrowRight out of an empty leading block	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "moves ArrowRight out of an empty leading block"	Move forward command can't escape empty block	https://github.com/facebook/lexical/issues/28	Lexical #28 ArrowRight from an empty leading block is covered by a plaintext route proof. The model and DOM caret move from the empty first block to the start of the following Hello block. Verified focused Chromium command.
[x]	33	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts	browser model/native caret empty-block word-navigation proof	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:374 moves word forward out of an empty leading block	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "moves word forward out of an empty leading block"	‘Move forward word’ command can't escape empty block	https://github.com/facebook/lexical/issues/33	Lexical #33 word-forward escape from an empty leading block is covered by a plaintext route proof. The model and DOM caret move from the empty first block to the start of the following Hello block. Verified focused Chromium command. Scope caveat: this closes the reported escape invariant, not a broader claim that the first word-forward hop lands at the end of the word.
[x]	36	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate-react/test/model-input-strategy-contract.test.ts	model-owned beforeinput hard-line deletion contract	.tmp/slate-v2/packages/slate-react/test/model-input-strategy-contract.test.ts:779 deletes the current hard line backward without touching the previous block	cd packages/slate-react && bun test:vitest test/model-input-strategy-contract.test.ts -t "deletes the current hard line backward without touching the previous block"	cmd + delete goes too far on chromium browsers	https://github.com/facebook/lexical/issues/36	Lexical #36 cmd-delete/backspace hard-line deletion is covered by a Slate React model-owned beforeinput contract. deleteHardLineBackward from the end of a second block deletes only that current line, preserves the previous foobar block, and repairs the caret to the empty current block. Verified focused Vitest command. Browser macOS chromium probe was attempted separately but skipped on this non-macOS Chromium lane, so closure is package-contract proof rather than browser-specific proof.
[x]	37	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts	browser WebKit hard-line delete no-error proof	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:481 supports WebKit hard-line backward delete without command errors	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=webkit --grep "supports WebKit hard-line backward delete without command errors"	cmd + delete not supported on Safari	https://github.com/facebook/lexical/issues/37	Lexical #37 Safari cmd-delete support is covered by a WebKit plaintext route proof. Meta+Backspace on a second block deletes the current line, preserves the previous foobar block, keeps selection in the emptied current block, and records no page or console errors. Verified focused WebKit command.
[x]	40	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts; .tmp/slate-v2/packages/slate-react/src/editable/selection-reconciler.ts:905; .tmp/slate-v2/packages/slate-react/src/editable/mutation-controller.ts:1337	browser beforeinput soft-line target-range proof	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:522 applies deleteSoftLineBackward target ranges exactly	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "applies deleteSoftLineBackward target ranges exactly"	Bug: delete-line-backward seems to delete line quite randomly when having long paragraphs	https://github.com/facebook/lexical/issues/40	Lexical #40 wrapped soft-line deletion is covered by a Chromium plaintext route proof. A synthetic deleteSoftLineBackward beforeinput target range deletes exactly the browser-provided soft-line range and collapses the selection to the deleted range start. The test failed before the fix by clearing too much text and then preserving a stale selection; after the Slate v2 selection sync/delete-fragment fixes it passes. Also reran the adjacent #36 hard-line delete Vitest contract.
[x]	46	CLOSED	yes	covered-by-existing-test	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts; .tmp/slate-v2/packages/slate/test/text-units-contract.ts; .tmp/slate-v2/packages/slate/test/delete-contract.ts	umbrella keyboard selection/deletion coverage bundle	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:297 keeps browser line-end movement within the current block; .tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:337 moves ArrowRight out of an empty leading block; .tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:374 moves word forward out of an empty leading block; .tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:522 applies deleteSoftLineBackward target ranges exactly; .tmp/slate-v2/packages/slate/test/text-units-contract.ts:268 moves word selection across soft line boundaries; .tmp/slate-v2/packages/slate/test/text-units-contract.ts:292 moves word selection across whitespace-padded soft line boundaries; .tmp/slate-v2/packages/slate/test/text-units-contract.ts:375 deletes portable Lexical #7163 Unicode rows by Slate character units; .tmp/slate-v2/packages/slate/test/text-units-contract.ts:382 moves over portable Lexical #7163 Unicode rows by Slate character units; .tmp/slate-v2/packages/slate/test/delete-contract.ts:46 deletes forward over Unicode whitespace before the next word; .tmp/slate-v2/packages/slate/test/delete-contract.ts:105 deletes backward by word at the start of the next word without clearing the line	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "keeps browser line-end movement within the current block|moves ArrowRight out of an empty leading block|moves word forward out of an empty leading block|applies deleteSoftLineBackward target ranges exactly"; bun test ./packages/slate/test/text-units-contract.ts --test-name-pattern "moves word selection across|portable Lexical #7163 Unicode rows by Slate character units"; bun test ./packages/slate/test/delete-contract.ts --test-name-pattern "deletes forward over Unicode whitespace before the next word|deletes backward by word at the start of the next word without clearing the line"	Plan: Handling Text Selection/Deletion	https://github.com/facebook/lexical/issues/46	Lexical #46 is an umbrella plan, not a single repro. Its portable requirements are covered by exact Slate v2 proofs for arrow/word movement, beforeinput target-range deletion, line-end movement, Unicode/grapheme movement and deletion, and word deletion fallback behavior. Verified a focused Chromium browser bundle plus focused text-unit and delete-contract commands.
[x]	52	CLOSED	no	invalid-skip	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A		N/A	Plan: Set up an E2E test-suite	https://github.com/facebook/lexical/issues/52	Skipped as support-question-discussion; no title/label-level portable editor invariant.
[x]	53	CLOSED	no	invalid-skip	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A		N/A	Supporting Grammarly and Google Translate	https://github.com/facebook/lexical/issues/53	Skipped as support-question-discussion; no title/label-level portable editor invariant.
[x]	59	CLOSED	yes	covered-by-existing-test	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts	browser collapsed mark hotkey typing proof	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts:389 applies mark hotkeys to inserted rich text and clears active marks	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "applies mark hotkeys to inserted rich text and clears active marks"	Should be able to begin style block with mere caret selection	https://github.com/facebook/lexical/issues/59	Lexical #59 collapsed caret formatting is covered by the richtext route proof. It toggles italic at a collapsed caret, types text, clears the active mark, and verifies the inserted text is rendered inside <em>. Verified focused Chromium command.
[x]	60	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts	browser collapsed italic hotkey no-orphan-block proof	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts:435 does not create an orphan block when typing with a collapsed italic hotkey	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "does not create an orphan block when typing with a collapsed italic hotkey"	Pressing Command-I with caret selection (as opposed to range selection) creates orphaned empty block	https://github.com/facebook/lexical/issues/60	Lexical #60 collapsed italic hotkey orphan-block regression is covered by a dedicated richtext route proof. After Control/Meta+I at a collapsed caret and typing Hello, Slate v2 has exactly one Hello block and the text is italic. Verified focused Chromium command.
[x]	65	CLOSED	yes	covered-by-existing-test	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package coverage bundle	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:154 pasted bold text uses <strong>; .tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:414 pastes copied rendered Slate content as an internal fragment before HTML import; .tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:1367 runs generated clipboard paste gauntlet without illegal kernel transitions; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts:390 round-trips a selected fragment through clipboard payloads and replaces the target selection; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts:1023 falls back to plain text when no fragment payload exists; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts:1102 pastes multiline plain text as separate blocks at a collapsed text selection; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts:1337 exports decorated multi-leaf text without leaking render-only wrappers	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "pasted bold text uses <strong>|pastes copied rendered Slate content as an internal fragment before HTML import|runs generated clipboard paste gauntlet without illegal kernel transitions"; cd packages/slate-dom && bun test ./test/clipboard-boundary.test.ts --test-name-pattern "round-trips a selected fragment|falls back to plain text when no fragment payload exists|pastes multiline plain text as separate blocks|exports decorated multi-leaf text"	Request: Add Copy + Paste test coverage	https://github.com/facebook/lexical/issues/65	Lexical #65 is a broad copy/paste coverage request. Slate v2 already has browser HTML paste/internal fragment/generated clipboard gauntlet coverage plus slate-dom package coverage for payload round-trip, plain-text fallback, multiline paste, and decorated copy serialization. Verified focused Chromium and slate-dom commands.
[x]	66	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate/test/delete-contract.ts	model word-delete tab preservation contract	.tmp/slate-v2/packages/slate/test/delete-contract.ts:84 deletes forward by word before a tab without expanding the tab	bun test ./packages/slate/test/delete-contract.ts --test-name-pattern "deletes forward by word before a tab without expanding the tab"	weird delete-forward when current word is succeeded by a tab on FF	https://github.com/facebook/lexical/issues/66	Lexical #66 tab-after-current-word delete-forward regression is covered by an exact Slate delete contract. Forward word deletion from the start of Foo in Foo\tbar removes Foo and preserves the tab before bar without expanding it. Verified focused command.
[x]	71	CLOSED	yes	covered-by-existing-test	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate-react/test/editable-behavior.tsx; .tmp/slate-v2/playwright/integration/examples/plaintext.test.ts	default editable whitespace CSS plus browser typed-space proof	.tmp/slate-v2/packages/slate-react/test/editable-behavior.tsx:27 applies visible root defaults as CSS; .tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:33 inserts text when typed	cd packages/slate-react && bun test:vitest test/editable-behavior.test.tsx -t "applies visible root defaults as CSS"; PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "inserts text when typed"	Bug: Editor depends on white-space: pre-wrap for spacebar to work	https://github.com/facebook/lexical/issues/71	Lexical #71 white-space pre-wrap dependency is covered by package and browser proofs. Editable default styles set whiteSpace pre-wrap/wordWrap break-word, and plaintext browser typing preserves the inserted spaced text in DOM/model. Verified focused Vitest and Chromium commands.
[x]	72	CLOSED	yes	test-written	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts	browser plaintext Enter follow-up typing proof	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:105 creates a new plain text block on Enter before follow-up typing	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "creates a new plain text block on Enter before follow-up typing"	Can't create line breaks in plain text mode	https://github.com/facebook/lexical/issues/72	Lexical #72 plain text line-break regression is covered by a dedicated plaintext route proof. Typing Hello, pressing Enter, then typing world creates two blocks and keeps selection after world. Verified focused Chromium command.
[x]	123	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx; .tmp/slate-v2/packages/slate-react/src/editable/selection-reconciler.ts:66; .tmp/slate-v2/packages/slate-react/src/editable/selection-reconciler.ts:1231	selection export stale DOM offset clamp contract	.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx:444 selection reconciler clamps stale DOM range offsets after text shortening	cd packages/slate-react && bun test:vitest test/selection-reconciler-contract.test.tsx -t "selection reconciler clamps stale DOM range offsets after text shortening|selection reconciler clears the updating guard when DOM export throws"; PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "applies deleteSoftLineBackward target ranges exactly"	Recent regression with textNode.splitText	https://github.com/facebook/lexical/issues/123	Lexical #123 focus restoration regression is covered by a Slate React selection reconciler contract. It simulates a transform-shortened rendered text node where the DOM range reports offset 4 against a 3-character node and verifies selection export clamps setBaseAndExtent to offset 3 instead of throwing. Verified focused Vitest command and reran the adjacent deleteSoftLineBackward browser proof.
[x]	136	CLOSED	yes	deferred-with-owner	defer	plate-plugin-policy	Plate-owned rich text/plugin/product policy	Deferred outside Slate-v2-only scope	Slate-v2-only ledger defer; Plate/product proof intentionally not used		N/A: deferred outside Slate-v2-only issue closure; do not inspect or patch Plate in this run.	Code + Bold/Italic formatting buggy	https://github.com/facebook/lexical/issues/136	Lexical #136 concerns product rich-text mark rendering precedence for code plus bold/italic unformatting. The ledger classifies it plate-owned, and the user clarified this loop is Slate-v2 only, so it is deferred instead of patching Plate package/example tests. Original non-Slate owner: Plate rich-text mark/render-leaf plugin owner. Title: Code + Bold/Italic formatting buggy.
[x]	141	CLOSED	yes	test-written	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	slate-dom clipboard fallback plus model edit/delete contract	.tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts:1177 keeps a single pasted tab inside one text node through follow-up editing	cd packages/slate-dom && bun test ./test/clipboard-boundary.test.ts --test-name-pattern "keeps a single pasted tab inside one text node through follow-up editing"	Blocks break apart unexpectedly when text contains tabs	https://github.com/facebook/lexical/issues/141	Lexical #141 tab-paste corruption is covered by a dedicated Slate v2 clipboard contract. Pasting `ABD\tEFG` creates one paragraph with one text leaf, inserting `C` inside the word keeps the tab in the same leaf, and forward word deletion removes only the next word segment without clearing or splitting the block. Verified focused slate-dom command.
[x]	146	CLOSED	yes	test-written	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	slate-dom internal fragment copy/paste normalization contract	.tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts:687 does not add empty text leaves when pasting a full multi-block fragment	cd packages/slate-dom && bun test ./test/clipboard-boundary.test.ts --test-name-pattern "does not add empty text leaves when pasting a full multi-block fragment"	Bug: Copy + Paste creates unnecessary empty text nodes	https://github.com/facebook/lexical/issues/146	Lexical #146 full multi-block copy/paste empty-leaf pollution is covered by a dedicated Slate v2 clipboard contract. A selected two-block internal fragment is written to the clipboard, pasted into an empty target paragraph, and the final tree has exactly the two populated blocks with no extra empty text leaves. Verified focused slate-dom command.
[x]	147	CLOSED	yes	covered-by-existing-test	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts	browser rich HTML paste import proof	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:154 pasted bold text uses <strong>; .tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:171 pasted code uses <code>; .tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:356 imports Lexical core HTML block shape: plain DOM text node; .tmp/slate-v2/playwright/integration/examples/paste-html.test.ts:573 preserves Google Docs BIU formatting from rich HTML paste	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "pasted bold text uses <strong>|pasted code uses <code>|imports Lexical core HTML block shape: plain DOM text node|preserves Google Docs BIU formatting from rich HTML paste"	Request: Add support for copy and pasting HTML content	https://github.com/facebook/lexical/issues/147	Lexical #147 is a broad HTML paste support feature request. Slate v2 already has browser coverage for basic semantic HTML, code, Lexical-like core HTML text-node shapes, and Google Docs rich BIU formatting; this focused representative subset passed in Chromium. Broader paste-html tests also cover links, lists, tables, source-code HTML, Google Docs tabs/font sizes, internal Slate fragments, and malformed/block-shape imports.
[x]	148	CLOSED	yes	test-written	keep-portable	ime-beforeinput-keyboard	IME and beforeinput transport	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts	browser beforeinput deleteWord target-range proof	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:601 applies deleteWord target ranges over tab whitespace exactly	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "applies deleteWord target ranges over tab whitespace exactly"	Bug: deleteWordBackward/deleteWordForward getTargetRanges handling of tab whitespace	https://github.com/facebook/lexical/issues/148	Lexical #148 deleteWord target-range handling over tab whitespace is covered by a dedicated Slate v2 browser proof. Synthetic beforeinput StaticRanges that include tab whitespace are honored exactly for deleteWordForward (`foo\t` removed) and deleteWordBackward (`\tbar` removed), proving browser-provided target ranges win over fallback word-boundary policy. Verified focused Chromium command.
[x]	149	CLOSED	no	invalid-skip	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A		N/A	Request: Adding newlines to <code> blocks should make new lines	https://github.com/facebook/lexical/issues/149	Skipped as support-question-discussion; no title/label-level portable editor invariant.
[x]	150	CLOSED	no	invalid-skip	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A		N/A	Request: add test coverage for the internal reconciler	https://github.com/facebook/lexical/issues/150	Skipped as support-question-discussion; no title/label-level portable editor invariant.
[x]	153	CLOSED	no	invalid-skip	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A		N/A	Actually run unit tests in parallel	https://github.com/facebook/lexical/issues/153	Skipped as support-question-discussion; no title/label-level portable editor invariant.
[x]	158	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts	browser vertical navigation model/DOM caret proof	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts:2823 keeps DOM caret synced after ArrowUp across paragraphs	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "keeps DOM caret synced after ArrowUp across paragraphs"	Bug: Text cursor indicator not following cursor	https://github.com/facebook/lexical/issues/158	Lexical #158 reports the Windows text cursor indicator not following vertical arrow navigation between paragraphs. The OS indicator itself is not inspectable in Playwright, so Slate v2 closes the portable invariant with a browser proxy: ArrowUp from paragraph two moves the model selection and DOM caret to paragraph one, and the keydown trace records native vertical-layout ownership. Verified focused Chromium command.
[x]	170	CLOSED	no	invalid-skip	skip	selection-dom-caret	DOM selection, caret, range, focus, and native movement	product emoji-shortcut plugin owner	false-positive classification audit		N/A: product/plugin emoji shortcut behavior, not raw Slate-v2 editor behavior	Emoticons not working on return/enter	https://github.com/facebook/lexical/issues/170	Lexical #170 asks for a product command that converts `:)` into emoji on Enter. Raw Slate v2 owns text transport and Enter splitting, not a built-in emoticon/autocorrect plugin. Slate-v2 emoji text and Enter behavior are covered separately, so this issue is an invalid skip for the Slate-v2-only ledger.
