number	state	disposition	cluster	matrixKey	owner	proofKind	action	command	title	url
28	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Move forward command can't escape empty block	https://github.com/facebook/lexical/issues/28
33	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	‘Move forward word’ command can't escape empty block	https://github.com/facebook/lexical/issues/33
36	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	cmd + delete goes too far on chromium browsers	https://github.com/facebook/lexical/issues/36
37	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	cmd + delete not supported on Safari	https://github.com/facebook/lexical/issues/37
40	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: delete-line-backward seems to delete line quite randomly when having long paragraphs	https://github.com/facebook/lexical/issues/40
46	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Plan: Handling Text Selection/Deletion	https://github.com/facebook/lexical/issues/46
52	CLOSED	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A	skip	N/A	Plan: Set up an E2E test-suite	https://github.com/facebook/lexical/issues/52
53	CLOSED	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A	skip	N/A	Supporting Grammarly and Google Translate	https://github.com/facebook/lexical/issues/53
59	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Should be able to begin style block with mere caret selection	https://github.com/facebook/lexical/issues/59
60	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Pressing Command-I with caret selection (as opposed to range selection) creates orphaned empty block	https://github.com/facebook/lexical/issues/60
65	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Request: Add Copy + Paste test coverage	https://github.com/facebook/lexical/issues/65
66	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	weird delete-forward when current word is succeeded by a tab on FF	https://github.com/facebook/lexical/issues/66
71	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: Editor depends on white-space: pre-wrap for spacebar to work	https://github.com/facebook/lexical/issues/71
72	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Can't create line breaks in plain text mode	https://github.com/facebook/lexical/issues/72
123	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Recent regression with textNode.splitText	https://github.com/facebook/lexical/issues/123
136	CLOSED	plate-owned	plate-plugin-policy	Plate-owned rich text/plugin/product policy	Plate plugin/package/docs/example owner	Plate package or example proof	plate-owned	select Plate package/example owner before applying	Code + Bold/Italic formatting buggy	https://github.com/facebook/lexical/issues/136
141	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Blocks break apart unexpectedly when text contains tabs	https://github.com/facebook/lexical/issues/141
146	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Bug: Copy + Paste creates unnecessary empty text nodes	https://github.com/facebook/lexical/issues/146
147	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Request: Add support for copy and pasting HTML content	https://github.com/facebook/lexical/issues/147
148	CLOSED	keep-portable	ime-beforeinput-keyboard	IME and beforeinput transport	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts; .tmp/slate-v2/packages/slate-browser/src/playwright/ime.ts	browser IME/beforeinput plus package history when applicable	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "IME|composition|beforeinput"	Bug: deleteWordBackward/deleteWordForward getTargetRanges handling of tab whitespace	https://github.com/facebook/lexical/issues/148
149	CLOSED	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A	skip	N/A	Request: Adding newlines to <code> blocks should make new lines	https://github.com/facebook/lexical/issues/149
150	CLOSED	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A	skip	N/A	Request: add test coverage for the internal reconciler	https://github.com/facebook/lexical/issues/150
153	CLOSED	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A	skip	N/A	Actually run unit tests in parallel	https://github.com/facebook/lexical/issues/153
158	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: Text cursor indicator not following cursor	https://github.com/facebook/lexical/issues/158
170	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Emoticons not working on return/enter	https://github.com/facebook/lexical/issues/170
171	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: Outline doesn't work with Dragon Naturally Speaking	https://github.com/facebook/lexical/issues/171
172	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: Emotes do not change to emojii when dictated	https://github.com/facebook/lexical/issues/172
173	CLOSED	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A	skip	N/A	Request: setup Playwright for e2e testing	https://github.com/facebook/lexical/issues/173
175	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: Selection across paragraphs selects a ghost character 	https://github.com/facebook/lexical/issues/175
185	CLOSED	skip	unrelated-or-product-unclear	Skip: unrelated-or-product-unclear	N/A	N/A	skip	N/A	Doing a test	https://github.com/facebook/lexical/issues/185
186	CLOSED	keep-portable	ime-beforeinput-keyboard	IME and beforeinput transport	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts; .tmp/slate-v2/packages/slate-browser/src/playwright/ime.ts	browser IME/beforeinput plus package history when applicable	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "IME|composition|beforeinput"	Bug: Spellcheck triggers early because of custom insertText logic	https://github.com/facebook/lexical/issues/186
187	CLOSED	skip	support-question-discussion	Skip: support-question-discussion	N/A	N/A	skip	N/A	Request: Check for queueMicroTask	https://github.com/facebook/lexical/issues/187
198	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: Ctrl+A/E unable to skip over mentions	https://github.com/facebook/lexical/issues/198
219	CLOSED	skip	unrelated-or-product-unclear	Skip: unrelated-or-product-unclear	N/A	N/A	skip	N/A	Multiple classes applied when multiple flags are set on Text Node 	https://github.com/facebook/lexical/issues/219
221	CLOSED	plate-owned	plate-plugin-policy	Plate-owned rich text/plugin/product policy	Plate plugin/package/docs/example owner	Plate package or example proof	plate-owned	select Plate package/example owner before applying	Bug: entering space in a hashtag is broken	https://github.com/facebook/lexical/issues/221
230	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: Unable to left arrow before hashtag after inserting text node	https://github.com/facebook/lexical/issues/230
231	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: segment error with empty text nodes	https://github.com/facebook/lexical/issues/231
237	CLOSED	plate-owned	plate-plugin-policy	Plate-owned rich text/plugin/product policy	Plate plugin/package/docs/example owner	Plate package or example proof	plate-owned/split-raw-invariant-if-needed	select Plate package/example owner before applying	Selecting a sticker in comment editor causes an automatic post	https://github.com/facebook/lexical/issues/237
243	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: Inconsistent behavior when navigating between text nodes and hashtags	https://github.com/facebook/lexical/issues/243
253	CLOSED	skip	unrelated-or-product-unclear	Skip: unrelated-or-product-unclear	N/A	N/A	skip	N/A	Add unit test coverage for cloning nodes to make sure they clone flags and parent correctly	https://github.com/facebook/lexical/issues/253
254	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: Asterisk * causes word move backward to stop	https://github.com/facebook/lexical/issues/254
272	CLOSED	skip	lexical-api-ontology	Skip: lexical-api-ontology	N/A	N/A	skip	N/A	[Firefox] Option/Alt + Up/Down Arrows do not work properly	https://github.com/facebook/lexical/issues/272
274	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Request: Word selection e2e tests	https://github.com/facebook/lexical/issues/274
308	CLOSED	keep-portable	void-decoration-atom	Void, decorator, image, mention, token, and inline atom boundaries	.tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts; .tmp/slate-v2/playwright/integration/examples/mentions.test.ts	browser atom/void keyboard, paste, and IME proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/editable-voids.test.ts --project=chromium --grep "void|decorator|image|mention|Enter|Arrow"	Bug: Emoji are not converted if pasted	https://github.com/facebook/lexical/issues/308
326	CLOSED	skip	unrelated-or-product-unclear	Skip: unrelated-or-product-unclear	N/A	N/A	skip	N/A	Provide minified invariants in prod mode	https://github.com/facebook/lexical/issues/326
353	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Request: Support dragging & dropping text	https://github.com/facebook/lexical/issues/353
379	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bug: incorrect backspace behavior in paragraphs with mentions	https://github.com/facebook/lexical/issues/379
414	CLOSED	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Create test for Ctrl+O command	https://github.com/facebook/lexical/issues/414
424	CLOSED	plate-owned	plate-plugin-policy	Plate-owned rich text/plugin/product policy	Plate plugin/package/docs/example owner	Plate package or example proof	plate-owned	select Plate package/example owner before applying	Fix playground image/icons	https://github.com/facebook/lexical/issues/424
429	CLOSED	keep-portable	void-decoration-atom	Void, decorator, image, mention, token, and inline atom boundaries	.tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts; .tmp/slate-v2/playwright/integration/examples/mentions.test.ts	browser atom/void keyboard, paste, and IME proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/editable-voids.test.ts --project=chromium --grep "void|decorator|image|mention|Enter|Arrow"	Bug: emoji randomly swapped	https://github.com/facebook/lexical/issues/429
442	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Ensure at runtime (DEV) that all custom nodes have a given contract	https://github.com/facebook/lexical/issues/442
443	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Ensure all applicable e2e tests run in plain text mode too	https://github.com/facebook/lexical/issues/443
454	CLOSED	keep-portable	void-decoration-atom	Void, decorator, image, mention, token, and inline atom boundaries	.tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts; .tmp/slate-v2/playwright/integration/examples/mentions.test.ts	browser atom/void keyboard, paste, and IME proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/editable-voids.test.ts --project=chromium --grep "void|decorator|image|mention|Enter|Arrow"	Tackling accessibility + decorator issues	https://github.com/facebook/lexical/issues/454
458	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, and serialization	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard plus slate-dom package proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Bug: emoji copy paste does not work properly in rich text mode	https://github.com/facebook/lexical/issues/458
