lead_key	packet_id	slate_owner	test_or_benchmark	verification_command	decision
wpt:plaintext-preserved-space-delete-target-range	wpt-plaintext-preserved-space-target-range	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:1656 `applies delete target ranges over preserved repeated spaces exactly`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "applies delete target ranges over preserved repeated spaces exactly"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=webkit --grep "applies delete target ranges over preserved repeated spaces exactly"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "(applies delete target ranges over preserved repeated spaces exactly|applies delete target ranges over multi-code-unit graphemes exactly|applies deleteWord target ranges over tab whitespace exactly)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:expanded-selection-target-range-shrink	wpt-expanded-selection-target-range-kept-existing	slate-react/slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/model-input-strategy-contract.test.ts:412 `replaces expanded beforeinput target ranges with typed text`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/model-input-strategy-contract.test.ts:782 `deletes the selected fragment from %s beforeinput`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/model-input-strategy-contract.test.ts:990 `refreshes selection-dependent delete commands after DOM selection import`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx:480 `beforeinput uses event target range instead of later live DOM selection`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx:564 `beforeinput resolves block-spanning element target ranges before live selection fallback`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx:714 `beforeinput does not import only the first range from multiple target ranges`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts target-range rows	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/model-input-strategy-contract.test.ts -- -t "replaces expanded beforeinput target ranges|deletes the selected fragment|refreshes selection-dependent delete commands"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/selection-reconciler-contract.test.tsx -- -t "beforeinput uses event target range|beforeinput resolves block-spanning|beforeinput does not import only the first range"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "(applies deleteSoftLineBackward target ranges exactly|applies deleteWord target ranges over tab whitespace exactly|applies delete target ranges over multi-code-unit graphemes exactly|applies delete target ranges over preserved repeated spaces exactly)"`	kept-existing
wpt:copy-paste-before-non-editable-preserves-siblings	wpt-inlines-paste-before-readonly-inline	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/inlines.test.ts:1341 `pastes before a read-only inline without dropping following content`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/inlines.test.ts:38 explicit mobile `test.skip` gate pattern after fake-green repair	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "pastes before a read-only inline without dropping following content"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=webkit --grep "pastes before a read-only inline without dropping following content"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "(wraps pasted URL text as a link command|pastes content outside inline link boundaries without expanding the link|copies and pastes only selected inline link text|Backspace deletes selected inline link boundary text only)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:hidden-content-copy-serialization	wpt-hidden-content-copy-kept-existing	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/hidden-content-blocks.test.ts:163 `copies model-backed shadcn hidden content while DOM is absent`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/dom-coverage-boundaries.test.ts:142 `copies selected hidden content through model-backed clipboard data`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/dom-coverage-boundaries.test.ts:278 `keeps hidden model updates out of the DOM but available to model-backed copy`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/hidden-content-blocks.test.ts playwright/integration/examples/dom-coverage-boundaries.test.ts --project=chromium --grep "(copies model-backed shadcn hidden content while DOM is absent|copies selected hidden content through model-backed clipboard data|keeps hidden model updates out of the DOM but available to model-backed copy)"`	kept-existing
wpt:paste-handler-mutated-clipboard-data	wpt-paste-handler-mutated-event-data	slate-react	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/dom-coverage-native-bridge-contract.test.ts:655 `paste uses clipboard data mutated by an unhandled app paste callback`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/dom-coverage-native-bridge-contract.test.ts -- -t "paste uses clipboard data mutated by an unhandled app paste callback"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:cefalse-caret-boundary-navigation	wpt-cefalse-boundary-kept-existing	slate-react/slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/content-root-navigation-contract.test.ts; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts:713	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/content-root-navigation-contract.test.ts`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/editable-voids.test.ts --project=chromium --grep "(moves across editable void child-root boundaries with keyboard|moves vertically across editable void child-root boundaries with keyboard|extends keyboard selection from editable void child root into outer siblings)"`	kept-existing
wpt:editing-host-removal-selection-collapse	wpt-host-removal-outside-selection	slate-react	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-controller-contract.ts:719 `selectionchange ignores host-removal collapse outside the editor`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/selection-controller-contract.test.ts -- -t "selectionchange ignores host-removal collapse outside the editor"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:shadow-removed-empty-selection	wpt-shadow-removed-empty-selection	slate-react	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-controller-contract.ts:807 `selectionchange ignores removed shadow host empty native selection`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/selection-controller-contract.test.ts -- -t "selectionchange ignores removed shadow host empty native selection"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:backward-native-selection-direction	wpt-backward-native-selection-direction	slate-dom	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-dom/test/bridge.ts:313 `preserves backward native selection direction when resolving Slate ranges`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-dom && bun test ./test/bridge.test.ts --test-name-pattern "preserves backward native selection direction"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-dom typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:inline-boundary-offset-navigation	wpt-inline-boundary-offset-navigation	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/inlines.test.ts:1409 `steps caret by offset across inline link boundaries`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "steps caret by offset across inline link boundaries"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "(steps caret by offset across inline link boundaries|arrow keys skip over read-only inline|keeps text typed after a link when arrowing back into the link|keeps typing after a link-boundary Backspace outside the link)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=webkit --grep "steps caret by offset across inline link boundaries"`	kept
wpt:inline-link-edge-delete-typing	wpt-inline-link-edge-delete-typing	slate/slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate/test/snapshot-contract.ts:6563 `collapses outside an inline after deleting its first selected character`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate/test/snapshot-contract.ts:6590 `collapses outside an inline after deleting its last selected character`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/inlines.test.ts:659 `keeps typing outside a surviving inline link after deleting edge text`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun test ./packages/slate/test/snapshot-contract.ts --test-name-pattern "legacy delete/selection/inline|collapses outside an inline after deleting"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun test ./packages/slate/test/snapshot-contract.ts`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "(keeps typing outside a surviving inline link after deleting edge text|keeps replacement text inside selected link text|replaces selected inline link text with rich content outside the surviving link|Backspace deletes selected inline link boundary text only|keeps typing after a link-boundary Backspace outside the link)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=webkit --grep "keeps typing outside a surviving inline link after deleting edge text"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:mouse-selection-modification	wpt-mouse-selection-modification	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-browser/src/playwright/index.ts:536 `SlateBrowserTextOffsetClickOptions`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-browser/src/playwright/index.ts:6719 `editor.dom.clickTextOffset`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:120 `Shift+click extends a collapsed text selection`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "(Shift\\+click extends a collapsed text selection|clicking inside selected text collapses the selection|pastes at the clicked caret after Shift state is released|extends a double-click word selection while dragging|stays interactive after dragging selected plain text|mouse drag undo restores manual typed replacement)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=webkit --grep "Shift\\+click extends a collapsed text selection"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-browser typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:initial-selection-on-focus	wpt-initial-selection-on-focus-kept-existing	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/placeholder.test.ts:23 `keeps an empty editor value and start selection while showing a placeholder`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/visual-native-selection-smoke.test.ts:133 `custom placeholder empty state shows one collapsed caret`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/placeholder.test.ts --project=chromium --project=webkit --grep "keeps an empty editor value and start selection while showing a placeholder"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/visual-native-selection-smoke.test.ts --project=chromium --grep "custom placeholder empty state shows one collapsed caret"`	kept-existing
wpt:symbol-run-word-movement	wpt-symbol-run-word-movement	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:31 `getBrowserWordBackwardHotkey`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:1162 `keeps surrounding symbols in browser word movement`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "keeps surrounding symbols in browser word movement"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "(moves word forward out of an empty leading block|keeps surrounding symbols in browser word movement|applies deleteWord target ranges over tab whitespace exactly)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-browser typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:end-of-line-image-selection	wpt-end-of-line-image-selection-kept-existing	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/images.test.ts:156 `deletes a clicked selected image with Backspace`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/images.test.ts:1361 `keeps vertical arrow movement into an image synchronized`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/images.test.ts:1404 `extends horizontal selection into an image with Shift+ArrowRight`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/images.test.ts --project=chromium --grep "(deletes a clicked selected image with Backspace|extends horizontal selection into an image with Shift\\+ArrowRight|keeps vertical arrow movement into an image synchronized)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-browser typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`; `cd /Users/zbeyens/git/plate-2 && for f in docs/slate-v2/research/2026-06-13-wpt-editing-oracles/lead-ledger.tsv docs/slate-v2/research/2026-06-13-wpt-editing-oracles/promoted-ledger.tsv; do awk -F '\t' 'NR==1{n=NF} NF!=n{print FILENAME ":" NR ":" NF " != " n; bad=1} END{if(!bad) print FILENAME ": ok (" n " columns)"}' "$f"; done`	kept-existing
