lead_key	repo_key	source_ref	topic	claim	evidence_grade	novelty	applicability	proof_owner	next_action	status
wpt:cefalse-caret-boundary-navigation	github/web-platform-tests/wpt	wpt-cefalse-caret-boundary	selection,caret,editable-void	Arrow navigation around non-editable islands should land before or after the non-editable boundary, never inside the non-editable node.	A	1	3	slate-react/slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:editing-host-removal-selection-collapse	github/web-platform-tests/wpt	wpt-editing-host-removal	selection,dom-removal,teardown	When a removed editing host makes the browser selection collapse to the host parent, Slate must ignore that outside selection rather than importing it into model state.	A	2	3	slate-react	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:shadow-removed-empty-selection	github/web-platform-tests/wpt	wpt-shadow-removed-empty-selection	selection,shadow-dom,dom-removal	When a selected shadow host is removed, the active native Selection can become empty even while a JS Range still points into the removed shadow tree; Slate must preserve model-owned selection instead of importing null/empty native state.	A	2	3	slate-react	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:composed-range-dom-removal-rescope	github/web-platform-tests/wpt	wpt-composed-range-removal-rescope	selection,shadow-dom,getComposedRanges,dom-removal	`getComposedRanges()` rescopes removed endpoints to host parents or shadow roots and previously returned StaticRanges stay frozen.	A	1	1	none	Invalid-skip for current Slate: no source consumes `getComposedRanges()`; current shadow-root selection behavior is covered by route proof.	invalid-skip
wpt:backward-native-selection-direction	github/web-platform-tests/wpt	wpt-selection-direction	selection,direction,anchor-focus,shadow-dom	Native Selection direction preserves backward anchor/focus order in document and shadow trees; Slate must preserve that order when importing DOM Selection to a model range.	A	2	3	slate-dom	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:click-selection-directionless	github/web-platform-tests/wpt	wpt-selection-direction-clicks	selection,direction,double-click,triple-click	Browser double/triple click selections may be expanded but directionless; Slate should not depend on `selection.direction` for imported model ranges.	B	1	2	slate-browser	Covered by anchor/focus endpoint import plus double/triple click editing rows; reopen only for a concrete click-direction import bug.	kept-existing
wpt:inline-boundary-offset-navigation	github/web-platform-tests/wpt	wpt-modify-around-inline-boundary	selection,inline,arrow-navigation,offset-boundary	Native `Selection.modify("character")` moves by character across inline boundaries, but Slate's inlines example intentionally uses offset movement so users can distinguish before-link, inside-link-start, and first-character positions.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:inline-link-edge-delete-typing	github/web-platform-tests/wpt	wpt-typing-around-link-element	selection,inline,link,delete,typing	Direct typing over a selected link character preserves link membership, but explicit delete of a selected first or last link character should collapse outside the surviving link so follow-up typing does not inherit the link.	A	3	3	slate/slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:mouse-selection-modification	github/web-platform-tests/wpt	wpt-selection-mouse-modification	selection,mouse,click,shift-click,contenteditable	Primary mouse click should collapse or move caret inside the editing host, and Shift+primary click should extend from an existing collapsed selection; Slate-owned proof is model/native agreement for primary click collapse and Shift+click extension, while non-primary context-menu quirks stay browser-owned unless a Slate route regresses.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:initial-selection-on-focus	github/web-platform-tests/wpt	wpt-initial-selection-on-focus	selection,focus,placeholder,empty-editor,contenteditable	Focusing an empty or first-text editing host should place a collapsed caret at the first editable position instead of leaving no range or selecting placeholder UI.	A	1	3	slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:selectstart-prevented-key-extension	github/web-platform-tests/wpt	wpt-selectstart-on-key-contenteditable	selection,selectstart,keyboard,shift-arrow,preventDefault	WPT says native browser keyboard selection should fire `selectstart` when extending from a collapsed range and preserve the original range when `selectstart.preventDefault()` runs. Slate's plaintext route currently owns Shift+Arrow selection outside the browser `selectstart` seam, so silently mirroring WPT would change editor keyboard-selection policy.	B	2	2	slate-plan/slate-browser	Defer until Slate explicitly defines whether app-level `selectstart.preventDefault()` should veto model-owned keyboard selection; the attempted route oracle was reverted after proving it failed under current policy while adjacent Shift+Arrow behavior remained green.	deferred-with-owner
wpt:symbol-run-word-movement	github/web-platform-tests/wpt	wpt-move-by-word-with-symbol	selection,word-navigation,symbols,keyboard	WPT says browser word movement includes symbol runs surrounding a word: moving backward from before the letter crosses the preceding symbols to the start, and moving forward from after the letter crosses trailing symbols to the end.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:korean-latin-word-boundary	github/web-platform-tests/wpt	wpt-move-by-word-korean	selection,word-navigation,korean,latin,unicode	WPT says Korean/Latin transitions should be word boundaries per Unicode word-boundary rules, but current Chromium word movement in the Slate plaintext route moved from offset 0 to offset 4 for `희진DJ` instead of stopping at offset 2.	B	3	2	slate-plan/slate-browser	Defer until Slate decides whether to override browser word movement with Unicode segmentation for Korean/Latin transitions; the attempted route oracle was reverted after proving current Chromium behavior disagrees with WPT while the symbol word-movement row stayed green.	deferred-with-owner
wpt:end-of-line-image-selection	github/web-platform-tests/wpt	wpt-select-end-of-line-image	selection,image,delete,void,visual-selection	WPT drags across an image at the end of a line and deletes the selection; Slate-owned proof is image selection/deletion plus keyboard selection into images without model/native selection desync.	A	1	3	slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:noneditable-boundary-navigation	github/web-platform-tests/wpt	wpt-modify-around-noneditable-span	selection,contenteditable=false,inline-void,editable-void,navigation	WPT says character/lineboundary movement must not land inside non-editable spans or escape an inline editing host. Slate maps this to content-root boundary navigation plus editable-void and read-only inline route rows.	A	1	3	slate-react/slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:target-ranges-fixed-at-dispatch	github/web-platform-tests/wpt	wpt-target-ranges-during-after-dispatch	beforeinput,target-range,selectionchange,static-range	WPT says `InputEvent.getTargetRanges()` remains fixed for the event even when the live DOM selection changes during event propagation. Slate-owned proof is using the event target range instead of importing later live DOM selection.	A	1	3	slate-react	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:content-visibility-hidden-selection	github/web-platform-tests/wpt	wpt-selection-content-visibility-hidden	selection,hidden-content,content-visibility,copy,native-selection	WPT says `content-visibility:hidden` text is not included in native selection text. Slate maps this to hidden DOM staying out of native/browser surfaces while model-backed copy includes hidden content only when Slate owns the payload by policy.	A	1	3	slate-browser/slate-react	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:delete-from-document-selection	github/web-platform-tests/wpt	wpt-selection-delete-from-document	selection,delete,expanded-selection,undo,richtext	WPT says `Selection.deleteFromDocument()` should delete selected range contents like `Range.deleteContents()`. Slate maps this to expanded selection deletion over formatted leaves/top-level blocks, browser Backspace/Delete selected-range behavior, caret editability, and undo restore.	A	1	3	slate/slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:paragraph-movement-cross-editing-boundary	github/web-platform-tests/wpt	wpt-paragraph-movement-cross-editing-boundary	selection,navigation,paragraph,contenteditable=false,content-root	WPT says paragraph and paragraphboundary movement should cross non-editable editing boundaries and land in the previous editable paragraph rather than getting trapped or skipping the boundary incorrectly. Slate maps this to content-root boundary movement and synced-root route navigation.	A	1	3	slate-react/slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:generated-content-word-selection	github/web-platform-tests/wpt	wpt-selection-modify-generated-content	selection,word-navigation,generated-content,pseudo-element,inline-block	WPT checks CSS generated content and trailing inline-block effects on native `Selection.modify("word")` line boundaries. Slate does not own CSS pseudo-element text or raw inline-block layout as document content.	C	1	1	none	Invalid-skip: do not add a Slate oracle unless a Slate route intentionally renders model text through CSS generated content or exposes a route-visible native word-selection regression around user-authored inline-block layout.	invalid-skip
wpt:anchor-removal-selection-rescope	github/web-platform-tests/wpt	wpt-selection-anchor-removal	selection,dom-removal,anchor,rescope,selectionchange	WPT says when a selected anchor node is removed, the native selection anchor snaps up to the parent. Slate-owned proof is that selectionchange does not import detached endpoints or outside parent collapse over the model selection.	A	1	3	slate-react	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:triple-click-directionless-selection	github/web-platform-tests/wpt	wpt-selection-direction-triple-click	selection,direction,triple-click,inline,visual-selection	WPT says triple-click paragraph selection is directionless (`selection.direction === "none"`). Slate-owned proof is model/native selected text agreement and no double highlight for triple-click paragraph selection; Slate does not depend on `selection.direction` for import.	A	1	3	slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:horizontal-caret-position-moveupdown	github/web-platform-tests/wpt	wpt-caret-position-moveupdown-horizontal	selection,caret,vertical-navigation,arrow-up,arrow-down	WPT says caret position should remain correct after line/paragraph up/down movement in horizontal writing mode. Slate maps this to richtext, image, and code-block vertical keyboard route rows with model/DOM selection agreement.	A	1	3	slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:vertical-writing-mode-caret-position	github/web-platform-tests/wpt	wpt-caret-position-moveupdown-vertical-writing-mode	selection,caret,vertical-writing-mode,writing-mode,navigation	WPT covers caret movement in CSS `writing-mode: vertical-lr` and `vertical-rl`. Slate v2 has no declared editor law for vertical writing-mode navigation, and current route proof covers horizontal writing-mode only.	B	2	2	slate-plan/slate-browser	Defer until Slate explicitly decides whether vertical writing-mode editing is a supported private-alpha behavior; do not claim this from horizontal ArrowUp/ArrowDown proof.	deferred-with-owner
wpt:user-select-editable-click-movement	github/web-platform-tests/wpt	wpt-user-select-on-input-contenteditable	selection,user-select,click,contenteditable	WPT says editable elements should still move selection on click when CSS `user-select` is set to `auto`, `text`, `none`, `contain`, or `all`. Slate-owned proof is the editor root moving model and native caret together under those CSS overrides.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:user-select-none-placeholder-serialization	github/web-platform-tests/wpt	wpt-selection-tostring-user-select-none	selection,user-select,placeholder,native-selection,toString	WPT says native `Selection.toString()` excludes `user-select:none` content. Slate-owned proof is that custom placeholder text is styled as unselectable overlay content and never leaks into native selected text or model selected text.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:user-select-none-drag-extension	github/web-platform-tests/wpt	wpt-drag-selection-extend-to-user-select-none	selection,user-select,drag,css-layout	WPT checks arbitrary CSS `user-select:none` drag-selection islands with nested selectable spans. Slate does not own arbitrary app CSS unselectable islands as model semantics; Slate-owned placeholder and hidden-boundary cases are covered separately.	C	1	1	none	Invalid-skip unless a Slate route intentionally renders real model text inside CSS `user-select:none` while expecting native drag-selection semantics over that text.	invalid-skip
wpt:forward-delete-target-ranges	github/web-platform-tests/wpt	wpt-inputevents-forwarddelete-target-ranges	beforeinput,target-range,delete,forward-delete,whitespace	WPT says forward Delete beforeinput target ranges cover the deleted character, inline wrapper, block join, and whitespace affected by the browser operation. Slate-owned proof is applying event target ranges exactly for deleteContentForward/deleteWordForward across grapheme, preserved-space, and word whitespace cases.	A	1	3	slate-browser/slate-react	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:selected-delete-inputtype-content	github/web-platform-tests/wpt	wpt-inputevents-delete-selection	beforeinput,inputType,expanded-selection,delete,word-delete	WPT says modifier word-delete keys over an expanded selection still report content deletion inputTypes and delete the selected fragment. Slate-owned proof is selected-fragment deletion for content delete commands and route selected-range deletion behavior, while the browser-owned exact `inputType` label is accepted from the native event.	A	1	3	slate-react/slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:contenteditable-paste-event-data-null	github/web-platform-tests/wpt	wpt-inputevents-contenteditable-insertfrompaste-data	beforeinput,paste,inputType,dataTransfer,contenteditable	WPT says contenteditable paste input events use `insertFromPaste` with `event.data === null`; Slate-owned proof is preferring the contenteditable `dataTransfer` payload over textarea-style event data.	A	1	3	slate-react	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:invisible-br-empty-host-caret	github/web-platform-tests/wpt	wpt-empty-host-invisible-br-caret	selection,caret,placeholder,empty-editor,zero-width	WPT says an editing host with only invisible BR content and CSS placeholder text should still render/focus a caret. Slate-owned proof is empty custom-placeholder focus selection plus zero-width line-break/empty-block rendering contracts.	A	1	3	slate-browser/slate-react	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:empty-element-native-range	github/web-platform-tests/wpt	wpt-selection-empty-element-range	selection,empty-element,native-range,model-points	WPT says native DOM Range can be placed inside an empty element. Slate points target text leaves and normalizes empty editable model blocks to contain text, so empty element DOM points are not a Slate model law.	C	1	1	none	Invalid-skip; use Slate empty-block/zero-width contracts instead of adding a raw DOM element-point oracle.	invalid-skip
wpt:selection-collapse-arbitrary-editing-hosts	github/web-platform-tests/wpt	wpt-contenteditable-collapse-across-hosts	selection,collapse,focus,contenteditable,multi-root	WPT checks raw `Selection.collapse()` focus transfer across arbitrary sibling/ancestor/descendant editing hosts. Slate owns root-local editor selection import and multi-root editor behavior, not browser focus rules for arbitrary contenteditable hosts outside a Slate root.	C	1	1	none	Invalid-skip unless a Slate route exposes a root-to-root native collapse/import failure; route such failures to multi-root browser proof.	invalid-skip
wpt:selectionchange-after-inline-delete	github/web-platform-tests/wpt	wpt-selectionchange-delete-inline	selectionchange,delete,inline,backspace,selection-repair	WPT says browser `selectionchange` fires after Backspace deletes a character or range inside inline contenteditable content. Slate-owned proof is inline/range deletion correctness plus selectionchange import/repair ownership after browser mutations, not exact browser event counts.	A	1	3	slate/slate-react	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:selectionchange-document-scheduling	github/web-platform-tests/wpt	wpt-selectionchange-document-scheduling	selectionchange,event-loop,document,selection-api	WPT checks exact document-level selectionchange event task scheduling and event counts. Slate consumes browser selectionchange events but does not own the browser's Selection API event loop contract.	C	1	1	none	Invalid-skip unless a Slate route drops or duplicates an imported native selectionchange; route such failures to selection-controller contracts.	invalid-skip
wpt:bidi-lineboundary-selection-modify	github/web-platform-tests/wpt	wpt-selection-modify-bidi-lineboundary	selection,bidi,rtl,lineboundary,navigation	WPT says `Selection.modify("extend", left/right, "lineboundary")` resolves to context-dependent line starts/ends across LTR, RTL, and mixed bidi text. Slate has RTL text-unit and deletion proof, but no declared line-boundary navigation law for mixed bidi route behavior.	B	3	2	slate-plan/slate-browser	Defer until Slate defines whether mixed bidi line-boundary extension is a supported private-alpha behavior; then add route proof against native browser behavior.	deferred-with-owner
wpt:selection-extend-shadow-tree	github/web-platform-tests/wpt	wpt-selection-extend-shadow-tree	selection,extend,shadow-dom,native-selection,anchor-focus	WPT says a native selection inside a shadow tree can be extended over shadow text. Slate-owned proof is shadow-root native caret helpers, model-owned movement inside shadow root, RTL delete inside shadow root, and DOM bridge anchor/focus preservation.	A	1	3	slate-browser/slate-dom	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:selection-extend-raw-api-matrix	github/web-platform-tests/wpt	wpt-selection-extend-api-matrix	selection,extend,native-api,exceptions,browser-api	WPT's broad `Selection.extend()` subset matrix and no-range exception are raw browser Selection API behavior. Slate does not implement the browser Selection API; it imports/exports ranges at editor seams.	C	1	1	none	Invalid-skip unless a Slate route fails to import/export a native extended selection; route such failures to slate-dom/slate-browser proof.	invalid-skip
