source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
wpt-contenteditable-insertfrompaste-data	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/contenteditable-insertfrompaste-type-inputevent-data.html	10-36	Check contenteditable input event data for paste.	Contenteditable insertFromPaste input event does not set `event.data` to selected text; the payload belongs to clipboard/dataTransfer.	wpt:paste-inputevent-datatransfer-authority
wpt-textarea-insertfrompaste-data	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/textarea-insertfrompaste-type-inputevent-data.html	10-32	Check textarea contrast for paste data.	Textarea paste sets `event.data` to pasted plain text, which is the contrast case Slate should not copy for contenteditable rich editors.	wpt:paste-inputevent-datatransfer-authority
wpt-data-transfer-on-insertfrompaste-input	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/editing/other/data_transfer_on_input_event_with_insertfrompaste_type.html	17-51	Check dataTransfer availability on input insertFromPaste.	Contenteditable input insertFromPaste has non-null dataTransfer with copied text; textarea input has null dataTransfer and plain `data`.	wpt:paste-inputevent-datatransfer-authority
slate-editing-kernel-paste-datatransfer-test	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/editing-kernel-contract.ts	344	Add Slate-native proof for WPT paste payload authority.	New contract proves `getEditableCommandFromBeforeInput` prefers contenteditable `dataTransfer` over textarea-style `event.data` for `insertFromPaste`.	wpt:paste-inputevent-datatransfer-authority
wpt-inputevents-editing-host-boundary-delete	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/input-events-get-target-ranges-deleting-range-across-editing-host-boundaries.tentative.html	167-294,296-560	Check deletion target ranges across editing-host and non-editable boundaries.	When only editable text is deleted around non-editable content, browsers can expose multiple target ranges for disjoint editable segments; importing just the first range would lose the visual focus segment.	wpt:multi-target-range-editing-host-boundary
slate-selection-reconciler-multi-target-range	current-slate	source	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/src/editable/selection-reconciler.ts	945-946	Map WPT multi-range invariant to Slate reconciler.	Slate now uses beforeinput target ranges only when exactly one target range exists; multi-range sets preserve the current model/view selection instead of collapsing to the first segment.	wpt:multi-target-range-editing-host-boundary
slate-selection-reconciler-multi-target-range-test	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx	714	Add Slate-native proof for WPT multi-range shape.	New contract proves multiple target ranges do not import only the first editing-host segment.	wpt:multi-target-range-editing-host-boundary
slate-synced-blocks-boundary-delete	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/synced-blocks.test.ts	2111,2220	Verify visible projected boundary deletion after the reconciler guard.	Chromium route rows prove projected Backspace across outer and synced roots still deletes correctly and clears the view selection.	wpt:multi-target-range-editing-host-boundary
wpt-no-beforeinput-when-no-selection	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/editing/other/no-beforeinput-when-no-selection.html	14-80	Check browser behavior when an editing host is focused but native selection has zero ranges.	User typing, Backspace, Delete, Enter, and Shift+Enter should not fire beforeinput when `Selection.rangeCount` is 0; Slate must not process synthetic no-range beforeinput as model input.	wpt:no-beforeinput-without-selection
slate-runtime-beforeinput-no-selection	current-slate	source	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/src/editable/runtime-before-input-events.ts	158,325-335	Map WPT no-selection invariant to Slate runtime.	Selection-scoped insert/delete beforeinput now returns before selection flushing or handled bookkeeping when native `rangeCount` is 0 and the event has no target ranges; app-level format beforeinput still reaches handlers.	wpt:no-beforeinput-without-selection
slate-runtime-beforeinput-no-selection-test	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/runtime-before-input-events-contract.test.ts	145	Add package proof for no-selection beforeinput guard.	Contract proves zero native ranges plus zero target ranges is ignored for insert/delete input, while a native range, a browser target range, or format input keeps the path open.	wpt:no-beforeinput-without-selection
slate-richtext-no-selection-beforeinput-browser	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/richtext.test.ts	1122	Add route proof for the WPT no-selection invariant.	Chromium route row dispatches synthetic beforeinput while native rangeCount is 0, asserts it is not prevented, and proves richtext block text is unchanged.	wpt:no-beforeinput-without-selection
wpt-cefalse-caret-boundary	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/selection/caret/move-around-contenteditable-false.html	64-150	Check caret navigation around non-editable islands.	Browser caret should move before/after non-editable content, not into the non-editable node.	wpt:cefalse-caret-boundary-navigation
slate-content-root-navigation	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/content-root-navigation-contract.test.ts	240-430	Map cE=false pressure to Slate content-root navigation owner.	Package contracts already prove forward/backward word and character navigation into/out of content roots without landing inside the owner placeholder.	wpt:cefalse-caret-boundary-navigation
slate-editable-void-boundary-browser	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	713-920	Map cE=false pressure to visible route proof.	Browser rows prove horizontal, vertical, and projected keyboard selection across editable void child-root boundaries.	wpt:cefalse-caret-boundary-navigation
wpt-editing-host-removal	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/selection/selection-range-after-editinghost-removed.html	13-62	Check selection rescoping after an editing host or its parent is removed.	Browser collapses selection to the removed host's parent; Slate must not import that outside parent range into model selection.	wpt:editing-host-removal-selection-collapse
slate-selection-controller-host-removal	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-controller-contract.ts	719	Add Slate-native proof.	New contract proves selectionchange collapsed to the removed editor's parent is ignored and model-owned preference survives.	wpt:editing-host-removal-selection-collapse
wpt-shadow-removed-empty-selection	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/selection/selection-range-in-shadow-after-the-shadow-removed.tentative.html	16-90	Check selection after a selected shadow host is removed, parent-removed, or self-replaced.	Browser may keep a JS Range in the removed shadow tree but must remove that range from the active Selection; Slate should not import an empty native selection over model-owned state.	wpt:shadow-removed-empty-selection
wpt-composed-range-removal-rescope	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/selection/shadow-dom/tentative/Selection-getComposedRanges-dom-mutations-removal.html	15-97	Check composed range rescoping across shadow and light DOM removal.	New composed ranges rescope removed endpoints to the host parent or shadow root while previously returned StaticRanges do not mutate; useful future browser-route pressure if Slate starts reading composed ranges directly.	wpt:composed-range-dom-removal-rescope
slate-selection-controller-empty-shadow-selection	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-controller-contract.ts	807	Add Slate-native proof.	New contract proves a removed shadow host that yields `rangeCount: 0` is ignored and model-owned preference survives.	wpt:shadow-removed-empty-selection
wpt-selection-direction	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/selection/shadow-dom/tentative/Selection-direction.html	15-62	Check native Selection direction for forward/backward and shadow-boundary selections.	Browser selection direction follows anchor/focus order, including backward selections in document and shadow trees; Slate range import must not normalize backward DOM Selection endpoints into document order.	wpt:backward-native-selection-direction
wpt-selection-direction-clicks	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/selection/selection-direction-on-double-click.tentative.html; /Users/zbeyens/git/wpt/selection/selection-direction-on-triple-click.tentative.html	15-35;15-38	Check click-created directionless expanded selections.	Double/triple click selections can be expanded but directionless; Slate should rely on DOM anchor/focus endpoints for the imported model selection rather than browser `selection.direction`.	wpt:click-selection-directionless
slate-dom-direction-import	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-dom/test/bridge.ts	313	Add Slate-native proof.	New contract proves `resolveSlateRange` preserves backward native Selection anchor/focus order from `setBaseAndExtent`.	wpt:backward-native-selection-direction
