source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
slate-mime-1024	github.com/ianstormtaylor/slate	issue	https://github.com/ianstormtaylor/slate/issues/1024	body and all comments	cross-schema fragment proposal	Suggested configurable contentType/MIME identity; remained open and unimplemented	slate-mime:fragment-content-type:proposal
slate-storage-1959	github.com/ianstormtaylor/slate	issue	https://github.com/ianstormtaylor/slate/issues/1959	body and maintainer decision	compact storage proposal	Versioned slt1 array encoding rejected to preserve readable direct JSON and migration/query ergonomics	no-universal-rich-ast:taxonomy:decision
slate-migrations-3272	github.com/ianstormtaylor/slate	issue	https://github.com/ianstormtaylor/slate/issues/3272	body and maintainer decision	migration/version proposal	Core migration chain rejected as domain-specific; app envelope suggested outside editor value	slate-mime:fragment-content-type:proposal
slate-next-3093	github.com/ianstormtaylor/slate	pull-request	https://github.com/ianstormtaylor/slate/pull/3093	architectural body	plain JSON rewrite	Slate moved to flat custom fields and fewer concepts; briefly introduced slate-schema	slate-mdast:nested-mark-nodes:proposal
slate-schema-3273	github.com/ianstormtaylor/slate	issue	https://github.com/ianstormtaylor/slate/issues/3273	body and all comments	schema package outcome	Declarative slate-schema was removed because imperative normalization was clearer for arbitrary domains	no-universal-rich-ast:taxonomy:decision
slate-schema-3291	github.com/ianstormtaylor/slate	pull-request	https://github.com/ianstormtaylor/slate/pull/3291	body	removal proof	Merged removal of slate-schema five days after the rewrite	slate-unist:text-value-type:proposal
slate-mobile-269	github.com/ianstormtaylor/slate	issue	https://github.com/ianstormtaylor/slate/issues/269	body and maintainer comparison	Mobiledoc provenance	Slate rejected Mobiledoc's complex indexed JSON and flat document limitations	mobiledoc:versioned-flat-document:format
slate-discussions	github.com/ianstormtaylor/slate	discussions	https://github.com/ianstormtaylor/slate/discussions	100 of 155 recent discussions	standards proposal sweep	Keyword scan found support questions but no competing standard proposal	no-universal-rich-ast:taxonomy:decision
block-protocol-hook	github.com/blockprotocol/blockprotocol	rfc	../blockprotocol/rfcs/text/0430-hook-module.md	1-125	rich-text scope	Host may store bespoke rich-text data; block sees schema-compatible representation, often string	block-protocol:embedding-not-ast:protocol
mobiledoc-spec	github.com/bustlelabs/mobiledoc-kit	spec	../mobiledoc-kit/MOBILEDOC.md	1-220	portable document format	Versioned markups/atoms/cards/sections use compact index-referenced arrays	mobiledoc:versioned-flat-document:format
contentful-types	github.com/contentful/rich-text	source	../contentful-rich-text/packages/rich-text-types/src/types.ts	1-40	vendor AST	Closed document/block/inline/text model uses nodeType/data/content/value/marks	vendor-asts:adf-contentful:format
adf-docs	external/atlassian	docs	https://developer.atlassian.com/cloud/jira/platform/apis/document/structure/	JSON structure	vendor AST	Versioned ProseMirror-like doc/content/marks JSON with published schema	vendor-asts:adf-contentful:format
myst-spec	external/jupyter-book	docs	https://github.com/jupyter-book/mystmd/blob/main/docs/overview.md	227-275	MDAST superset	MyST standardizes technical-document conversion AST as an MDAST superset	conversion-asts:myst-pandoc:format
pandoc-api	external/pandoc	docs	https://pandoc.org/using-the-pandoc-api.html	architecture	conversion AST	Readers normalize many formats to Pandoc AST; writers render it outward	conversion-asts:myst-pandoc:format
web-annotation	external/w3c	spec	https://www.w3.org/TR/annotation-model/	recommendation	annotation standard	Stable body/target/selector model, not a document block tree	annotation-collab:webannotation-peritext:model
peritext	external/inkandswitch	paper	https://www.inkandswitch.com/peritext/	model summary	collaboration model	CRDT text plus addMark/removeMark operations derives editor view; no block schema	annotation-collab:webannotation-peritext:model
wordpress-grammar	external/wordpress	docs	https://developer.wordpress.org/block-editor/reference-guides/filters/parser-filters/	parser spec	block serialization	Formal PEG parses HTML-comment block serialization; not a rich inline AST	no-universal-rich-ast:taxonomy:decision
ot-rich-text	github.com/ottypes/rich-text	source	../rich-text/README.md	1-120	collaboration format	ShareJS OT type delegates underlying representation to quill-delta	annotation-collab:webannotation-peritext:model
