status	category	donorPath	destinations	note
active-research-raw	research-artifact	autoresearch.research/yjs-pr20/sources.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr20/sources.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr20/synthesis.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr20/synthesis.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr20/tasks.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr20/tasks.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr21/brief.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr21/brief.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr21/notes/virtual-placeholder-split-merge-bug.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr21/notes/virtual-placeholder-split-merge-bug.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr21/notes/yjs-collaboration-soak-findings-2026-06-03.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr21/notes/yjs-collaboration-soak-findings-2026-06-03.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr21/plan.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr21/plan.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr21/quality-gaps.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr21/quality-gaps.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr21/sources.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr21/sources.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr21/synthesis.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr21/synthesis.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr21/tasks.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr21/tasks.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.sh	docs/research/raw/slate-v2/donor/autoresearch.sh	donor autoresearch session artifact copied under docs/research/raw
archived-exact	root-config	biome.jsonc	docs/transplant/slate-v2/archive/biome.jsonc	not an active Plate source surface
archived-exact	root-config	bun.lock	docs/transplant/slate-v2/archive/bun.lock	not an active Plate source surface
archived-exact	root-config	bunfig.toml	docs/transplant/slate-v2/archive/bunfig.toml	not an active Plate source surface
archived-exact	config	config/bun-test-globals.d.ts	docs/transplant/slate-v2/archive/config/bun-test-globals.d.ts	not an active Plate source surface
archived-exact	config	config/bun-test-setup.ts	docs/transplant/slate-v2/archive/config/bun-test-setup.ts	not an active Plate source surface
archived-exact	config	config/slate-test-jsx-globals.d.ts	docs/transplant/slate-v2/archive/config/slate-test-jsx-globals.d.ts	not an active Plate source surface
archived-exact	config	config/slate-test-jsx.js	docs/transplant/slate-v2/archive/config/slate-test-jsx.js	not an active Plate source surface
archived-exact	config	config/tsconfig.json	docs/transplant/slate-v2/archive/config/tsconfig.json	not an active Plate source surface
archived-exact	config	config/tsconfig.test.json	docs/transplant/slate-v2/archive/config/tsconfig.test.json	not an active Plate source surface
archived-exact	config	config/tsdown.config.mts	docs/transplant/slate-v2/archive/config/tsdown.config.mts	not an active Plate source surface
archived-exact	config	config/typescript/tsconfig.dts.json	docs/transplant/slate-v2/archive/config/typescript/tsconfig.dts.json	not an active Plate source surface
archived-exact	config	config/typescript/tsconfig.json	docs/transplant/slate-v2/archive/config/typescript/tsconfig.json	not an active Plate source surface
active-fumadocs-doc	docs	docs/.gitbook/assets/anchor-point.gif	content/docs/slate/.gitbook/assets/anchor-point.gif	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/.gitbook/assets/collapsed.gif	content/docs/slate/.gitbook/assets/collapsed.gif	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/.gitbook/assets/focus-point.gif	content/docs/slate/.gitbook/assets/focus-point.gif	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/.gitbook/assets/jsfiddle (1).png	content/docs/slate/.gitbook/assets/jsfiddle (1).png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/.gitbook/assets/jsfiddle.png	content/docs/slate/.gitbook/assets/jsfiddle.png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/.gitbook/assets/slack (1).png	content/docs/slate/.gitbook/assets/slack (1).png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/.gitbook/assets/slack.png	content/docs/slate/.gitbook/assets/slack.png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/bookmark.md	content/docs/slate/api/locations/bookmark.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/location.md	content/docs/slate/api/locations/location.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/path-ref.md	content/docs/slate/api/locations/path-ref.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/path.md	content/docs/slate/api/locations/path.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/point-entry.md	content/docs/slate/api/locations/point-entry.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/point-ref.md	content/docs/slate/api/locations/point-ref.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/point.md	content/docs/slate/api/locations/point.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/range-ref.md	content/docs/slate/api/locations/range-ref.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/range.md	content/docs/slate/api/locations/range.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/README.md	content/docs/slate/api/locations/index.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/locations/span.md	content/docs/slate/api/locations/span.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/nodes/editor.md	content/docs/slate/api/nodes/editor.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/nodes/element.md	content/docs/slate/api/nodes/element.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/nodes/node-entry.md	content/docs/slate/api/nodes/node-entry.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/nodes/node.md	content/docs/slate/api/nodes/node.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/nodes/README.md	content/docs/slate/api/nodes/index.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/nodes/text.md	content/docs/slate/api/nodes/text.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/operations/operation.md	content/docs/slate/api/operations/operation.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/operations/README.md	content/docs/slate/api/operations/index.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/scrubber.md	content/docs/slate/api/scrubber.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/api/transforms.md	content/docs/slate/api/transforms.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/01-interfaces.md	content/docs/slate/concepts/01-interfaces.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/02-nodes.md	content/docs/slate/concepts/02-nodes.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/03-locations.md	content/docs/slate/concepts/03-locations.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/04-transforms.md	content/docs/slate/concepts/04-transforms.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/05-operations.md	content/docs/slate/concepts/05-operations.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/06-commands.md	content/docs/slate/concepts/06-commands.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/07-editor.md	content/docs/slate/concepts/07-editor.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/08-extensions.md	content/docs/slate/concepts/08-extensions.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/09-rendering.md	content/docs/slate/concepts/09-rendering.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/10-serializing.md	content/docs/slate/concepts/10-serializing.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/11-normalizing.md	content/docs/slate/concepts/11-normalizing.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/12-typescript.md	content/docs/slate/concepts/12-typescript.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/13-roots.md	content/docs/slate/concepts/13-roots.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/concepts/14-document-state.md	content/docs/slate/concepts/14-document-state.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/general/contributing.md	content/docs/slate/general/contributing.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/general/docs-proof-map.md	content/docs/slate/general/docs-proof-map.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/general/faq.md	content/docs/slate/general/faq.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/general/resources.md	content/docs/slate/general/resources.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/banner.png	content/docs/slate/images/banner.png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/glossary/anchor-point.gif	content/docs/slate/images/glossary/anchor-point.gif	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/glossary/collapsed.gif	content/docs/slate/images/glossary/collapsed.gif	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/glossary/focus-point.gif	content/docs/slate/images/glossary/focus-point.gif	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/icon.png	content/docs/slate/images/icon.png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/jsfiddle.png	content/docs/slate/images/jsfiddle.png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/logo.png	content/docs/slate/images/logo.png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/logo.sketch	content/docs/slate/images/logo.sketch	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/performance/firefox-inp.png	content/docs/slate/images/performance/firefox-inp.png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/preview.png	content/docs/slate/images/preview.png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/images/slack.png	content/docs/slate/images/slack.png	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/Introduction.md	content/docs/slate/index.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-browser.md	content/docs/slate/libraries/slate-browser.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-dom.md	content/docs/slate/libraries/slate-dom.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-history/history-editor.md	content/docs/slate/libraries/slate-history/history-editor.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-history/history-extension-setup.md	content/docs/slate/libraries/slate-history/history-extension-setup.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-history/history.md	content/docs/slate/libraries/slate-history/history.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-history/README.md	content/docs/slate/libraries/slate-history/index.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-hyperscript.md	content/docs/slate/libraries/slate-hyperscript.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-layout/README.md	content/docs/slate/libraries/slate-layout/index.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/annotations.md	content/docs/slate/libraries/slate-react/annotations.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/dom-coverage-boundaries.md	content/docs/slate/libraries/slate-react/dom-coverage-boundaries.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/editable.md	content/docs/slate/libraries/slate-react/editable.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/event-handling.md	content/docs/slate/libraries/slate-react/event-handling.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/experimental-virtualized-rendering.md	content/docs/slate/libraries/slate-react/experimental-virtualized-rendering.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/hooks.md	content/docs/slate/libraries/slate-react/hooks.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/react-editor-setup.md	content/docs/slate/libraries/slate-react/react-editor-setup.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/react-editor.md	content/docs/slate/libraries/slate-react/react-editor.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/README.md	content/docs/slate/libraries/slate-react/index.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-react/slate.md	content/docs/slate/libraries/slate-react/slate.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate-yjs.md	content/docs/slate/libraries/slate-yjs.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/libraries/slate.md	content/docs/slate/libraries/slate.mdx	donor doc copied to Fumadocs Slate section
active-fumadocs-doc	docs	docs/migration/slate-v2.md	content/docs/slate/migration/slate-v2.mdx	donor doc copied to Fumadocs Slate section
archived-exact	docs	docs/plans/2026-04-26-embeds-void-arrow-navigation-regression.md	docs/transplant/slate-v2/archive/docs/plans/2026-04-26-embeds-void-arrow-navigation-regression.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-25-yjs-demo-four-editors-marks.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-25-yjs-demo-four-editors-marks.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-25-yjs-offline-mixed-edits-reconnect.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-25-yjs-offline-mixed-edits-reconnect.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-26-yjs-history-split-fixes.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-26-yjs-history-split-fixes.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-26-yjs-offline-mark-stale-undo.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-26-yjs-offline-mark-stale-undo.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-26-yjs-offline-merge-undo-noop.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-26-yjs-offline-merge-undo-noop.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-26-yjs-offline-move-undo-redo.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-26-yjs-offline-move-undo-redo.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-26-yjs-potion-differential-bug-hunt.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-26-yjs-potion-differential-bug-hunt.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-26-yjs-potion-differential-fixes.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-26-yjs-potion-differential-fixes.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-27-cmd-a-delete-empty-root.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-27-cmd-a-delete-empty-root.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-27-yjs-collaboration-soak.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-27-yjs-collaboration-soak.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-27-yjs-merge-node-canonical-late-peer.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-27-yjs-merge-node-canonical-late-peer.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-28-yjs-command-matrix-controls.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-28-yjs-command-matrix-controls.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-28-yjs-potion-parity-regressions.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-28-yjs-potion-parity-regressions.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-28-yjs-public-split-api.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-28-yjs-public-split-api.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-31-insert-break-burst-repair.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-31-insert-break-burst-repair.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-31-native-word-selection-regression.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-31-native-word-selection-regression.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-31-pagination-table-scale-perf.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-31-pagination-table-scale-perf.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-31-pagination-virtualized-rows800-perf.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-31-pagination-virtualized-rows800-perf.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-05-31-staged-pagination-perf.md	docs/transplant/slate-v2/archive/docs/plans/2026-05-31-staged-pagination-perf.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-06-01-yjs-command-helper-bug-reduction.md	docs/transplant/slate-v2/archive/docs/plans/2026-06-01-yjs-command-helper-bug-reduction.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-06-01-yjs-history-undo-redo-bugs.md	docs/transplant/slate-v2/archive/docs/plans/2026-06-01-yjs-history-undo-redo-bugs.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-06-02-huge-document-auto-dom-budget.md	docs/transplant/slate-v2/archive/docs/plans/2026-06-02-huge-document-auto-dom-budget.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-06-09-yjs-hocuspocus-soak-repro.md	docs/transplant/slate-v2/archive/docs/plans/2026-06-09-yjs-hocuspocus-soak-repro.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-06-10-yjs-hocuspocus-known-issues-fix.md	docs/transplant/slate-v2/archive/docs/plans/2026-06-10-yjs-hocuspocus-known-issues-fix.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-06-10-yjs-production-network-soak.md	docs/transplant/slate-v2/archive/docs/plans/2026-06-10-yjs-production-network-soak.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-06-11-yjs-hocuspocus-persistent-room-soak.md	docs/transplant/slate-v2/archive/docs/plans/2026-06-11-yjs-hocuspocus-persistent-room-soak.md	not an active Plate source surface
archived-exact	docs	docs/plans/2026-06-13-yjs-awareness-reconnect-cursor.md	docs/transplant/slate-v2/archive/docs/plans/2026-06-13-yjs-awareness-reconnect-cursor.md	not an active Plate source surface
active-fumadocs-doc	docs	docs/releases/slate-v2.md	content/docs/slate/releases/slate-v2.mdx	donor doc copied to Fumadocs Slate section
archived-exact	docs	docs/solutions/developer-experience/yjs-awareness-react-hooks-2026-05-29.md	docs/transplant/slate-v2/archive/docs/solutions/developer-experience/yjs-awareness-react-hooks-2026-05-29.md	not an active Plate source surface
archived-exact	docs	docs/solutions/logic-errors/yjs-backspace-merge-normalization-reconnect-2026-05-25.md	docs/transplant/slate-v2/archive/docs/solutions/logic-errors/yjs-backspace-merge-normalization-reconnect-2026-05-25.md	not an active Plate source surface
archived-exact	docs	docs/solutions/logic-errors/yjs-forward-move-history-fallback-2026-05-26.md	docs/transplant/slate-v2/archive/docs/solutions/logic-errors/yjs-forward-move-history-fallback-2026-05-26.md	not an active Plate source surface
archived-exact	docs	docs/solutions/logic-errors/yjs-merge-read-virtual-text-leaves-2026-05-27.md	docs/transplant/slate-v2/archive/docs/solutions/logic-errors/yjs-merge-read-virtual-text-leaves-2026-05-27.md	not an active Plate source surface
archived-exact	docs	docs/solutions/logic-errors/yjs-offline-merge-stale-undo-2026-05-26.md	docs/transplant/slate-v2/archive/docs/solutions/logic-errors/yjs-offline-merge-stale-undo-2026-05-26.md	not an active Plate source surface
archived-exact	docs	docs/solutions/logic-errors/yjs-offline-split-reconnect-merge-2026-05-25.md	docs/transplant/slate-v2/archive/docs/solutions/logic-errors/yjs-offline-split-reconnect-merge-2026-05-25.md	not an active Plate source surface
archived-exact	docs	docs/solutions/logic-errors/yjs-split-history-dependent-redo-2026-06-01.md	docs/transplant/slate-v2/archive/docs/solutions/logic-errors/yjs-split-history-dependent-redo-2026-06-01.md	not an active Plate source surface
