check	issue	state	relevant	classification	owner	status	reason	local_coverage	local_test	verification_command	last_checked_at	next_action	title	url	provider_updated_at	provider_checked_at	provider_labels	metadata_status
[ ]	394	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Exposing unocss-shortcut ?	https://github.com/prosekit/prosekit/issues/394	2024-02-24T22:45:40Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	396	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Changing the editor state	https://github.com/prosekit/prosekit/issues/396	2024-07-29T13:25:32Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	397	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Extend node spec	https://github.com/prosekit/prosekit/issues/397	2024-07-29T13:30:48Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	398	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Remove a node ?	https://github.com/prosekit/prosekit/issues/398	2024-06-10T08:38:32Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	452	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	PopoverContent placement	https://github.com/prosekit/prosekit/issues/452	2024-04-24T17:17:59Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	470	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Handle AutocompletePopover events	https://github.com/prosekit/prosekit/issues/470	2024-05-06T16:25:58Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	493	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	example: align text example	https://github.com/prosekit/prosekit/issues/493	2024-05-17T10:35:38Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	511	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Themes	https://github.com/prosekit/prosekit/issues/511	2025-04-28T06:55:48Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	519	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Notes for Nuxt	https://github.com/prosekit/prosekit/issues/519	2024-07-15T07:45:56Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	529	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Shift tooltip position 	https://github.com/prosekit/prosekit/issues/529	2024-05-28T11:57:31Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	587	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Vue Injection Warn	https://github.com/prosekit/prosekit/issues/587	2024-06-25T10:59:48Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	607	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	[Svelte]: `[HMR][Svelte] Unrecoverable HMR error in <Root>: next update will trigger a full reload`, `Uncaught (in promise) Error: Function called outside component initialization`	https://github.com/prosekit/prosekit/issues/607	2024-07-07T06:17:31Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	647	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Add docs for `isActive`	https://github.com/prosekit/prosekit/issues/647	2026-05-04T09:11:31Z	2026-09-09T17:59:27.205228+00:00	documentation	new-unchecked
[ ]	649	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Improve VSCode development experience for examples 	https://github.com/prosekit/prosekit/issues/649	2024-07-11T02:24:47Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	689	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Empty selection should not trigger inline menu	https://github.com/prosekit/prosekit/issues/689	2024-07-21T11:27:10Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	693	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	How should we understand `Facet` and `Extension`?	https://github.com/prosekit/prosekit/issues/693	2024-07-24T03:30:18Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	700	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	The inferred type of 'defineExtension' cannot be named without a reference to ...	https://github.com/prosekit/prosekit/issues/700	2024-07-24T18:34:15Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	708	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Is it necessary to create a helpers or utils package?	https://github.com/prosekit/prosekit/issues/708	2024-07-29T13:41:10Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	738	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	cli `gen` cannot automatically generate a new component's story to the `astrobook` `src` directory.	https://github.com/prosekit/prosekit/issues/738	2024-08-12T14:56:56Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	759	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Show keyboard shortcuts in the table menu	https://github.com/prosekit/prosekit/issues/759	2024-10-30T11:40:24Z	2026-09-09T17:59:27.205228+00:00	enhancement	new-unchecked
[ ]	761	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Add end-to-end test for table handle	https://github.com/prosekit/prosekit/issues/761	2025-12-08T00:53:25Z	2026-09-09T17:59:27.205228+00:00	enhancement	new-unchecked
[ ]	771	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Improve the position of block handle	https://github.com/prosekit/prosekit/issues/771	2025-01-14T10:49:15Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	781	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	add `table` extension docs	https://github.com/prosekit/prosekit/issues/781	2024-09-09T14:30:19Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	791	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Example for file dropping	https://github.com/prosekit/prosekit/issues/791	2024-10-20T21:27:04Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	799	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Cannot select the first character in the table cell	https://github.com/prosekit/prosekit/issues/799	2024-09-27T01:38:54Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	805	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Issue with addLink command of Link extension	https://github.com/prosekit/prosekit/issues/805	2024-10-11T08:55:05Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	826	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	"Tooltips won't disappear when ""reduce motion"" is on "	https://github.com/prosekit/prosekit/issues/826	2024-10-30T11:44:48Z	2026-09-09T17:59:27.205228+00:00	bug	new-unchecked
[ ]	839	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Changing mark by clicking inline popover button will shift the popover 	https://github.com/prosekit/prosekit/issues/839	2025-12-08T00:53:34Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	843	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Support mark view using React, Vue etc	https://github.com/prosekit/prosekit/issues/843	2024-12-19T06:17:50Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	877	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Support for Extending ReactNodeView to Implement Footnotes (Similar to ProseMirror Footnote Example)	https://github.com/prosekit/prosekit/issues/877	2024-12-23T02:54:24Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	895	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Block handle dragging image doesn't work when the editor contains many lines	https://github.com/prosekit/prosekit/issues/895	2025-04-05T06:16:01Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	909	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Rendering virtual DOM in prosemirror.	https://github.com/prosekit/prosekit/issues/909	2025-03-18T17:37:29Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	931	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Heading keymaps	https://github.com/prosekit/prosekit/issues/931	2025-03-16T10:24:18Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	940	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Block handle doesn't work well with tables	https://github.com/prosekit/prosekit/issues/940	2025-03-22T05:51:20Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	976	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Autocomplete does not remember dismissal across moving selection between nodes	https://github.com/prosekit/prosekit/issues/976	2025-04-17T15:44:27Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1001	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Shift+enter for newline without new block	https://github.com/prosekit/prosekit/issues/1001	2025-05-07T07:11:20Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1020	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Can't press enter in the prosekit editor	https://github.com/prosekit/prosekit/issues/1020	2025-05-18T20:38:54Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1026	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Prosekit props from editor does not work with React Compiler	https://github.com/prosekit/prosekit/issues/1026	2025-05-31T07:47:46Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1061	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Delete the first line when there is any characters left	https://github.com/prosekit/prosekit/issues/1061	2025-06-13T14:23:26Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1062	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Bug: Slash menu triggers when selecting text with /	https://github.com/prosekit/prosekit/issues/1062	2025-07-06T05:16:56Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1066	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Bug: Drag and drop does not work correctly with lists	https://github.com/prosekit/prosekit/issues/1066	2025-06-13T08:53:39Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1069	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Bug: Some key maps don't work	https://github.com/prosekit/prosekit/issues/1069	2025-06-13T22:38:10Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1072	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Feat: add examples to change the background and the text color	https://github.com/prosekit/prosekit/issues/1072	2026-05-04T09:11:30Z	2026-09-09T17:59:27.205228+00:00	good first issue	new-unchecked
[ ]	1073	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Feat: A migration tool for BlockNote and TipTap json format	https://github.com/prosekit/prosekit/issues/1073	2026-05-04T09:11:31Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1075	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Directly insert a link without the need to press another key	https://github.com/prosekit/prosekit/issues/1075	2025-08-14T14:29:25Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1076	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Directly open link on click	https://github.com/prosekit/prosekit/issues/1076	2025-06-13T14:26:15Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1077	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	The first Ctrl + A should select only the entire block	https://github.com/prosekit/prosekit/issues/1077	2025-11-24T10:23:47Z	2026-09-09T17:59:27.205228+00:00	good first issue	new-unchecked
[ ]	1081	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Add Block Side Menu example	https://github.com/prosekit/prosekit/issues/1081	2025-06-17T13:05:49Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1085	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Add LLLMs.txt	https://github.com/prosekit/prosekit/issues/1085	2025-06-29T12:52:20Z	2026-09-09T17:59:27.205228+00:00	documentation, help wanted	new-unchecked
[ ]	1118	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Feat: move node command	https://github.com/prosekit/prosekit/issues/1118	2025-07-04T23:39:05Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1121	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Table handle icons moves unexpectedly	https://github.com/prosekit/prosekit/issues/1121	2025-08-01T20:07:22Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1122	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Table drag preview size changes	https://github.com/prosekit/prosekit/issues/1122	2025-07-07T11:15:34Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1125	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Cannot save code block languages to markdown	https://github.com/prosekit/prosekit/issues/1125	2025-07-09T15:27:01Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1141	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Drag handles should not move during scrolling	https://github.com/prosekit/prosekit/issues/1141	2025-08-02T12:17:03Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1153	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Safari drag preview is broken	https://github.com/prosekit/prosekit/issues/1153	2025-08-16T17:18:58Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1159	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Drag and drop issue list	https://github.com/prosekit/prosekit/issues/1159	2025-08-16T21:25:25Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1169	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Use defineNodeSpec api to redefine the ordered list structure.	https://github.com/prosekit/prosekit/issues/1169	2025-08-11T08:49:21Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1182	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Dnd indicator should not display when dragging a table column	https://github.com/prosekit/prosekit/issues/1182	2025-08-16T21:24:21Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1183	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Table handle icon position is wrong	https://github.com/prosekit/prosekit/issues/1183	2025-08-16T13:53:48Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1184	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Table dnd preview doesn't work on Firefox	https://github.com/prosekit/prosekit/issues/1184	2025-08-16T12:56:16Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1185	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Image size should not changes	https://github.com/prosekit/prosekit/issues/1185	2025-08-16T17:18:46Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1218	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	TypeScript: Editor<Union<...>> not assignable to Editor<any> due to private 'instance' when passing to <ProseKit editor={...}>	https://github.com/prosekit/prosekit/issues/1218	2025-09-15T05:35:30Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1219	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Commit viewer resets when using Loro doc extension streaming updates (diff initialized with initial state then re-mapped/reset by later Loro changes)	https://github.com/prosekit/prosekit/issues/1219	2025-09-19T07:56:56Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1266	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Cannot save task list to markdown	https://github.com/prosekit/prosekit/issues/1266	2025-10-29T14:29:49Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1270	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	How to delete a table?	https://github.com/prosekit/prosekit/issues/1270	2026-05-04T09:11:32Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1272	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Custom extensions?	https://github.com/prosekit/prosekit/issues/1272	2026-05-04T09:11:32Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1306	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	[doc]：doc website so laggy	https://github.com/prosekit/prosekit/issues/1306	2025-11-15T07:15:25Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1322	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Developing some AI kits for ProseKit?	https://github.com/prosekit/prosekit/issues/1322	2025-11-12T08:03:04Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	1326	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Prosekit.dev -- Editor inoperable	https://github.com/prosekit/prosekit/issues/1326	2025-11-19T12:06:48Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
