check	issue	state	relevant	classification	owner	status	reason	linked_prs	linked_refs	provider_commit_refs	provider_mentioned_commit_refs	upstream_test_provenance	local_coverage	local_test	verification_command	last_checked_at	next_action	title	url	claim	concept_ids	current_source_truth	source_evidence	proof_relation	proof_evidence	changes_audit	audit_change	body_sha256	timeline_sha256	semantic_sha256	timeline_events
[x]	11	OPEN	yes	open	external-framework	deferred-with-owner	Open Wordgard product feature with no local adoption consequence.					../wordgard/test/test-change.ts:415-416; ../wordgard/test/test-change.ts:484-484	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Define the value-picker owner and prove keyboard/screen-reader operation.	Create a user interface for choosing a value for `CodeBlockLanguage`	https://code.haverbeke.berlin/wordgard/wordgard/issues/11	CodeBlockLanguage has no keyboard-accessible value-selection UI.	WG-PRODUCT-003A2B; WG-VIEW-014B	Open. The language mark type exists and fenced-code input tries to apply it, but no menu control selects a value; that input-rule source is also currently missing imports.	../wordgard/src/types/schema.ts:52-55; ../wordgard/src/schema/code.ts:1-56	Mark serialization tests exist; no UI or accessibility test covers choosing a language.	../wordgard/test/test-change.ts:415-416; ../wordgard/test/test-change.ts:484-484	no	Product-control gap; #32 separately changes the build audit.	9b466c60d5b09e23629a7374cae0e69a273b3e9879c26f1e724d1abc7c6f3fb3	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	8543e21022a1e4c48833ce12f730c302a95ad151a7521e4d91c6c171af824ad1	0
[x]	12	OPEN	yes	open	external-framework	deferred-with-owner	The remaining productized transport/server work belongs to Wordgard.					../wordgard/test/test-collab.ts:114-340	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Separate algorithm proof from a packaged client/server contract and operational example.	Provide a practical collaborative editing system	https://code.haverbeke.berlin/wordgard/wordgard/issues/12	The collaboration algorithm lacks a packaged practical client/server transport and complete operational documentation.	WG-COLLAB-001; WG-COLLAB-002A; WG-COLLAB-002B; WG-COLLAB-002C; WG-META-004B; WG-META-004D; WG-STATE-001B	Open. The package owns versioned client queues, receive/send helpers, transforms, corrections, and shared effects; sendableUpdate reserves a send by mutating CollabState. The practical client/server remains ad hoc website example code.	../wordgard/src/collab/collab.ts:23-275; ../wordgard-website/site/examples/collab/collab.ts:17-260	Retained test source covers convergence, starvation transforms, corrections, effects, and random input. Its observed execution resolved stale dist, and transport reconnect, persistence, authentication, and server lifecycle remain unproved.	../wordgard/test/test-collab.ts:114-340	yes	Keeps algorithmic collaboration exact but downgrades any claim of a complete practical collaboration system to partial. The observational-snapshot purity finding is independently source-derived, not issue-created.	35b4fa3e53845d66f1858c36b9571285a08443eaf9d3e635fc6c9aefc5dd7a0f	5655ca3d90e64b4cdccf5165ac59a75fd9d43ddbd2c0056ca7a217640501bb9c	248c1c519c67202e15f27a01f967a8c36319cd13010fc6c5af0710a048548795	1
[x]	13	OPEN	yes	open	external-framework	deferred-with-owner	Open donor requirement with no implemented Wordgard contract to transplant.						none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Keep completion feature-owned in Plate; Wordgard must first define and prove its own lifecycle before it can be a donor.	Look into supporting autocompletion in the core lib	https://code.haverbeke.berlin/wordgard/wordgard/issues/13	Wordgard has no completion provider/query/selection/accept/cancel lifecycle.	LOCAL-COMPLETION-LIFECYCLE; WG-VIEW-014C1	Open. Generic tooltip primitives exist, but there is no completion state, query lifecycle, command, or feature bundle.	../wordgard/src/editor/tooltip.ts:398-526	No implementation means no applicable test.	../wordgard/src/editor/tooltip.ts:398-526	yes	Adds an issue-derived requirement row, but rejects centralizing completion in editor Core: Plate feature owners and copied UI already own the applicable product behavior.	444108a38bc4ede7b765af733fb7dcc272351767c5f3216d5a51568dcfd5efa6	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	f39d2b599768b04a00c1a8dc8eac4b81da28112e4e6321fbc22e0021a33dd5fd	0
[x]	14	CLOSED	yes	fixed	external-framework	deferred-with-owner	Source fix exists without exact browser style proof.		wordgard@b4ef7ab85e8f4aaad8279e5efff54046196de847; wordgard@ec00fb3cc66da0e0a5e6d7378ec9b01579d0676e	b4ef7ab85e8f4aaad8279e5efff54046196de847; ec00fb3cc66da0e0a5e6d7378ec9b01579d0676e	b4ef7ab85e8f4aaad8279e5efff54046196de847; ec00fb3cc66da0e0a5e6d7378ec9b01579d0676e		none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add a host-theme override assertion for top and bottom panel classes.	Cannot change menu bar's `top`	https://code.haverbeke.berlin/wordgard/wordgard/issues/14	An inline top style made the sticky menu panel impossible to offset with host CSS.	WG-VIEW-013A; WG-VIEW-014A1	Fixed. Panel groups carry top/bottom classes and the base theme owns default offsets, allowing host CSS to override them.	../wordgard/src/editor/panel.ts:147-190; ../wordgard/src/editor/theme.ts:145-166	Reporter confirmation exists; no panel CSS regression test is retained.	../wordgard/src/editor/theme.ts:145-166	no	Reaffirms CSS—not imperative DOM style—as the correct panel-layout owner.	e0a455ea29dcd334d3173da8dfe3315f664c2ff530bd0705bcb56fbfd43c5062	03d73d6b326c1660308ddc44f00e617ff3d282f42075ca7d048450f7140eb698	a0b909d7c450b74f3d1d58799c798a3184676d4c346d7248de8d533a8109fde6	5
[x]	15	CLOSED	yes	fixed	external-framework	deferred-with-owner	Source fix is present; exact browser interaction proof is absent.		wordgard@c926b15827b28b72e436df2f96f8dad865cd189f	c926b15827b28b72e436df2f96f8dad865cd189f	c926b15827b28b72e436df2f96f8dad865cd189f	../wordgard/test/test-change.ts:123-216	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add keyboard and mouse select-all cut rows against a non-empty-root schema.	After use Ctrl+A to select all, Ctrl+X cause a "ValidationError"	https://code.haverbeke.berlin/wordgard/wordgard/issues/15	Keyboard select-all followed by cut could delete the document into an invalid shape.	WG-DOC-012; WG-STATE-010B; WG-VIEW-010C2	Fixed. Cut changes use schema fitting and explicitly remap a valid nearby selection after deletion.	../wordgard/src/editor/input.ts:584-605	ChangeSet fitting has strong unit coverage, but no exact Ctrl/Cmd-A then cut browser regression is retained.	../wordgard/test/test-change.ts:123-216	no	Confirms clipboard deletion must pass through schema-aware replacement fitting.	24b221c8a054324a62ea4ce7b2e9c4addbf9644a07af192fa9b72ae1c0a134b1	d2f7c80ae0cf03ae5a981523dff8084991a1ec27112ddda519366b05b50c83d3	c938148b599f76ca33e9c9c72a1e569fefd14f0027e7b88ce9dc249dbe52a7b9	3
[x]	16	CLOSED	yes	fixed	external-framework	deferred-with-owner	The exact upstream test source exists, but no run executes it against frozen-head runtime artifacts.		wordgard@514d79eb207b419571f10953249c611d93a2e2fb			../wordgard/test/webtest-content.ts:375-384	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Repair the current build, resolve test imports to rebuilt current-head output, and rerun the exact row with module-resolution proof.	Range wrapper decorations don't redraw when their attributes change	https://code.haverbeke.berlin/wordgard/wordgard/issues/16	Range-wrapper attribute changes were ignored because equality compared the new element with itself.	WG-VIEW-005A1; WG-VIEW-005C1	Fixed. WrapperRangeDecoration.eq compares the other element with this element.	../wordgard/src/editor/decoration.ts:491-508	Exact browser regression source updates wrapper class a to b. The observed 733-test run imported ignored dist built at 01eb2b5, seven commits behind frozen head, so it is not current-head execution proof.	../wordgard/test/webtest-content.ts:375-384	yes	Downgrades current-head decoration proof to partial: fixed source and exact regression source exist, but the only observed execution is stale-dist.	f98ddec124a16e5a969668abe32f3ad29f5c2fa727e2cbdcb85ac034e561eeb2	bdbcbde7c3e629ff83e85967dcd04e9a4f57aa2a627c9cb6f323d4d82c0ec6c6	c2fdeb4a4dd04cb9f0904c5a25f7379f528b28b59e0270254a9997dd148ef8bd	2
[x]	17	CLOSED	yes	fixed	external-framework	deferred-with-owner	The exact upstream test source exists, but no run executes it against frozen-head runtime artifacts.		wordgard@b4de5b3771c0ef089e2ea84fd70af0d932b72ab9	b4de5b3771c0ef089e2ea84fd70af0d932b72ab9	b4de5b3771c0ef089e2ea84fd70af0d932b72ab9	../wordgard/test/webtest-content.ts:341-355	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Repair the current build, resolve test imports to rebuilt current-head output, and rerun the exact row with module-resolution proof.	Point decoration at the end of the document isn't redrawn when it changes	https://code.haverbeke.berlin/wordgard/wordgard/issues/17	A changed zero-width point widget at document end was not invalidated and redrawn.	WG-VIEW-005A2; WG-VIEW-005C1	Fixed. Widget invalidation preserves zero-width changed sections at the document boundary.	../wordgard/src/editor/decoration.ts:1016-1035	Exact browser regression source flips the end widget x to y. The observed 733-test run imported ignored dist built at 01eb2b5, seven commits behind frozen head, so it is not current-head execution proof.	../wordgard/test/webtest-content.ts:341-355	yes	Downgrades current-head widget proof to partial: fixed source and exact regression source exist, but the only observed execution is stale-dist.	e091cb68c77ad7b83d85574162452ee6a5180f66cbd8c7ded51363c1ce6fa04d	87ec4284aaa9e2841099aae4a17ff1faed8c45437c6e7c2cc72a344ccab67d70	2f2d4d40fcdb3c2f681c2837f7b9d9f25ae572514738d40e07654bfd1dd9d8c7	2
[x]	18	CLOSED	yes	fixed	external-framework	deferred-with-owner	The exact upstream test source exists, but no run executes it against frozen-head runtime artifacts.		wordgard@cb9c37749d4fb749679ddbd552126329b5a8dd2a	cb9c37749d4fb749679ddbd552126329b5a8dd2a	cb9c37749d4fb749679ddbd552126329b5a8dd2a	../wordgard/test/webtest-content.ts:386-395	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Repair the current build, resolve test imports to rebuilt current-head output, and rerun the exact row with module-resolution proof.	A lower decoration change is lost when a higher one changes too	https://code.haverbeke.berlin/wordgard/wordgard/issues/18	Merging simultaneous point and range decoration changes dropped the lower change.	WG-VIEW-005C1	Fixed. joinRanges indexes the source list correctly and invalidation tracks the last appended end per source.	../wordgard/src/editor/decoration.ts:954-976; ../wordgard/src/editor/decoration.ts:1007-1035	Exact browser regression source changes a point and range in one transaction. The observed 733-test run imported ignored dist built at 01eb2b5, seven commits behind frozen head, so it is not current-head execution proof.	../wordgard/test/webtest-content.ts:386-395	yes	Downgrades current-head invalidation proof to partial: fixed source and exact regression source exist, but the only observed execution is stale-dist.	723e184fdbb2dede3b67977fd41baf464ac9c6eeb2f9102e78c40b5032c87a49	63b82751be7c61ca91a3ada01d8a8888b6a3952a689770d2d5f72da11ff2fbd2	9147cb8c9535f986b16c64cd9dbe920e4f6fbcccf3a60b44cd88651ed41ec8ee	2
[x]	19	CLOSED	yes	stale	external-framework	invalid-skip	The reported geometry expectation depends on an unsupported block-widget/inline-content combination.						none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Document the unsupported combination if users can reach it through public APIs.	coordsAtPos returns the block's far edge instead of the caret's line start next to a block widget	https://code.haverbeke.berlin/wordgard/wordgard/issues/19	coordsAtPos returned the far edge near a block-display widget placed inside an inline-content plot.	WG-VIEW-005A2; WG-VIEW-006B	Closed as unsupported/by-design. side -1 places the widget before the cursor, and block-display widgets inside inline content are outside the supported rendering contract.	../wordgard/src/editor/decoration.ts:280-292; ../wordgard/src/editor/coords.ts:5-60	No source fix or regression test exists because the reproduction violates the supported widget/layout contract.	../wordgard/src/editor/decoration.ts:280-292	no	Clarifies a contract boundary; it does not create a supported invariant to compare or adopt.	e225bd17d4018379bab58cfeab38b09bc99ebc41c5586b61f6f6110987fe078a	da9459b9135f8321483e86d0dc28c2ca829985eaa76f21e980af48144f773044	e0504ea915a7ee6fbc62978b65ef3645cb471e2c83b11b7ad54863c52cf1031e	3
[x]	20	CLOSED	yes	fixed	external-framework	deferred-with-owner	Current source contains the fix; exact top-level-textblock proof is absent.		wordgard@ddf6fd8a609eb96c02d6f39fd7580649c16eeef4	ddf6fd8a609eb96c02d6f39fd7580649c16eeef4	ddf6fd8a609eb96c02d6f39fd7580649c16eeef4	../wordgard/test/webtest-coords.ts:109-175	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add the reported direct-inline document schema to moveVertically browser tests.	Arrow / line-boundary movement crashes on a doc that is its own textblock	https://code.haverbeke.berlin/wordgard/wordgard/issues/20	Vertical motion crashed when the document root itself was the textblock.	WG-STATE-014A; WG-VIEW-006B	Fixed. Vertical motion uses the document tile when a textblock position has no parent instead of reading before on the top node.	../wordgard/src/editor/selection.ts:39-62	Retained browser test source covers general vertical motion, but the observed execution is stale-dist and none use a document root with direct inline content.	../wordgard/test/webtest-coords.ts:109-175	no	No architecture delta; this is a fixed boundary case with a missing exact regression.	ce09185967f3fda7bf63476810185645e4a647563fbd37780743c21bbe78ed18	e2ca3aa08716bc063f0dc031629ad5c06718d8eec89910d0fa91189d7cb67352	677901b198b54ecd06d3f4495e215be156ae957eb941c94c321e4d652f60444c	2
