rank	package	package_score	hot_files_7_plus	candidate_files	mean_line_cov_pct	top_files
11	core	42	15	132	85.92	9:packages/core/src/internal/utils/mergeDeep.ts | 9:packages/core/src/internal/utils/callOrReturn.ts | 8:packages/core/src/static/utils/getSelectedDomFragment.tsx | 8:packages/core/src/lib/plugins/dom/withScrolling.ts | 8:packages/core/src/static/deserialize/htmlStringToEditorDOM.ts
12	emoji	42	9	9	0.00	9:packages/emoji/src/lib/utils/IndexSearch/IndexSearch.ts | 9:packages/emoji/src/lib/utils/Grid/GridSection.ts | 8:packages/emoji/src/lib/BaseEmojiPlugin.ts | 8:packages/emoji/src/lib/utils/EmojiLibrary/EmojiInlineLibrary.ts | 8:packages/emoji/src/lib/utils/Grid/Grid.ts
13	ai	41	8	9	35.65	9:packages/ai/src/lib/utils/getEditorPrompt.ts | 8:packages/ai/src/lib/transforms/insertAINodes.ts | 8:packages/ai/src/lib/transforms/withAIBatch.ts | 8:packages/ai/src/lib/utils/replacePlaceholders.ts | 8:packages/ai/src/lib/transforms/undoAI.ts
14	layout	41	5	9	51.96	10:packages/layout/src/lib/transforms/resizeColumn.ts | 8:packages/layout/src/lib/transforms/moveMiddleColumn.ts | 8:packages/layout/src/lib/transforms/insertColumnGroup.ts | 8:packages/layout/src/lib/transforms/insertColumn.ts | 7:packages/layout/src/lib/withColumn.ts
15	code-drawing	40	4	5	0.00	10:packages/code-drawing/src/lib/utils/renderers.ts | 8:packages/code-drawing/src/lib/transforms/insertCodeDrawing.ts | 8:packages/code-drawing/src/lib/utils/download.ts | 8:packages/code-drawing/src/lib/BaseCodeDrawingPlugin.ts | 6:packages/code-drawing/src/lib/constants.ts
16	slate	39	15	136	85.69	9:packages/slate/src/internal/dom-editor/insertData.ts | 9:packages/slate/src/internal/dom-editor/setFragmentData.ts | 7:packages/slate/src/internal/dom-editor/hasEditableTarget.ts | 7:packages/slate/src/internal/dom-editor/hasSelectableTarget.ts | 7:packages/slate/src/internal/dom-editor/isTargetInsideNonReadonlyVoid.ts
17	list	38	6	26	70.05	8:packages/list/src/lib/queries/getSiblingListStyleType.ts | 8:packages/list/src/lib/transforms/toggleListByPath.ts | 8:packages/list/src/lib/queries/someList.ts | 7:packages/list/src/lib/queries/someTodoList.ts | 7:packages/list/src/lib/transforms/setListNode.ts
18	basic-styles	37	6	11	62.87	8:packages/basic-styles/src/lib/transforms/setLineHeight.ts | 8:packages/basic-styles/src/lib/utils/toUnitLess.ts | 7:packages/basic-styles/src/lib/BaseTextIndentPlugin.ts | 7:packages/basic-styles/src/lib/BaseFontWeightPlugin.ts | 7:packages/basic-styles/src/lib/BaseFontFamilyPlugin.ts
19	comment	37	4	11	56.58	10:packages/comment/src/lib/BaseCommentPlugin.ts | 7:packages/comment/src/lib/utils/getCommentKeys.ts | 7:packages/comment/src/lib/utils/getCommentCount.ts | 7:packages/comment/src/lib/withComments.ts | 6:packages/comment/src/lib/utils/getCommentKeyId.ts
20	diff	35	4	13	86.53	8:packages/diff/src/lib/withGetFragmentExcludeDiff.ts | 7:packages/diff/src/internal/transforms/transformDiffTexts.ts | 7:packages/diff/src/internal/transforms/transformDiffDescendants.ts | 7:packages/diff/src/internal/utils/with-change-tracking.ts | 6:packages/diff/src/internal/transforms/transformDiffNodes.ts
21	code-block	35	3	21	88.72	8:packages/code-block/src/lib/withCodeBlock.ts | 8:packages/code-block/src/lib/setCodeBlockToDecorations.ts | 7:packages/code-block/src/lib/withInsertDataCodeBlock.ts | 6:packages/code-block/src/lib/formatter/formatter.ts | 6:packages/code-block/src/lib/BaseCodeBlockPlugin.ts
22	selection	33	2	12	55.45	9:packages/selection/src/internal/SelectionArea.ts | 7:packages/selection/src/lib/isSelecting.ts | 6:packages/selection/src/lib/getAboveDomNode.ts | 6:packages/selection/src/internal/utils/events.ts | 5:packages/selection/src/lib/extractSelectableIds.ts
23	utils	30	0	8	83.91	6:packages/utils/src/lib/plugins/normalize-types/withNormalizeTypes.ts | 6:packages/utils/src/lib/plate-keys.ts | 6:packages/utils/src/lib/plugins/ExitBreakPlugin.ts | 6:packages/utils/src/lib/plugins/normalize-types/NormalizeTypesPlugin.ts | 6:packages/utils/src/lib/plugins/single-block/SingleBlockPlugin.ts
24	indent	29	1	5	52.49	8:packages/indent/src/lib/withIndent.ts | 6:packages/indent/src/lib/transforms/indent.ts | 6:packages/indent/src/lib/transforms/outdent.ts | 5:packages/indent/src/lib/transforms/setIndent.ts | 4:packages/indent/src/lib/BaseIndentPlugin.ts
25	link	28	0	11	42.30	6:packages/link/src/lib/transforms/unwrapLink.ts | 6:packages/link/src/lib/transforms/upsertLink.ts | 6:packages/link/src/lib/withLink.ts | 5:packages/link/src/lib/utils/safeDecodeUrl.ts | 5:packages/link/src/lib/utils/encodeUrlIfNeeded.ts
26	math	27	3	5	43.64	8:packages/math/src/lib/transforms/insertInlineEquation.ts | 8:packages/math/src/lib/transforms/insertEquation.ts | 7:packages/math/src/lib/utils/getEquationHtml.ts | 2:packages/math/src/lib/BaseEquationPlugin.ts | 2:packages/math/src/lib/BaseInlineEquationPlugin.ts
27	toc	26	2	4	28.03	9:packages/toc/src/internal/getHeadingList.ts | 8:packages/toc/src/lib/transforms/insertToc.ts | 5:packages/toc/src/lib/utils/isHeading.ts | 4:packages/toc/src/lib/BaseTocPlugin.ts | 0:packages/toc/src/react/hooks/useTocSideBar.ts
28	cursor	22	3	3	0.00	8:packages/cursor/src/queries/getSelectionRects.ts | 7:packages/cursor/src/queries/getCursorOverlayState.ts | 7:packages/cursor/src/queries/getCaretPosition.ts | 0:packages/cursor/src/components/CursorOverlay.tsx | 0:packages/cursor/src/hooks/useCursorOverlayPositions.ts
29	resizable	22	1	4	68.05	7:packages/resizable/src/utils/isTouchEvent.ts | 5:packages/resizable/src/utils/resizeLengthClamp.ts | 5:packages/resizable/src/utils/resizeLengthToRelative.ts | 5:packages/resizable/src/utils/resizeLengthToStatic.ts | 0:packages/resizable/src/types.ts
30	basic-nodes	21	0	14	97.82	6:packages/basic-nodes/src/lib/BaseHeadingPlugin.ts | 5:packages/basic-nodes/src/lib/BaseSubscriptPlugin.ts | 5:packages/basic-nodes/src/lib/BaseSuperscriptPlugin.ts | 3:packages/basic-nodes/src/lib/BaseKbdPlugin.ts | 2:packages/basic-nodes/src/lib/BaseHighlightPlugin.ts
31	csv	20	2	2	0.00	10:packages/csv/src/lib/deserializer/utils/deserializeCsv.ts | 10:packages/csv/src/lib/CsvPlugin.ts | 0:packages/csv/src/lib/index.ts | 0:packages/csv/src/index.ts | 0:packages/csv/src/lib/deserializer/index.ts
32	playwright	20	0	8	0.00	4:packages/playwright/src/getDOMNodeByPath.ts | 4:packages/playwright/src/getNodeByPath.ts | 4:packages/playwright/src/getTypeAtPath.ts | 4:packages/playwright/src/setSelection.ts | 4:packages/playwright/src/internal/getAdapter.ts
33	floating	19	0	5	54.10	5:packages/floating/src/utils/getBoundingClientRect.ts | 5:packages/floating/src/utils/getRangeBoundingClientRect.ts | 5:packages/floating/src/utils/getDOMSelectionBoundingClientRect.ts | 2:packages/floating/src/utils/mergeClientRects.ts | 2:packages/floating/src/utils/makeClientRect.ts
34	tag	17	2	2	0.00	10:packages/tag/src/lib/BaseTagPlugin.ts | 7:packages/tag/src/lib/isEqualTags.ts | 0:packages/tag/src/react/TagPlugin.tsx | 0:packages/tag/src/react/useSelectableItems.ts | 0:packages/tag/src/react/useSelectEditorCombobox.ts
35	excalidraw	16	2	2	0.00	8:packages/excalidraw/src/lib/transforms/insertExcalidraw.ts | 8:packages/excalidraw/src/lib/BaseExcalidrawPlugin.ts | 0:packages/excalidraw/src/react/hooks/useExcalidrawElement.ts | 0:packages/excalidraw/src/react/types.ts | 0:packages/excalidraw/src/lib/index.ts
36	date	16	1	3	66.68	8:packages/date/src/lib/transforms/insertDate.ts | 6:packages/date/src/lib/queries/isPointNextToNode.ts | 2:packages/date/src/lib/BaseDatePlugin.ts | 0:packages/date/src/react/DatePlugin.tsx | 0:packages/date/src/react/index.ts
37	toggle	15	2	2	16.96	8:packages/toggle/src/lib/BaseTogglePlugin.ts | 7:packages/toggle/src/lib/queries/someToggle.ts | 0:packages/toggle/src/react/withToggle.ts | 0:packages/toggle/src/react/toggleIndexAtom.ts | 0:packages/toggle/src/react/transforms/moveCurrentBlockAfterPreviousSelectable.ts
38	tabbable	14	1	2	12.50	10:packages/tabbable/src/lib/BaseTabbablePlugin.ts | 4:packages/tabbable/src/lib/findTabDestination.ts | 0:packages/tabbable/src/react/TabbableEffects.tsx | 0:packages/tabbable/src/lib/types.ts | 0:packages/tabbable/src/react/TabbablePlugin.tsx
39	mention	14	1	2	39.92	8:packages/mention/src/lib/getMentionOnSelectItem.ts | 6:packages/mention/src/lib/BaseMentionPlugin.ts | 0:packages/mention/src/react/MentionPlugin.tsx | 0:packages/mention/src/react/index.ts | 0:packages/mention/src/lib/types.ts
40	caption	13	1	2	21.24	9:packages/caption/src/lib/withCaption.ts | 4:packages/caption/src/lib/BaseCaptionPlugin.ts | 0:packages/caption/src/react/components/CaptionTextarea.tsx | 0:packages/caption/src/react/components/Caption.tsx | 0:packages/caption/src/react/components/CaptionButton.tsx
41	find-replace	12	0	2	98.94	6:packages/find-replace/src/lib/decorateFindReplace.ts | 6:packages/find-replace/src/lib/FindReplacePlugin.ts | 0:packages/find-replace/src/index.ts | 0:packages/find-replace/src/lib/index.ts
42	combobox	11	0	2	49.55	6:packages/combobox/src/lib/withTriggerCombobox.ts | 5:packages/combobox/src/lib/utils/filterWords.ts | 0:packages/combobox/src/react/hooks/useComboboxInput.ts | 0:packages/combobox/src/react/hooks/useHTMLInputCursorState.ts | 0:packages/combobox/src/react/hooks/index.ts
43	test-utils	11	0	6	94.67	4:packages/test-utils/src/internals/creators.ts | 2:packages/test-utils/src/internals/hyperscript.ts | 2:packages/test-utils/src/internals/tokens.ts | 2:packages/test-utils/src/jsx.ts | 1:packages/test-utils/src/createDataTransfer.ts
44	callout	10	1	2	45.96	8:packages/callout/src/lib/transforms/insertCallout.ts | 2:packages/callout/src/lib/BaseCalloutPlugin.ts | 0:packages/callout/src/react/hooks/useCalloutEmojiPicker.ts | 0:packages/callout/src/react/index.ts | 0:packages/callout/src/react/CalloutPlugin.tsx
45	slash-command	9	1	1	0.00	9:packages/slash-command/src/lib/BaseSlashPlugin.ts | 0:packages/slash-command/src/react/SlashPlugin.tsx | 0:packages/slash-command/src/index.ts | 0:packages/slash-command/src/lib/index.ts | 0:packages/slash-command/src/react/index.ts
46	juice	4	0	1	100.00	4:packages/juice/src/lib/JuicePlugin.ts | 0:packages/juice/src/index.ts | 0:packages/juice/src/lib/index.ts
47	plate	0	0	0	100.00	0:packages/plate/src/index.tsx | 0:packages/plate/src/react/index.tsx | 0:packages/plate/src/static/index.ts
