package	file	score	line_cov_pct	uncovered_lines	source_lines	status	reasons
media	packages/media/src/lib/media-embed/index.ts	0	100.00	0	10	excluded-barrel	barrel export
media	packages/media/src/lib/media-embed/transforms/index.ts	0	100.00	0	6	excluded-barrel	barrel export
media	packages/media/src/lib/media/index.ts	0	100.00	0	8	excluded-barrel	barrel export
media	packages/media/src/lib/media/types.ts	0	0.00	0	7	excluded-type	type-only
media	packages/media/src/lib/placeholder/index.ts	0	100.00	0	7	excluded-barrel	barrel export
media	packages/media/src/lib/placeholder/transforms/index.ts	0	100.00	0	7	excluded-barrel	barrel export
media	packages/media/src/react/image/components/Image.tsx	0	0.00	29	29	excluded-react	react-bound
media	packages/media/src/react/image/components/index.ts	0	0.00	8	8	excluded-react	react-bound
media	packages/media/src/react/image/components/PreviewImage.tsx	0	0.00	52	52	excluded-react	react-bound
media	packages/media/src/react/image/components/useScaleInput.tsx	0	0.00	55	55	excluded-react	react-bound
media	packages/media/src/react/image/ImagePreviewStore.ts	0	0.00	38	38	excluded-react	react-bound
media	packages/media/src/react/image/index.ts	0	0.00	10	10	excluded-react	react-bound
media	packages/media/src/react/image/openImagePreview.ts	0	0.00	30	30	excluded-react	react-bound
media	packages/media/src/react/image/useImagePreview.ts	0	0.00	162	162	excluded-react	react-bound
media	packages/media/src/react/image/useZoom.ts	0	0.00	36	36	excluded-react	react-bound
media	packages/media/src/react/index.ts	0	0.00	9	9	excluded-react	react-bound
media	packages/media/src/react/media/FloatingMedia/FloatingMedia.tsx	0	0.00	8	8	excluded-react	react-bound
media	packages/media/src/react/media/FloatingMedia/FloatingMediaEditButton.tsx	0	0.00	25	25	excluded-react	react-bound
media	packages/media/src/react/media/FloatingMedia/FloatingMediaStore.ts	0	0.00	23	23	excluded-react	react-bound
media	packages/media/src/react/media/FloatingMedia/FloatingMediaUrlInput.tsx	0	0.00	77	77	excluded-react	react-bound
media	packages/media/src/react/media/FloatingMedia/index.ts	0	0.00	10	10	excluded-react	react-bound
media	packages/media/src/react/media/FloatingMedia/submitFloatingMedia.ts	0	0.00	50	50	excluded-react	react-bound
media	packages/media/src/react/media/index.ts	0	0.00	10	10	excluded-react	react-bound
media	packages/media/src/react/media/mediaStore.ts	0	0.00	19	19	excluded-react	react-bound
media	packages/media/src/react/media/useMediaController.ts	0	0.00	33	33	excluded-react	react-bound
media	packages/media/src/react/media/useMediaState.ts	0	0.00	62	62	excluded-react	react-bound
media	packages/media/src/react/media/useMediaToolbarButton.ts	0	0.00	23	23	excluded-react	react-bound
media	packages/media/src/react/placeholder/hooks/index.ts	0	0.00	7	7	excluded-react	react-bound
media	packages/media/src/react/placeholder/hooks/usePlaceholderElement.ts	0	0.00	42	42	excluded-react	react-bound
media	packages/media/src/react/placeholder/hooks/usePlaceholderPopover.ts	0	0.00	48	48	excluded-react	react-bound
media	packages/media/src/react/placeholder/index.ts	0	0.00	11	11	excluded-react	react-bound
media	packages/media/src/react/placeholder/internal/application.ts	0	100.00	0	2654	excluded-react	react-bound
media	packages/media/src/react/placeholder/internal/audio.ts	0	100.00	0	155	excluded-react	react-bound
media	packages/media/src/react/placeholder/internal/image.ts	0	100.00	0	343	excluded-react	react-bound
media	packages/media/src/react/placeholder/internal/mimes.ts	0	100.00	0	33	excluded-react	react-bound
media	packages/media/src/react/placeholder/internal/misc.ts	0	100.00	0	200	excluded-react	react-bound
media	packages/media/src/react/placeholder/internal/text.ts	0	100.00	0	204	excluded-react	react-bound
media	packages/media/src/react/placeholder/internal/utils.ts	0	94.12	3	91	excluded-react	react-bound
media	packages/media/src/react/placeholder/internal/video.ts	0	100.00	0	167	excluded-react	react-bound
media	packages/media/src/react/placeholder/PlaceholderPlugin.tsx	0	0.00	196	196	excluded-react	react-bound
media	packages/media/src/react/placeholder/placeholderStore.ts	0	0.00	30	30	excluded-react	react-bound
media	packages/media/src/react/placeholder/transforms/index.ts	0	0.00	6	6	excluded-react	react-bound
media	packages/media/src/react/placeholder/transforms/insertMedia.ts	0	0.00	104	104	excluded-react	react-bound
media	packages/media/src/react/placeholder/type.ts	0	100.00	0	77	excluded-react	react-bound
media	packages/media/src/react/placeholder/utils/createUploadError.ts	0	38.46	8	23	excluded-react	react-bound
media	packages/media/src/react/placeholder/utils/fileSizeToBytes.ts	0	100.00	0	39	excluded-react	react-bound
media	packages/media/src/react/placeholder/utils/getMediaType.ts	0	0.00	15	15	excluded-react	react-bound
media	packages/media/src/react/placeholder/utils/groupFilesByType.ts	0	100.00	0	27	excluded-react	react-bound
media	packages/media/src/react/placeholder/utils/history.ts	0	0.00	56	56	excluded-react	react-bound
media	packages/media/src/react/placeholder/utils/index.ts	0	0.00	13	13	excluded-react	react-bound
media	packages/media/src/react/placeholder/utils/matchFileType.ts	0	71.43	10	50	excluded-react	react-bound
media	packages/media/src/react/placeholder/utils/validateFileItem.ts	0	65.71	12	44	excluded-react	react-bound
media	packages/media/src/react/placeholder/utils/validateFiles.ts	0	0.00	22	22	excluded-react	react-bound
media	packages/media/src/react/plugins.ts	0	0.00	20	20	excluded-react	react-bound
autoformat	packages/autoformat/src/lib/transforms/autoformatBlock.ts	10	4.44	86	100	candidate	runtime source, deterministic logic, package priority +1, medium surface, very low coverage
autoformat	packages/autoformat/src/lib/transforms/autoformatMark.ts	10	5.88	64	80	candidate	runtime source, deterministic logic, package priority +1, medium surface, very low coverage
autoformat	packages/autoformat/src/lib/transforms/autoformatText.ts	10	6.15	61	77	candidate	runtime source, deterministic logic, package priority +1, medium surface, very low coverage
autoformat	packages/autoformat/src/lib/AutoformatPlugin.ts	9	36.99	46	134	candidate	runtime source, plugin contract, package priority +1, medium surface, low coverage
autoformat	packages/autoformat/src/lib/rules/math/autoformatFraction.ts	9	0.00	95	95	candidate	runtime source, package priority +1, medium surface, zero runtime coverage
autoformat	packages/autoformat/src/lib/rules/math/autoformatSubscript.ts	9	0.00	68	68	candidate	runtime source, package priority +1, medium surface, zero runtime coverage
autoformat	packages/autoformat/src/lib/rules/math/autoformatSuperscript.ts	9	0.00	73	73	candidate	runtime source, package priority +1, medium surface, zero runtime coverage
autoformat	packages/autoformat/src/lib/utils/getMatchPoints.ts	9	5.00	38	55	candidate	runtime source, deterministic logic, package priority +1, very low coverage
autoformat	packages/autoformat/src/lib/utils/getMatchRange.ts	9	7.14	26	33	candidate	runtime source, deterministic logic, package priority +1, very low coverage
autoformat	packages/autoformat/src/lib/utils/isPreviousCharacterEmpty.ts	9	15.38	11	18	candidate	runtime source, deterministic logic, package priority +1, very low coverage
autoformat	packages/autoformat/src/lib/rules/autoformatArrow.ts	8	0.00	25	25	candidate	runtime source, package priority +1, zero runtime coverage
autoformat	packages/autoformat/src/lib/rules/math/autoformatComparison.ts	8	0.00	35	35	candidate	runtime source, package priority +1, zero runtime coverage
autoformat	packages/autoformat/src/lib/rules/math/autoformatEquality.ts	8	0.00	30	30	candidate	runtime source, package priority +1, zero runtime coverage
autoformat	packages/autoformat/src/lib/rules/math/autoformatMath.ts	8	0.00	24	24	candidate	runtime source, package priority +1, zero runtime coverage
autoformat	packages/autoformat/src/lib/rules/autoformatLegal.ts	4	100.00	0	44	candidate	runtime source, package priority +1
autoformat	packages/autoformat/src/lib/rules/autoformatPunctuation.ts	4	100.00	0	25	candidate	runtime source, package priority +1
autoformat	packages/autoformat/src/lib/rules/autoformatSmartQuotes.ts	4	100.00	0	15	candidate	runtime source, package priority +1
autoformat	packages/autoformat/src/lib/rules/math/autoformatOperation.ts	4	100.00	0	29	candidate	runtime source, package priority +1
autoformat	packages/autoformat/src/index.ts	0	0.00	6	6	excluded-barrel	barrel export
autoformat	packages/autoformat/src/lib/index.ts	0	0.00	10	10	excluded-barrel	barrel export
autoformat	packages/autoformat/src/lib/rules/index.ts	0	0.00	10	10	excluded-barrel	barrel export
autoformat	packages/autoformat/src/lib/rules/math/index.ts	0	0.00	12	12	excluded-barrel	barrel export
autoformat	packages/autoformat/src/lib/transforms/index.ts	0	100.00	0	8	excluded-barrel	barrel export
autoformat	packages/autoformat/src/lib/types.ts	0	0.00	132	132	excluded-type	type-only
autoformat	packages/autoformat/src/lib/utils/index.ts	0	0.00	8	8	excluded-barrel	barrel export
juice	packages/juice/src/lib/JuicePlugin.ts	4	100.00	0	23	candidate	runtime source, plugin contract, already mostly covered
juice	packages/juice/src/index.ts	0	100.00	0	6	excluded-barrel	barrel export
juice	packages/juice/src/lib/index.ts	0	100.00	0	6	excluded-barrel	barrel export
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxImageElements.ts	9	29.09	39	75	candidate	runtime source, deterministic logic, package priority +1, medium surface, low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxListElementsToList.ts	9	8.70	42	50	candidate	runtime source, deterministic logic, package priority +1, very low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/docxListToList.ts	9	14.29	42	58	candidate	runtime source, deterministic logic, package priority +1, very low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/getRtfImageHex.ts	9	9.09	20	25	candidate	runtime source, deterministic logic, package priority +1, very low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/getRtfImageMimeType.ts	9	9.09	10	13	candidate	runtime source, deterministic logic, package priority +1, very low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/getRtfImagesByType.ts	9	18.18	18	27	candidate	runtime source, deterministic logic, package priority +1, very low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/getRtfImagesMap.ts	9	11.76	15	22	candidate	runtime source, deterministic logic, package priority +1, very low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/getVShapeSpid.ts	9	7.32	38	46	candidate	runtime source, deterministic logic, package priority +1, very low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/getDocxListNode.ts	8	33.33	2	4	candidate	runtime source, deterministic logic, package priority +1, low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/getRtfImageSpid.ts	8	45.00	11	24	candidate	runtime source, deterministic logic, package priority +1, low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/isDocxBookmark.ts	8	20.00	4	8	candidate	runtime source, deterministic logic, package priority +1, low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/isDocxOl.ts	8	30.00	7	14	candidate	runtime source, deterministic logic, package priority +1, low coverage
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxFootnotes.ts	7	56.25	7	26	candidate	runtime source, deterministic logic, package priority +1, partial coverage
docx	packages/docx/src/lib/docx-cleaner/utils/getVShapes.ts	7	64.71	6	26	candidate	runtime source, deterministic logic, package priority +1, partial coverage
docx	packages/docx/src/lib/DocxPlugin.ts	7	94.03	4	92	candidate	runtime source, plugin contract, package priority +1, medium surface
docx	packages/docx/src/lib/docx-cleaner/cleanDocx.ts	6	100.00	0	55	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxBrComments.ts	6	100.00	0	28	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxEmptyParagraphs.ts	6	100.00	0	22	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxListElements.ts	6	100.00	0	18	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxQuotes.ts	6	100.00	0	17	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxSpacerun.ts	6	100.00	0	23	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxSpans.ts	6	100.00	0	19	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/cleanDocxTabCount.ts	6	100.00	0	19	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/generateSpaces.ts	6	100.00	0	8	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/getDocxIndent.ts	6	96.30	1	48	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/getDocxListContentHtml.ts	6	93.75	1	24	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/getDocxListIndent.ts	6	88.89	1	15	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/getTextListStyleType.ts	6	100.00	0	30	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/isDocxContent.ts	6	100.00	0	27	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/isDocxFootnote.ts	6	100.00	0	5	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/lib/docx-cleaner/utils/isDocxList.ts	6	94.12	1	26	candidate	runtime source, deterministic logic, package priority +1
docx	packages/docx/src/index.ts	0	100.00	0	6	excluded-barrel	barrel export
docx	packages/docx/src/lib/docx-cleaner/index.ts	0	100.00	0	8	excluded-barrel	barrel export
docx	packages/docx/src/lib/docx-cleaner/types.ts	0	0.00	0	8	excluded-type	type-only
docx	packages/docx/src/lib/docx-cleaner/utils/index.ts	0	100.00	0	34	excluded-barrel	barrel export
docx	packages/docx/src/lib/index.ts	0	100.00	0	7	excluded-barrel	barrel export
resizable	packages/resizable/src/utils/isTouchEvent.ts	7	33.33	2	4	candidate	runtime source, deterministic logic, low coverage
resizable	packages/resizable/src/utils/resizeLengthClamp.ts	5	91.67	3	54	candidate	runtime source, deterministic logic
resizable	packages/resizable/src/utils/resizeLengthToRelative.ts	5	100.00	0	13	candidate	runtime source, deterministic logic
resizable	packages/resizable/src/utils/resizeLengthToStatic.ts	5	100.00	0	13	candidate	runtime source, deterministic logic
resizable	packages/resizable/src/components/index.ts	0	100.00	0	8	excluded-barrel	barrel export
resizable	packages/resizable/src/components/Resizable.tsx	0	10.09	98	138	excluded-react	react-bound
resizable	packages/resizable/src/components/ResizeHandle.tsx	0	13.41	142	202	excluded-react	react-bound
resizable	packages/resizable/src/components/useResizableStore.ts	0	100.00	0	17	excluded-react	react-bound
resizable	packages/resizable/src/index.ts	0	100.00	0	8	excluded-barrel	barrel export
resizable	packages/resizable/src/types.ts	0	0.00	0	15	excluded-type	type-only
resizable	packages/resizable/src/utils/index.ts	0	100.00	0	9	excluded-barrel	barrel export
basic-styles	packages/basic-styles/src/lib/transforms/setLineHeight.ts	8	10.71	25	38	candidate	runtime source, deterministic logic, very low coverage
basic-styles	packages/basic-styles/src/lib/utils/toUnitLess.ts	8	15.38	11	17	candidate	runtime source, deterministic logic, very low coverage
basic-styles	packages/basic-styles/src/lib/BaseFontFamilyPlugin.ts	7	89.66	3	32	candidate	runtime source, deterministic logic, plugin contract
basic-styles	packages/basic-styles/src/lib/BaseFontSizePlugin.ts	7	89.66	3	32	candidate	runtime source, deterministic logic, plugin contract
basic-styles	packages/basic-styles/src/lib/BaseFontWeightPlugin.ts	7	85.71	4	32	candidate	runtime source, deterministic logic, plugin contract
basic-styles	packages/basic-styles/src/lib/BaseTextIndentPlugin.ts	7	85.00	3	28	candidate	runtime source, deterministic logic, plugin contract
basic-styles	packages/basic-styles/src/lib/BaseFontBackgroundColorPlugin.ts	5	90.32	3	34	candidate	runtime source, deterministic logic, plugin contract
basic-styles	packages/basic-styles/src/lib/BaseFontColorPlugin.ts	5	90.91	3	37	candidate	runtime source, deterministic logic, plugin contract
basic-styles	packages/basic-styles/src/lib/transforms/setAlign.ts	5	100.00	0	46	candidate	runtime source, deterministic logic
basic-styles	packages/basic-styles/src/lib/BaseTextAlignPlugin.ts	4	100.00	0	34	candidate	runtime source, deterministic logic, plugin contract, already mostly covered
basic-styles	packages/basic-styles/src/lib/BaseLineHeightPlugin.ts	2	100.00	0	37	candidate	runtime source, plugin contract, already mostly covered
basic-styles	packages/basic-styles/src/index.ts	0	100.00	0	6	excluded-barrel	barrel export
basic-styles	packages/basic-styles/src/lib/index.ts	0	100.00	0	15	excluded-barrel	barrel export
basic-styles	packages/basic-styles/src/lib/transforms/index.ts	0	100.00	0	7	excluded-barrel	barrel export
basic-styles	packages/basic-styles/src/lib/utils/index.ts	0	100.00	0	6	excluded-barrel	barrel export
basic-styles	packages/basic-styles/src/react/FontPlugin.tsx	0	0.00	22	22	excluded-react	react-bound
basic-styles	packages/basic-styles/src/react/index.ts	0	0.00	9	9	excluded-react	react-bound
basic-styles	packages/basic-styles/src/react/LineHeightPlugin.tsx	0	0.00	6	6	excluded-react	react-bound
basic-styles	packages/basic-styles/src/react/TextAlignPlugin.tsx	0	0.00	6	6	excluded-react	react-bound
basic-styles	packages/basic-styles/src/react/TextIndentPlugin.tsx	0	0.00	6	6	excluded-react	react-bound
comment	packages/comment/src/lib/BaseCommentPlugin.ts	10	19.33	96	176	candidate	runtime source, deterministic logic, plugin contract, large surface, very low coverage
comment	packages/comment/src/lib/utils/getCommentCount.ts	7	33.33	6	14	candidate	runtime source, deterministic logic, low coverage
comment	packages/comment/src/lib/utils/getCommentKeys.ts	7	22.22	7	14	candidate	runtime source, deterministic logic, low coverage
comment	packages/comment/src/lib/withComments.ts	7	43.48	13	31	candidate	runtime source, deterministic logic, low coverage
comment	packages/comment/src/lib/utils/getCommentKeyId.ts	6	66.67	1	5	candidate	runtime source, deterministic logic, partial coverage
comment	packages/comment/src/lib/utils/isCommentNodeById.ts	6	66.67	1	8	candidate	runtime source, deterministic logic, partial coverage
comment	packages/comment/src/lib/utils/isCommentText.ts	6	66.67	1	7	candidate	runtime source, deterministic logic, partial coverage
comment	packages/comment/src/lib/utils/getCommentKey.ts	5	100.00	0	4	candidate	runtime source, deterministic logic
comment	packages/comment/src/lib/utils/getDraftCommentKey.ts	5	100.00	0	4	candidate	runtime source, deterministic logic
comment	packages/comment/src/lib/utils/getTransientCommentKey.ts	5	100.00	0	5	candidate	runtime source, deterministic logic
comment	packages/comment/src/lib/utils/isCommentKey.ts	5	100.00	0	4	candidate	runtime source, deterministic logic
comment	packages/comment/src/index.ts	0	100.00	0	6	excluded-barrel	barrel export
comment	packages/comment/src/lib/index.ts	0	100.00	0	8	excluded-barrel	barrel export
comment	packages/comment/src/lib/utils/index.ts	0	100.00	0	14	excluded-barrel	barrel export
comment	packages/comment/src/react/CommentPlugin.tsx	0	0.00	6	6	excluded-react	react-bound
comment	packages/comment/src/react/hooks/index.ts	0	0.00	6	6	excluded-react	react-bound
comment	packages/comment/src/react/hooks/useCommentId.ts	0	0.00	19	19	excluded-react	react-bound
comment	packages/comment/src/react/index.ts	0	0.00	7	7	excluded-react	react-bound
mention	packages/mention/src/lib/getMentionOnSelectItem.ts	8	10.71	25	38	candidate	runtime source, deterministic logic, very low coverage
mention	packages/mention/src/lib/BaseMentionPlugin.ts	6	68.75	10	59	candidate	runtime source, plugin contract, partial coverage
mention	packages/mention/src/index.ts	0	100.00	0	6	excluded-barrel	barrel export
mention	packages/mention/src/lib/index.ts	0	100.00	0	8	excluded-barrel	barrel export
mention	packages/mention/src/lib/types.ts	0	0.00	0	5	excluded-type	type-only
mention	packages/mention/src/react/index.ts	0	0.00	6	6	excluded-react	react-bound
mention	packages/mention/src/react/MentionPlugin.tsx	0	0.00	8	8	excluded-react	react-bound
ai	packages/ai/src/lib/utils/getEditorPrompt.ts	9	9.30	39	65	candidate	runtime source, deterministic logic, medium surface, very low coverage
ai	packages/ai/src/lib/transforms/insertAINodes.ts	8	4.35	22	27	candidate	runtime source, deterministic logic, very low coverage
ai	packages/ai/src/lib/transforms/removeAIMarks.ts	8	18.18	9	14	candidate	runtime source, deterministic logic, very low coverage
ai	packages/ai/src/lib/transforms/undoAI.ts	8	12.50	14	21	candidate	runtime source, deterministic logic, very low coverage
ai	packages/ai/src/lib/transforms/withAIBatch.ts	8	5.00	19	26	candidate	runtime source, deterministic logic, very low coverage
ai	packages/ai/src/lib/utils/getMarkdown.ts	8	77.24	28	203	candidate	runtime source, deterministic logic, large surface, partial coverage
ai	packages/ai/src/lib/utils/replacePlaceholders.ts	8	6.90	27	43	candidate	runtime source, deterministic logic, very low coverage
ai	packages/ai/src/lib/transforms/removeAINodes.ts	7	22.22	7	12	candidate	runtime source, deterministic logic, low coverage
ai	packages/ai/src/lib/BaseAIPlugin.ts	2	100.00	0	35	candidate	runtime source, plugin contract, already mostly covered
ai	packages/ai/src/index.ts	0	0.00	6	6	excluded-barrel	barrel export
ai	packages/ai/src/lib/index.ts	0	100.00	0	9	excluded-barrel	barrel export
ai	packages/ai/src/lib/transforms/index.ts	0	100.00	0	10	excluded-barrel	barrel export
ai	packages/ai/src/lib/types.ts	0	0.00	0	4	excluded-type	type-only
ai	packages/ai/src/lib/utils/index.ts	0	100.00	0	8	excluded-barrel	barrel export
ai	packages/ai/src/react/ai-chat/AIChatPlugin.ts	0	43.66	80	230	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/hooks/index.ts	0	0.00	8	8	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/hooks/useAIChatEditor.ts	0	0.00	45	45	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/hooks/useChatChunk.ts	0	0.00	74	74	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/hooks/useEditorChat.ts	0	0.00	62	62	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/index.ts	0	0.00	11	11	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/internal/types.ts	0	0.00	17	17	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/index.ts	0	0.00	10	10	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/streamDeserializeInlineMd.ts	0	100.00	0	10	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/streamDeserializeMd.ts	0	76.92	21	129	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/streamInsertChunk.ts	0	96.55	6	256	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/streamSerializeMd.ts	0	98.67	1	121	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/utils/escapeInput.ts	0	100.00	0	17	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/utils/getListNode.ts	0	93.33	1	24	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/utils/index.ts	0	100.00	0	10	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/utils/isSameNode.ts	0	100.00	0	24	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/utils/nodesWithProps.ts	0	100.00	0	28	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/streaming/utils/utils.ts	0	100.00	0	34	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/transforms/acceptAIChat.ts	0	18.42	31	42	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/transforms/index.ts	0	100.00	0	9	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/transforms/insertBelowAIChat.ts	0	7.63	121	147	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/transforms/removeAnchorAIChat.ts	0	14.29	12	24	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/transforms/replaceSelectionAIChat.ts	0	3.25	149	173	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/utils/acceptAISuggestions.ts	0	10.00	27	39	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/utils/applyAISuggestions.ts	0	6.98	160	202	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/utils/applyTableCellSuggestion.ts	0	11.90	37	59	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/utils/getLastAssistantMessage.ts	0	25.00	9	19	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/utils/index.ts	0	100.00	0	13	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/utils/nestedContainerUtils.ts	0	10.00	27	44	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/utils/rejectAISuggestions.ts	0	10.00	27	39	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/utils/resetAIChat.ts	0	12.50	28	38	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/utils/submitAIChat.ts	0	7.14	91	116	excluded-react	react-bound
ai	packages/ai/src/react/ai-chat/withAIChat.ts	0	36.00	48	91	excluded-react	react-bound
ai	packages/ai/src/react/ai/AIPlugin.ts	0	100.00	0	10	excluded-react	react-bound
ai	packages/ai/src/react/ai/index.ts	0	0.00	7	7	excluded-react	react-bound
ai	packages/ai/src/react/ai/utils/aiCommentToRange.ts	0	100.00	0	68	excluded-react	react-bound
ai	packages/ai/src/react/ai/utils/findTextRangeInBlock.tsx	0	91.75	8	138	excluded-react	react-bound
ai	packages/ai/src/react/ai/utils/index.ts	0	0.00	7	7	excluded-react	react-bound
