lead_key	packet_id	slate_owner	test_or_benchmark	verification_command	decision
huge-doc:200k-path-key-index-fast-path	huge-doc-200k-path-key-index-fast-path-001	slate / slate-ar-perf	Snapshot index construction avoids Array.join for hot 0/1/2 segment path keys while preserving public key format	cd .tmp/slate-v2 && bun --filter slate typecheck; cd .tmp/slate-v2 && bun test ./packages/slate/test/snapshot-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/operations-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
huge-doc:core-fragment-delete-history-parity	huge-doc-core-fragment-delete-history-parity-001	slate / slate-history / slate-ar-perf	Full-document tx.fragment.delete uses one root replace_children batch and the core benchmark exposes subscribed select-all/delete/type/undo latency	cd .tmp/slate-v2 && bun test ./packages/slate/test/delete-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate-history/test/history-contract.ts; cd .tmp/slate-v2 && bun --filter slate typecheck; cd .tmp/slate-v2 && bun --filter slate-history typecheck; cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && CORE_HUGE_BENCH_CURRENT_ONLY=1 CORE_HUGE_BENCH_BLOCKS=5000 CORE_HUGE_BENCH_ITERATIONS=1 CORE_HUGE_BENCH_TYPE_OPS=1 CORE_HUGE_BENCH_PROFILE=1 bun ./scripts/benchmarks/core/compare/huge-document.mjs; cd .tmp/slate-v2 && CORE_HUGE_BENCH_CURRENT_ONLY=1 CORE_HUGE_BENCH_BLOCKS=20000 CORE_HUGE_BENCH_ITERATIONS=1 CORE_HUGE_BENCH_TYPE_OPS=1 CORE_HUGE_BENCH_PROFILE=1 bun ./scripts/benchmarks/core/compare/huge-document.mjs; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized,stagedActiveDOMGroup SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
huge-doc:full-root-replace-cached-snapshot-live-index	huge-doc-200k-full-root-replace-cached-snapshot-live-index-001	slate / slate-history / slate-ar-perf	Strict full-root replace_children history restore reuses cached before/after snapshot indexes and seeds the main-root live runtime-index cache	cd .tmp/slate-v2 && bun test ./packages/slate-history/test/history-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/snapshot-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/operations-contract.ts; cd .tmp/slate-v2 && bun --filter ./packages/slate typecheck; cd .tmp/slate-v2 && bun --filter ./packages/slate-history typecheck; cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
huge-doc:full-root-replace-live-index-preservation	huge-doc-200k-full-root-replace-live-index-preservation-001	slate / slate-history / slate-ar-perf	Full-root replace_children history restore preserves cached live runtime indexes beside snapshot indexes, removing snapshot-to-live-index conversion	cd .tmp/slate-v2 && bun test ./packages/slate-history/test/history-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/snapshot-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/operations-contract.ts; cd .tmp/slate-v2 && bun --filter ./packages/slate typecheck; cd .tmp/slate-v2 && bun --filter ./packages/slate-history typecheck; cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
huge-doc:cached-full-root-restore-dirty-path-fast-path	huge-doc-200k-cached-restore-dirty-path-fast-path-001	slate / slate-history / slate-ar-perf	Cached full-root replace_children history restore dirties only root path, preserving precise dirty paths for arbitrary replace_children operations	cd .tmp/slate-v2 && bun --filter ./packages/slate typecheck; cd .tmp/slate-v2 && bun test ./packages/slate/test/operations-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/snapshot-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate-history/test/history-contract.ts; cd .tmp/slate-v2 && bun --filter ./packages/slate-history typecheck; cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
huge-doc:full-root-replace-snapshot-children-cache	huge-doc-200k-full-root-replace-snapshot-children-cache-001	slate / slate-history / slate-ar-perf	Guarded full-root replace_children history restore reuses cached immutable EditorSnapshot.children beside snapshot/live indexes	cd .tmp/slate-v2 && bun --filter ./packages/slate typecheck; cd .tmp/slate-v2 && bun test ./packages/slate/test/operations-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/snapshot-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate-history/test/history-contract.ts; cd .tmp/slate-v2 && bun --filter ./packages/slate-history typecheck; cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
huge-doc:expanded-view-selection-history-repair-skip	huge-doc-200k-expanded-view-selection-history-repair-skip-001	slate-react / slate-ar-perf	Expanded Slate view-selection history restore keeps force render but skips caret DOM repair	cd .tmp/slate-v2/packages/slate-react && bun test:vitest test/keyboard-input-strategy-contract.test.ts; cd .tmp/slate-v2/packages/slate-react && bun test:vitest test/projected-command-contract.test.ts; cd .tmp/slate-v2 && bun --filter ./packages/slate-react typecheck; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
huge-doc:200k-type-after-delete-event-cadence	huge-doc-200k-type-after-delete-event-cadence-instrumentation-001	slate-ar-perf	Browser trace exposes post-delete typing dispatch/model-wait, beforeinput/input cadence, long frames, profiler duration, selection source, and repair state	cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-measurement-superseded-first-key-owner
huge-doc:200k-type-after-delete-listener-attribution	huge-doc-200k-type-after-delete-listener-attribution-001	slate-react / slate-ar-perf	Browser trace maps post-delete long frames to outer beforeinput/input event-handler buckets and compact LoAF attribution	cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2/packages/slate-react && bun test:vitest test/runtime-before-input-events-contract.test.ts; cd .tmp/slate-v2/packages/slate-react && bun test:vitest test/input-router-contract.test.tsx; cd .tmp/slate-v2 && bun --filter ./packages/slate-react typecheck; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-measurement-split
huge-doc:200k-type-after-delete-input-mode-attribution	huge-doc-200k-type-after-delete-input-mode-attribution-001	slate-ar-perf	Browser trace labels post-delete typed payload and input mode so first-key latency, physical burst cadence, and insertText control runs cannot be confused	cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_AFTER_DELETE_TEXT=X SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_AFTER_DELETE_INPUT_MODE=insertText SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-measurement-runtime-owner-closed
huge-doc:200k-delete-latency-attribution	huge-doc-200k-delete-latency-attribution-001	slate-react / slate-ar-perf	Delete after select-all still costs about 600-645ms at 200k; latest profiler points to keydown request-repair/build-change, not replace_children apply	cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-measurement-split-delete-fragment-owner
huge-doc:200k-delete-fragment-fast-path-attribution	huge-doc-200k-delete-fragment-fast-path-attribution-001	slate-react / slate / slate-ar-perf	Browser Delete uses slate-react applyFullBlockDeleteFragment; compact trace payloads, operation-count reads, first-unmarked mark scan, and top-level-first routing keep partial wins while remaining replay/build-change owner stays open	cd .tmp/slate-v2/packages/slate-react && bun test:vitest test/dom-repair-policy-contract.test.ts; cd .tmp/slate-v2/packages/slate-react && bun test ./test/selection-side-effect-policy-contract.ts; cd .tmp/slate-v2/packages/slate-react && bun test ./test/editing-kernel-contract.ts; cd .tmp/slate-v2/packages/slate-react && bun test:vitest test/provider-hooks-contract.test.tsx; cd .tmp/slate-v2/packages/slate-react && bun test:vitest test/projected-command-contract.test.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/delete-contract.ts; cd .tmp/slate-v2 && bun --filter ./packages/slate typecheck; cd .tmp/slate-v2 && bun --filter ./packages/slate-react typecheck; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=stagedActiveDOMGroup,virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-measurement-partial-runtime-win-split-replay-build-change
