source	status	file
working-tree	M	docs/plans/2026-06-11-yjs-perfection-8h.md
working-tree	M	docs/plans/2026-06-12-clarify-slate-research-boundaries.md
working-tree	M	docs/plans/2026-06-12-rename-slate-automation-to-slate-auto.md
working-tree	M	docs/plans/2026-06-12-slate-v2-8h-post-delete-supervision.md
working-tree	M	docs/plans/2026-06-12-slate-v2-8h-private-alpha-followup.md
working-tree	M	docs/plans/2026-06-12-slate-v2-8h-research-first-automation.md
working-tree	M	docs/plans/2026-06-12-slate-v2-table-fragment-rectangle-algebra-plan.md
working-tree	M	docs/plans/2026-06-12-yjs-optimization-strict-8h.md
working-tree	M	docs/plans/2026-06-13-slate-v2-10h-auto-proof-transport-selection.md
working-tree	M	docs/plans/2026-06-13-slate-v2-8h-automation.md
working-tree	M	docs/plans/2026-06-13-slate-v2-8h-supervision-2026-06-13.md
working-tree	M	docs/plans/2026-06-13-yjs-perfection-strict-8h-no-long-soak.md
working-tree	M	docs/plans/2026-06-13-yjs-research-mode-8h.md
working-tree	M	docs/plans/2026-06-14-slate-v2-public-api-taste-and-beta-readiness-10h.md
working-tree	M	docs/plans/2026-06-14-slate-v2-public-beta-readiness-review.md
working-tree	M	docs/plans/2026-06-14-yjs-research-mode-8h.md
working-tree	A	docs/plans/2026-06-15-beta-public-release-readiness.md
working-tree	A	docs/plans/2026-06-15-rewrite-changesets-from-diffs.md
working-tree	A	docs/plans/2026-06-15-slate-browser-public-readiness.md
working-tree	A	docs/plans/2026-06-15-slate-extension-docs-cleanup.md
working-tree	A	docs/plans/2026-06-15-slate-migration-skill.md
working-tree	A	docs/plans/2026-06-15-slate-v2-docs-skeptical-polish.md
working-tree	M	docs/plans/2026-06-15-slate-v2-document-value-hard-cut-main-root.md
working-tree	A	docs/plans/2026-06-15-slate-v2-migration-guide.md
working-tree	A	docs/plans/2026-06-15-slate-v2-package-coverage-vs-slate.md
working-tree	A	docs/plans/2026-06-15-slate-v2-public-release-final-source-mining-plan.md
working-tree	A	docs/plans/2026-06-15-slate-v2-release-post.md
working-tree	A	docs/plans/2026-06-15-source-mining-coverage-hardening.md
working-tree	A	docs/plans/2026-06-15-table-fragment-merge-policy.md
working-tree	A	docs/plans/2026-06-16-openclaw-setup-sync-skill.md
working-tree	A	docs/plans/2026-06-16-openclaw-slate-loop-analysis.md
working-tree	A	docs/plans/2026-06-16-rename-to-vision.md
working-tree	A	docs/plans/2026-06-16-sync-vision-skill.md
working-tree	A	docs/plans/2026-06-16-vision-domain-split.md
working-tree	A	docs/plans/2026-06-16-vision-exhaustive-autonomy-analysis.md
working-tree	A	docs/plans/2026-06-16-vision-single-source-of-truth.md
working-tree	M	docs/plans/artifacts/huge-document-2026-06-06/summary.json
working-tree	M	docs/plans/templates/docs.md
working-tree	M	docs/plans/templates/goal-repair.md
working-tree	M	docs/plans/templates/goal.md
working-tree	M	docs/plans/templates/major-task.md
working-tree	M	docs/plans/templates/slate-auto.md
working-tree	A	docs/plans/templates/slate-migration.md
working-tree	A	docs/plans/templates/sync-vision.md
working-tree	M	docs/plans/templates/task.md
working-tree	A	docs/sync/vision/status.json
working-tree	A	docs/vision/common.md
working-tree	A	docs/vision/plate.md
working-tree	A	docs/vision/slate.md
working-tree	A	docs/vision/sync.md
working-tree	??	docs/plans/2026-06-16-openclaw-smart-merge.md
