source	categories	file	line	text
working-tree	api_dx	.agents/rules/slate-migration.mdc	238	- the migration completion threshold passes;
working-tree	supervisor	.agents/rules/slate-migration.mdc	239	- the active packet is verified, reverted, or quarantined and the timed minimum
working-tree	api_dx	.agents/rules/slate-migration.mdc	241	- a public API/runtime fork needs `slate-plan`;
working-tree	vision	.agents/rules/slate-migration.mdc	242	- a required user taste decision is missing from `vision` and no safe
working-tree	api_dx	.agents/rules/slate-migration.mdc	243	alternate migration work remains;
working-tree	research,maintainer	.agents/rules/slate-migration.mdc	244	- commit, PR, external credential, or destructive cleanup authority is needed.
working-tree	api_dx	.agents/rules/slate-migration.mdc	246	Do not stop because one package compiles while docs, changesets, stale-symbol
working-tree	supervisor	.agents/rules/slate-migration.mdc	249	## Final Handoff
working-tree	api_dx	.agents/rules/slate-migration.mdc	254	- migration surface and mode;
working-tree	api_dx	.agents/rules/slate-migration.mdc	255	- packages/docs/examples/tests checked;
working-tree	api_dx	.agents/rules/slate-migration.mdc	256	- API map summary;
working-tree	api_dx	.agents/rules/slate-migration.mdc	258	- migration guide updates;
working-tree	editor_behavior,proof	.agents/rules/slate-migration.mdc	260	- tests/typechecks/browser proof run;
working-tree	api_dx	.agents/rules/slate-migration.mdc	262	- changed list grouped by code, tests, docs, changesets, skills/workflow, and
working-tree	supervisor	.agents/rules/slate-migration.mdc	265	- queued stopping checkpoints;
working-tree	vision,supervisor,api_dx	.agents/rules/sync-vision.mdc	2	description: Sync root VISION.md and docs/vision detail files from changed human and agent inputs. Use when the user invokes sync-vision, asks to evolve vision/taste from recent plans/docs/skills, wants vision docs updated from accumulated human answers, or wants only changed inputs since the last recorded commit analyzed.
working-tree	vision	.agents/rules/sync-vision.mdc	7	# Sync Vision
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	11	`VISION.md` and `docs/vision/*.md` are dynamic. Treat them like a brain: they
working-tree	api_dx	.agents/rules/sync-vision.mdc	12	should learn from repeated human answers, agent misses, plans, docs, skills,
working-tree	research	.agents/rules/sync-vision.mdc	13	research, and review handoffs, then forget noise.
working-tree	vision	.agents/rules/sync-vision.mdc	15	This skill is the incremental sync lane. It does not replace the `vision`
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	16	router. It keeps root `VISION.md` and relevant `docs/vision/*.md` detail files
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	18	Root `VISION.md` stays the mandatory essential read. Detail files scale the
working-tree	vision	.agents/rules/sync-vision.mdc	19	doctrine by owner.
working-tree	supervisor	.agents/rules/sync-vision.mdc	21	## Autogoal Dependency
working-tree	supervisor	.agents/rules/sync-vision.mdc	23	Use `autogoal` before mutable work. This is a derived autogoal workflow.
working-tree	vision,supervisor,api_dx	.agents/rules/sync-vision.mdc	25	- Primary template: `docs/plans/templates/sync-vision.md`.
working-tree	vision	.agents/rules/sync-vision.mdc	27	- Preview flow: one-shot planning, no vision-doc patch and no baseline
working-tree	supervisor	.agents/rules/sync-vision.mdc	30	- `autogoal` owns lifecycle, first-checkpoint requirement extraction,
working-tree	vision,supervisor,api_dx	.agents/rules/sync-vision.mdc	32	- `sync-vision` owns input-range accounting, candidate classification, root vs
working-tree	vision	.agents/rules/sync-vision.mdc	33	detail doctrine patch rules, status semantics, and baseline advancement.
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	38	Sync vision; done when changed inputs are classified, vision docs are patched or reaffirmed, baseline semantics are recorded, and checks pass; plan docs/plans/<path>.md.
working-tree	api_dx	.agents/rules/sync-vision.mdc	41	## State
working-tree	api_dx	.agents/rules/sync-vision.mdc	43	Durable state lives in:
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	46	docs/sync/vision/status.json
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	47	docs/sync/vision/runs/<date>-<base>-to-<target>/
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	64	Working-tree overlays include relevant untracked files. New doctrine docs,
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	72	- `preview`: write run artifacts and recommendations. Do not patch vision docs.
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	74	- `sync`: default. Write artifacts, patch root/detail vision docs for
working-tree	vision	.agents/rules/sync-vision.mdc	75	high-confidence reusable decisions, route non-vision owners, and advance
working-tree	vision,supervisor	.agents/rules/sync-vision.mdc	83	node .agents/rules/sync-vision/scripts/collect-vision-diff.mjs --status
working-tree	vision,supervisor	.agents/rules/sync-vision.mdc	84	node .agents/rules/sync-vision/scripts/collect-vision-diff.mjs --dry-run
working-tree	vision,supervisor	.agents/rules/sync-vision.mdc	85	node .agents/rules/sync-vision/scripts/collect-vision-diff.mjs
working-tree	vision,supervisor,api_dx	.agents/rules/sync-vision.mdc	86	node .agents/rules/sync-vision/scripts/collect-vision-diff.mjs --advance --plan docs/plans/<plan>.md
working-tree	vision	.agents/rules/sync-vision.mdc	100	- `VISION.md`
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	101	- `docs/vision/**`
working-tree	api_dx	.agents/rules/sync-vision.mdc	104	- `docs/plans/**`
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	105	- `docs/sync/**` except `docs/sync/vision/runs/**`
working-tree	api_dx,research	.agents/rules/sync-vision.mdc	106	- `docs/research/**`
working-tree	api_dx	.agents/rules/sync-vision.mdc	107	- `docs/slate-v2/**`
working-tree	api_dx	.agents/rules/sync-vision.mdc	108	- `docs/editor-behavior/**`
working-tree	api_dx	.agents/rules/sync-vision.mdc	109	- `docs/solutions/**`
working-tree	api_dx	.agents/rules/sync-vision.mdc	110	- `content/docs/**`
working-tree	api_dx	.agents/rules/sync-vision.mdc	111	- other Markdown-like root docs when they appear in the changed-file list
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	120	- `captured`: patch root `VISION.md` or the relevant `docs/vision/*.md` file
working-tree	api_dx	.agents/rules/sync-vision.mdc	121	with a compact latest-state rule.
working-tree	api_dx	.agents/rules/sync-vision.mdc	122	- `reaffirmed`: already covered by root or a detail file; record the section.
working-tree	research,proof	.agents/rules/sync-vision.mdc	125	- `owner-routed`: belongs in a skill/rule, research doc, benchmark target,
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	126	package docs, or behavior spec instead of vision docs.
working-tree	vision	.agents/rules/sync-vision.mdc	127	- `deferred-with-question`: missing taste; queue one concise question and do
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	131	Promote to root `VISION.md` only when the rule must be visible in the mandatory
working-tree	vision	.agents/rules/sync-vision.mdc	132	first read: global taste, source order, cross-boundary law, essential Slate or
working-tree	supervisor,proof	.agents/rules/sync-vision.mdc	133	Plate direction, proof standards, or supervisor stop conditions. Promote owner
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	134	detail to `docs/vision/*.md` when the rule is reusable but only relevant after a
working-tree	api_dx	.agents/rules/sync-vision.mdc	140	- one-off route state;
working-tree	maintainer	.agents/rules/sync-vision.mdc	142	- raw issue bodies;
working-tree	vision,supervisor	.agents/rules/sync-vision.mdc	149	1. Load `autogoal`, create or continue a `sync-vision` plan, and copy every
working-tree	supervisor	.agents/rules/sync-vision.mdc	150	user requirement into checkpoint zero.
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	151	2. Read root `VISION.md`.
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	152	3. Read `docs/sync/vision/status.json`.
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	158	8. Patch root `VISION.md` or the relevant `docs/vision/*.md` only for
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	159	`captured` clusters. Write current-state doctrine, not changelog prose.
working-tree	api_dx	.agents/rules/sync-vision.mdc	162	- editor behavior law -> `docs/editor-behavior/**` or `slate-plan`;
working-tree	supervisor	.agents/rules/sync-vision.mdc	163	- Slate automation loop miss -> `slate-auto`;
working-tree	research	.agents/rules/sync-vision.mdc	164	- research system miss -> `slate-research`;
working-tree	api_dx	.agents/rules/sync-vision.mdc	165	- migration miss -> `slate-migration`;
working-tree	proof	.agents/rules/sync-vision.mdc	166	- benchmark truth -> benchmark target/script owner.
working-tree	maintainer	.agents/rules/sync-vision.mdc	167	10. Record a decision ledger in the plan or run summary.
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	179	- root or detail vision docs were patched or explicitly reaffirmed for reusable
working-tree	vision	.agents/rules/sync-vision.mdc	180	taste;
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	189	- a candidate changes product/API taste and no default can be inferred;
working-tree	supervisor	.agents/rules/sync-vision.mdc	194	## Final Handoff
working-tree	vision,api_dx	.agents/rules/sync-vision.mdc	200	- root/detail vision doc changes;
working-tree	vision,supervisor	.agents/rules/sync-vision.mdc	207	- next `sync-vision` command.
working-tree	vision,supervisor,api_dx,maintainer,proof	.agents/rules/vision.mdc	2	description: Route to root VISION.md and relevant docs/vision detail files. Use when a task mentions vision, taste, north star, checkpoint zero, long-term architecture, public API shape, proof standards, Slate/Plate boundaries, or autonomous maintainer fit.
working-tree	vision	.agents/rules/vision.mdc	5	# Vision
working-tree	vision,api_dx	.agents/rules/vision.mdc	7	This skill is a router. Root `VISION.md` is the mandatory doctrine entrypoint
working-tree	vision,api_dx	.agents/rules/vision.mdc	8	and essential summary. Detailed owner doctrine lives in `docs/vision/*.md`.
working-tree	vision,api_dx	.agents/rules/vision.mdc	13	2. Read root `VISION.md`.
working-tree	api_dx,maintainer,proof	.agents/rules/vision.mdc	15	- common proof, automation, docs, maintainer policy:
working-tree	vision,api_dx	.agents/rules/vision.mdc	16	`docs/vision/common.md`
working-tree	vision,editor_behavior,api_dx,proof	.agents/rules/vision.mdc	17	- Slate substrate/API/runtime/browser/perf work: `docs/vision/slate.md`
working-tree	vision,api_dx	.agents/rules/vision.mdc	18	- Plate framework/plugin/component/docs work: `docs/vision/plate.md`
working-tree	vision,api_dx	.agents/rules/vision.mdc	19	- vision learning, baseline, or doctrine sync: `docs/vision/sync.md`
working-tree	api_dx	.agents/rules/vision.mdc	20	4. Follow root first when root and a detail file conflict, then repair the
working-tree	api_dx	.agents/rules/vision.mdc	21	stale detail file or root summary during the same workflow.
working-tree	supervisor	.agents/rules/vision.mdc	23	6. Put checkpoint evidence in the active plan, not in this skill.
working-tree	vision,api_dx	.agents/rules/vision.mdc	25	Do not duplicate doctrine here. When reusable vision changes, edit root
working-tree	vision	.agents/rules/vision.mdc	26	`VISION.md` for essential always-read doctrine and the relevant
working-tree	vision,api_dx	.agents/rules/vision.mdc	27	`docs/vision/*.md` file for owner detail, then run `pnpm install` so this
