repo_key	url	host	license	stars_or_signal	last_activity	topic_tags	local_path	status	score	notes
github.com/luni-4/json-structural-diff	https://github.com/Luni-4/json-structural-diff	github.com	not inspected	13	2026-07-12T06:00:12Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/d-edge/diffract	https://github.com/d-edge/Diffract	github.com	not inspected	60	2026-08-03T15:30:13Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/clabby/difftastic.nvim	https://github.com/clabby/difftastic.nvim	github.com	not inspected	112	2026-09-10T06:21:44Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/indigounited/node-diff-json-structure	https://github.com/IndigoUnited/node-diff-json-structure	github.com	not inspected	15	2023-04-17T16:13:55Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/scratchblocks/scratch-diff	https://github.com/scratchblocks/scratch-diff	github.com	not inspected	9	2026-05-23T02:21:03Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/relex/json-diff-react	https://github.com/relex/json-diff-react	github.com	not inspected	8	2025-08-14T08:59:03Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/redbadger/difficient	https://github.com/redbadger/difficient	github.com	not inspected	14	2026-08-07T07:46:01Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/seal-ucla/lsdiff	https://github.com/SEAL-UCLA/lsdiff	github.com	not inspected	0	2022-07-18T00:50:35Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/arianvp/generics-mrsop-diff	https://github.com/arianvp/generics-mrsop-diff	github.com	not inspected	9	2021-09-06T07:11:52Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/sjl/splice.vim	https://github.com/sjl/splice.vim	github.com	not inspected	235	2026-06-16T06:45:00Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/movableink/three-way-merge	https://github.com/movableink/three-way-merge	github.com	not inspected	25	2026-09-05T09:50:15Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/brunopostle/ifcmerge	https://github.com/brunopostle/ifcmerge	github.com	not inspected	88	2026-08-16T04:01:03Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/5long/p3wm	https://github.com/5long/p3wm	github.com	not inspected	16	2026-09-08T05:23:17Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/symbolk/intellimerge	https://github.com/Symbolk/IntelliMerge	github.com	not inspected	24	2025-08-05T19:30:07Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/bantic/three-way-merger	https://github.com/bantic/three-way-merger	github.com	not inspected	1	2020-04-10T16:28:13Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/errael/splice9	https://github.com/errael/splice9	github.com	not inspected	15	2026-06-16T07:08:50Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/julienpalard/po3way	https://github.com/JulienPalard/po3way	github.com	not inspected	6	2026-05-18T12:56:42Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/charlesvdv/go-three-way-merge	https://github.com/charlesvdv/go-three-way-merge	github.com	not inspected	3	2025-10-24T00:48:56Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/jwadhams/merge-a-trois	https://github.com/jwadhams/merge-a-trois	github.com	not inspected	5	2023-02-20T20:45:57Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/qundao/mirror-mergiraf	https://github.com/qundao/mirror-mergiraf	github.com	not inspected	63	2026-09-09T08:06:55Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; mirror/packaging/specialization; inspect canonical Mergiraf instead.
github.com/perkee/mergiraf	https://github.com/perkee/mergiraf	github.com	not inspected	10	2026-09-09T14:29:03Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; mirror/packaging/specialization; inspect canonical Mergiraf instead.
github.com/predohenr/mergiraf-semi	https://github.com/predohenr/mergiraf-semi	github.com	not inspected	1	2026-08-26T16:18:02Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; mirror/packaging/specialization; inspect canonical Mergiraf instead.
github.com/conda-forge/mergiraf-feedstock	https://github.com/conda-forge/mergiraf-feedstock	github.com	not inspected	0	2026-09-01T16:14:10Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; mirror/packaging/specialization; inspect canonical Mergiraf instead.
github.com/matheusvtna/mergiraf4swift	https://github.com/matheusvtna/mergiraf4swift	github.com	not inspected	0	2025-12-16T03:19:18Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; mirror/packaging/specialization; inspect canonical Mergiraf instead.
